date,time_from,time_to,demand
2013-07-01,00:00,00:15,15963
2013-07-01,00:15,00:30,15909
2013-07-01,00:30,00:45,15599
2013-07-01,00:45,01:00,15452
2013-07-01,01:00,01:15,15301
2013-07-01,01:15,01:30,15207
2013-07-01,01:30,01:45,15144
2013-07-01,01:45,02:00,14952
2013-07-01,02:00,02:15,14978
2013-07-01,02:15,02:30,14994
2013-07-01,02:30,02:45,15152
2013-07-01,02:45,03:00,15235
2013-07-01,03:00,03:15,15142
2013-07-01,03:15,03:30,15214
2013-07-01,03:30,03:45,15326
2013-07-01,03:45,04:00,15358
2013-07-01,04:00,04:15,15383
2013-07-01,04:15,04:30,15613
2013-07-01,04:30,04:45,15819
2013-07-01,04:45,05:00,16128
2013-07-01,05:00,05:15,16469
2013-07-01,05:15,05:30,16754
2013-07-01,05:30,05:45,17186
2013-07-01,05:45,06:00,17808
2013-07-01,06:00,06:15,19210
2013-07-01,06:15,06:30,20266
2013-07-01,06:30,06:45,20862
2013-07-01,06:45,07:00,21597
2013-07-01,07:00,07:15,22231
2013-07-01,07:15,07:30,22733
2013-07-01,07:30,07:45,22927
2013-07-01,07:45,08:00,23066
2013-07-01,08:00,08:15,23650
2013-07-01,08:15,08:30,24176
2013-07-01,08:30,08:45,24605
2013-07-01,08:45,09:00,24428
2013-07-01,09:00,09:15,24479
2013-07-01,09:15,09:30,24838
2013-07-01,09:30,09:45,25094
2013-07-01,09:45,10:00,24910
2013-07-01,10:00,10:15,25430
2013-07-01,10:15,10:30,25816
2013-07-01,10:30,10:45,25944
2013-07-01,10:45,11:00,25872
2013-07-01,11:00,11:15,25831
2013-07-01,11:15,11:30,26046
2013-07-01,11:30,11:45,26147
2013-07-01,11:45,12:00,26185
2013-07-01,12:00,12:15,25908
2013-07-01,12:15,12:30,25848
2013-07-01,12:30,12:45,25796
2013-07-01,12:45,13:00,25660
2013-07-01,13:00,13:15,25486
2013-07-01,13:15,13:30,25514
2013-07-01,13:30,13:45,25202
2013-07-01,13:45,14:00,24974
2013-07-01,14:00,14:15,25047
2013-07-01,14:15,14:30,24934
2013-07-01,14:30,14:45,24832
2013-07-01,14:45,15:00,24723
2013-07-01,15:00,15:15,24556
2013-07-01,15:15,15:30,24660
2013-07-01,15:30,15:45,24700
2013-07-01,15:45,16:00,24591
2013-07-01,16:00,16:15,24546
2013-07-01,16:15,16:30,24301
2013-07-01,16:30,16:45,24107
2013-07-01,16:45,17:00,23900
2013-07-01,17:00,17:15,23725
2013-07-01,17:15,17:30,23623
2013-07-01,17:30,17:45,23659
2013-07-01,17:45,18:00,23647
2013-07-01,18:00,18:15,23669
2013-07-01,18:15,18:30,23610
2013-07-01,18:30,18:45,23715
2013-07-01,18:45,19:00,23662
2013-07-01,19:00,19:15,23675
2013-07-01,19:15,19:30,23563
2013-07-01,19:30,19:45,23449
2013-07-01,19:45,20:00,23279
2013-07-01,20:00,20:15,22854
2013-07-01,20:15,20:30,22642
2013-07-01,20:30,20:45,22185
2013-07-01,20:45,21:00,22006
2013-07-01,21:00,21:15,21674
2013-07-01,21:15,21:30,21501
2013-07-01,21:30,21:45,21295
2013-07-01,21:45,22:00,20997
2013-07-01,22:00,22:15,20844
2013-07-01,22:15,22:30,20585
2013-07-01,22:30,22:45,20199
2013-07-01,22:45,23:00,19580
2013-07-01,23:00,23:15,19164
2013-07-01,23:15,23:30,18971
2013-07-01,23:30,23:45,18682
2013-07-01,23:45,00:00,18196
2013-07-02,00:00,00:15,17493
2013-07-02,00:15,00:30,17270
2013-07-02,00:30,00:45,16847
2013-07-02,00:45,01:00,16632
2013-07-02,01:00,01:15,16503
2013-07-02,01:15,01:30,16453
2013-07-02,01:30,01:45,16359
2013-07-02,01:45,02:00,16438
2013-07-02,02:00,02:15,16374
2013-07-02,02:15,02:30,16388
2013-07-02,02:30,02:45,16361
2013-07-02,02:45,03:00,16460
2013-07-02,03:00,03:15,16438
2013-07-02,03:15,03:30,16560
2013-07-02,03:30,03:45,16617
2013-07-02,03:45,04:00,16654
2013-07-02,04:00,04:15,16685
2013-07-02,04:15,04:30,16880
2013-07-02,04:30,04:45,17070
2013-07-02,04:45,05:00,17171
2013-07-02,05:00,05:15,17421
2013-07-02,05:15,05:30,17728
2013-07-02,05:30,05:45,18129
2013-07-02,05:45,06:00,18411
2013-07-02,06:00,06:15,19676
2013-07-02,06:15,06:30,20459
2013-07-02,06:30,06:45,21080
2013-07-02,06:45,07:00,21605
2013-07-02,07:00,07:15,22293
2013-07-02,07:15,07:30,22605
2013-07-02,07:30,07:45,22911
2013-07-02,07:45,08:00,23169
2013-07-02,08:00,08:15,23649
2013-07-02,08:15,08:30,24015
2013-07-02,08:30,08:45,24396
2013-07-02,08:45,09:00,24443
2013-07-02,09:00,09:15,24315
2013-07-02,09:15,09:30,24558
2013-07-02,09:30,09:45,24849
2013-07-02,09:45,10:00,24972
2013-07-02,10:00,10:15,25239
2013-07-02,10:15,10:30,25658
2013-07-02,10:30,10:45,25953
2013-07-02,10:45,11:00,26075
2013-07-02,11:00,11:15,26000
2013-07-02,11:15,11:30,26112
2013-07-02,11:30,11:45,26298
2013-07-02,11:45,12:00,26238
2013-07-02,12:00,12:15,25897
2013-07-02,12:15,12:30,25810
2013-07-02,12:30,12:45,25788
2013-07-02,12:45,13:00,25929
2013-07-02,13:00,13:15,25775
2013-07-02,13:15,13:30,25578
2013-07-02,13:30,13:45,25380
2013-07-02,13:45,14:00,25125
2013-07-02,14:00,14:15,24840
2013-07-02,14:15,14:30,24908
2013-07-02,14:30,14:45,25045
2013-07-02,14:45,15:00,24992
2013-07-02,15:00,15:15,24789
2013-07-02,15:15,15:30,24706
2013-07-02,15:30,15:45,24681
2013-07-02,15:45,16:00,24631
2013-07-02,16:00,16:15,24445
2013-07-02,16:15,16:30,24309
2013-07-02,16:30,16:45,24069
2013-07-02,16:45,17:00,23903
2013-07-02,17:00,17:15,23871
2013-07-02,17:15,17:30,23801
2013-07-02,17:30,17:45,23812
2013-07-02,17:45,18:00,23700
2013-07-02,18:00,18:15,23594
2013-07-02,18:15,18:30,23583
2013-07-02,18:30,18:45,23751
2013-07-02,18:45,19:00,23701
2013-07-02,19:00,19:15,23709
2013-07-02,19:15,19:30,23651
2013-07-02,19:30,19:45,23535
2013-07-02,19:45,20:00,23307
2013-07-02,20:00,20:15,23007
2013-07-02,20:15,20:30,22774
2013-07-02,20:30,20:45,22361
2013-07-02,20:45,21:00,22102
2013-07-02,21:00,21:15,21651
2013-07-02,21:15,21:30,21482
2013-07-02,21:30,21:45,21290
2013-07-02,21:45,22:00,21046
2013-07-02,22:00,22:15,20839
2013-07-02,22:15,22:30,20536
2013-07-02,22:30,22:45,20244
2013-07-02,22:45,23:00,19780
2013-07-02,23:00,23:15,19228
2013-07-02,23:15,23:30,18974
2013-07-02,23:30,23:45,18671
2013-07-02,23:45,00:00,18346
2013-07-03,00:00,00:15,17715
2013-07-03,00:15,00:30,17659
2013-07-03,00:30,00:45,17391
2013-07-03,00:45,01:00,17311
2013-07-03,01:00,01:15,17083
2013-07-03,01:15,01:30,17060
2013-07-03,01:30,01:45,16963
2013-07-03,01:45,02:00,16867
2013-07-03,02:00,02:15,16668
2013-07-03,02:15,02:30,16542
2013-07-03,02:30,02:45,16571
2013-07-03,02:45,03:00,16677
2013-07-03,03:00,03:15,16829
2013-07-03,03:15,03:30,16886
2013-07-03,03:30,03:45,16892
2013-07-03,03:45,04:00,16913
2013-07-03,04:00,04:15,16839
2013-07-03,04:15,04:30,17011
2013-07-03,04:30,04:45,17188
2013-07-03,04:45,05:00,17280
2013-07-03,05:00,05:15,17561
2013-07-03,05:15,05:30,17878
2013-07-03,05:30,05:45,18274
2013-07-03,05:45,06:00,18544
2013-07-03,06:00,06:15,19781
2013-07-03,06:15,06:30,20552
2013-07-03,06:30,06:45,21174
2013-07-03,06:45,07:00,21708
2013-07-03,07:00,07:15,22489
2013-07-03,07:15,07:30,22851
2013-07-03,07:30,07:45,23251
2013-07-03,07:45,08:00,23604
2013-07-03,08:00,08:15,24143
2013-07-03,08:15,08:30,24464
2013-07-03,08:30,08:45,24758
2013-07-03,08:45,09:00,24915
2013-07-03,09:00,09:15,24837
2013-07-03,09:15,09:30,25084
2013-07-03,09:30,09:45,25253
2013-07-03,09:45,10:00,25428
2013-07-03,10:00,10:15,25725
2013-07-03,10:15,10:30,26068
2013-07-03,10:30,10:45,26357
2013-07-03,10:45,11:00,26480
2013-07-03,11:00,11:15,26539
2013-07-03,11:15,11:30,26722
2013-07-03,11:30,11:45,26919
2013-07-03,11:45,12:00,26890
2013-07-03,12:00,12:15,26639
2013-07-03,12:15,12:30,26509
2013-07-03,12:30,12:45,26539
2013-07-03,12:45,13:00,26637
2013-07-03,13:00,13:15,26525
2013-07-03,13:15,13:30,26303
2013-07-03,13:30,13:45,26144
2013-07-03,13:45,14:00,25866
2013-07-03,14:00,14:15,25581
2013-07-03,14:15,14:30,25695
2013-07-03,14:30,14:45,25821
2013-07-03,14:45,15:00,25793
2013-07-03,15:00,15:15,25636
2013-07-03,15:15,15:30,25477
2013-07-03,15:30,15:45,25373
2013-07-03,15:45,16:00,25294
2013-07-03,16:00,16:15,25054
2013-07-03,16:15,16:30,24916
2013-07-03,16:30,16:45,24703
2013-07-03,16:45,17:00,24607
2013-07-03,17:00,17:15,24496
2013-07-03,17:15,17:30,24418
2013-07-03,17:30,17:45,24380
2013-07-03,17:45,18:00,24258
2013-07-03,18:00,18:15,23985
2013-07-03,18:15,18:30,23920
2013-07-03,18:30,18:45,24023
2013-07-03,18:45,19:00,23962
2013-07-03,19:00,19:15,23841
2013-07-03,19:15,19:30,23692
2013-07-03,19:30,19:45,23543
2013-07-03,19:45,20:00,23354
2013-07-03,20:00,20:15,23157
2013-07-03,20:15,20:30,22850
2013-07-03,20:30,20:45,22437
2013-07-03,20:45,21:00,22229
2013-07-03,21:00,21:15,21713
2013-07-03,21:15,21:30,21533
2013-07-03,21:30,21:45,21380
2013-07-03,21:45,22:00,21177
2013-07-03,22:00,22:15,20925
2013-07-03,22:15,22:30,20555
2013-07-03,22:30,22:45,20329
2013-07-03,22:45,23:00,19922
2013-07-03,23:00,23:15,19403
2013-07-03,23:15,23:30,19001
2013-07-03,23:30,23:45,18607
2013-07-03,23:45,00:00,18416
2013-07-04,00:00,00:15,17565
2013-07-04,00:15,00:30,17479
2013-07-04,00:30,00:45,17179
2013-07-04,00:45,01:00,17071
2013-07-04,01:00,01:15,16882
2013-07-04,01:15,01:30,16856
2013-07-04,01:30,01:45,16758
2013-07-04,01:45,02:00,16582
2013-07-04,02:00,02:15,16406
2013-07-04,02:15,02:30,16306
2013-07-04,02:30,02:45,16379
2013-07-04,02:45,03:00,16501
2013-07-04,03:00,03:15,16624
2013-07-04,03:15,03:30,16676
2013-07-04,03:30,03:45,16690
2013-07-04,03:45,04:00,16720
2013-07-04,04:00,04:15,16648
2013-07-04,04:15,04:30,16787
2013-07-04,04:30,04:45,17041
2013-07-04,04:45,05:00,17172
2013-07-04,05:00,05:15,17275
2013-07-04,05:15,05:30,17538
2013-07-04,05:30,05:45,17825
2013-07-04,05:45,06:00,18176
2013-07-04,06:00,06:15,19335
2013-07-04,06:15,06:30,20191
2013-07-04,06:30,06:45,20827
2013-07-04,06:45,07:00,21342
2013-07-04,07:00,07:15,22026
2013-07-04,07:15,07:30,22367
2013-07-04,07:30,07:45,22578
2013-07-04,07:45,08:00,23089
2013-07-04,08:00,08:15,23588
2013-07-04,08:15,08:30,23982
2013-07-04,08:30,08:45,24119
2013-07-04,08:45,09:00,24266
2013-07-04,09:00,09:15,24314
2013-07-04,09:15,09:30,24413
2013-07-04,09:30,09:45,24500
2013-07-04,09:45,10:00,24549
2013-07-04,10:00,10:15,24976
2013-07-04,10:15,10:30,25226
2013-07-04,10:30,10:45,25299
2013-07-04,10:45,11:00,25478
2013-07-04,11:00,11:15,25525
2013-07-04,11:15,11:30,25674
2013-07-04,11:30,11:45,25883
2013-07-04,11:45,12:00,25650
2013-07-04,12:00,12:15,25715
2013-07-04,12:15,12:30,25766
2013-07-04,12:30,12:45,25749
2013-07-04,12:45,13:00,25726
2013-07-04,13:00,13:15,25662
2013-07-04,13:15,13:30,25577
2013-07-04,13:30,13:45,25385
2013-07-04,13:45,14:00,25262
2013-07-04,14:00,14:15,24945
2013-07-04,14:15,14:30,24988
2013-07-04,14:30,14:45,25037
2013-07-04,14:45,15:00,24743
2013-07-04,15:00,15:15,24543
2013-07-04,15:15,15:30,24355
2013-07-04,15:30,15:45,24128
2013-07-04,15:45,16:00,23928
2013-07-04,16:00,16:15,23784
2013-07-04,16:15,16:30,23554
2013-07-04,16:30,16:45,23430
2013-07-04,16:45,17:00,23338
2013-07-04,17:00,17:15,23346
2013-07-04,17:15,17:30,23465
2013-07-04,17:30,17:45,23654
2013-07-04,17:45,18:00,23432
2013-07-04,18:00,18:15,23244
2013-07-04,18:15,18:30,23101
2013-07-04,18:30,18:45,23289
2013-07-04,18:45,19:00,23343
2013-07-04,19:00,19:15,23126
2013-07-04,19:15,19:30,22981
2013-07-04,19:30,19:45,22910
2013-07-04,19:45,20:00,22869
2013-07-04,20:00,20:15,22741
2013-07-04,20:15,20:30,22547
2013-07-04,20:30,20:45,22303
2013-07-04,20:45,21:00,22084
2013-07-04,21:00,21:15,21807
2013-07-04,21:15,21:30,21701
2013-07-04,21:30,21:45,21535
2013-07-04,21:45,22:00,21238
2013-07-04,22:00,22:15,21176
2013-07-04,22:15,22:30,20969
2013-07-04,22:30,22:45,20563
2013-07-04,22:45,23:00,19980
2013-07-04,23:00,23:15,19360
2013-07-04,23:15,23:30,19184
2013-07-04,23:30,23:45,18748
2013-07-04,23:45,00:00,18250
2013-07-05,00:00,00:15,17532
2013-07-05,00:15,00:30,17426
2013-07-05,00:30,00:45,17102
2013-07-05,00:45,01:00,16806
2013-07-05,01:00,01:15,16566
2013-07-05,01:15,01:30,16607
2013-07-05,01:30,01:45,16714
2013-07-05,01:45,02:00,16588
2013-07-05,02:00,02:15,16454
2013-07-05,02:15,02:30,16423
2013-07-05,02:30,02:45,16584
2013-07-05,02:45,03:00,16642
2013-07-05,03:00,03:15,16711
2013-07-05,03:15,03:30,16806
2013-07-05,03:30,03:45,16813
2013-07-05,03:45,04:00,16824
2013-07-05,04:00,04:15,16839
2013-07-05,04:15,04:30,16971
2013-07-05,04:30,04:45,17154
2013-07-05,04:45,05:00,17514
2013-07-05,05:00,05:15,17861
2013-07-05,05:15,05:30,17872
2013-07-05,05:30,05:45,18104
2013-07-05,05:45,06:00,18493
2013-07-05,06:00,06:15,19750
2013-07-05,06:15,06:30,20648
2013-07-05,06:30,06:45,20905
2013-07-05,06:45,07:00,21677
2013-07-05,07:00,07:15,22445
2013-07-05,07:15,07:30,22765
2013-07-05,07:30,07:45,23027
2013-07-05,07:45,08:00,23540
2013-07-05,08:00,08:15,23986
2013-07-05,08:15,08:30,24452
2013-07-05,08:30,08:45,24631
2013-07-05,08:45,09:00,24869
2013-07-05,09:00,09:15,24744
2013-07-05,09:15,09:30,24873
2013-07-05,09:30,09:45,25114
2013-07-05,09:45,10:00,24977
2013-07-05,10:00,10:15,25195
2013-07-05,10:15,10:30,25256
2013-07-05,10:30,10:45,25578
2013-07-05,10:45,11:00,25735
2013-07-05,11:00,11:15,25794
2013-07-05,11:15,11:30,25848
2013-07-05,11:30,11:45,26057
2013-07-05,11:45,12:00,26103
2013-07-05,12:00,12:15,25946
2013-07-05,12:15,12:30,25974
2013-07-05,12:30,12:45,25901
2013-07-05,12:45,13:00,25785
2013-07-05,13:00,13:15,25707
2013-07-05,13:15,13:30,25550
2013-07-05,13:30,13:45,25315
2013-07-05,13:45,14:00,25194
2013-07-05,14:00,14:15,25112
2013-07-05,14:15,14:30,25055
2013-07-05,14:30,14:45,24779
2013-07-05,14:45,15:00,23883
