date,time_from,time_to,demand
2015-06-01,00:00,00:15,15787
2015-06-01,00:15,00:30,15569
2015-06-01,00:30,00:45,15466
2015-06-01,00:45,01:00,15348
2015-06-01,01:00,01:15,15139
2015-06-01,01:15,01:30,15040
2015-06-01,01:30,01:45,15008
2015-06-01,01:45,02:00,15044
2015-06-01,02:00,02:15,14955
2015-06-01,02:15,02:30,14933
2015-06-01,02:30,02:45,14907
2015-06-01,02:45,03:00,14927
2015-06-01,03:00,03:15,14898
2015-06-01,03:15,03:30,14891
2015-06-01,03:30,03:45,14942
2015-06-01,03:45,04:00,14963
2015-06-01,04:00,04:15,15043
2015-06-01,04:15,04:30,15157
2015-06-01,04:30,04:45,15365
2015-06-01,04:45,05:00,15579
2015-06-01,05:00,05:15,15872
2015-06-01,05:15,05:30,16113
2015-06-01,05:30,05:45,16434
2015-06-01,05:45,06:00,17017
2015-06-01,06:00,06:15,18300
2015-06-01,06:15,06:30,19169
2015-06-01,06:30,06:45,20091
2015-06-01,06:45,07:00,20568
2015-06-01,07:00,07:15,21158
2015-06-01,07:15,07:30,21525
2015-06-01,07:30,07:45,21859
2015-06-01,07:45,08:00,22137
2015-06-01,08:00,08:15,22418
2015-06-01,08:15,08:30,22563
2015-06-01,08:30,08:45,22860
2015-06-01,08:45,09:00,22941
2015-06-01,09:00,09:15,22853
2015-06-01,09:15,09:30,23111
2015-06-01,09:30,09:45,23242
2015-06-01,09:45,10:00,23331
2015-06-01,10:00,10:15,23396
2015-06-01,10:15,10:30,23565
2015-06-01,10:30,10:45,23767
2015-06-01,10:45,11:00,23976
2015-06-01,11:00,11:15,23958
2015-06-01,11:15,11:30,24027
2015-06-01,11:30,11:45,24088
2015-06-01,11:45,12:00,24114
2015-06-01,12:00,12:15,23802
2015-06-01,12:15,12:30,23765
2015-06-01,12:30,12:45,23751
2015-06-01,12:45,13:00,23669
2015-06-01,13:00,13:15,23702
2015-06-01,13:15,13:30,23623
2015-06-01,13:30,13:45,23513
2015-06-01,13:45,14:00,23398
2015-06-01,14:00,14:15,23440
2015-06-01,14:15,14:30,23451
2015-06-01,14:30,14:45,23409
2015-06-01,14:45,15:00,23345
2015-06-01,15:00,15:15,23357
2015-06-01,15:15,15:30,23237
2015-06-01,15:30,15:45,23054
2015-06-01,15:45,16:00,22908
2015-06-01,16:00,16:15,22749
2015-06-01,16:15,16:30,22606
2015-06-01,16:30,16:45,22490
2015-06-01,16:45,17:00,22467
2015-06-01,17:00,17:15,22499
2015-06-01,17:15,17:30,22596
2015-06-01,17:30,17:45,22568
2015-06-01,17:45,18:00,22551
2015-06-01,18:00,18:15,22453
2015-06-01,18:15,18:30,22386
2015-06-01,18:30,18:45,22448
2015-06-01,18:45,19:00,22407
2015-06-01,19:00,19:15,22331
2015-06-01,19:15,19:30,22225
2015-06-01,19:30,19:45,22078
2015-06-01,19:45,20:00,21854
2015-06-01,20:00,20:15,21808
2015-06-01,20:15,20:30,21562
2015-06-01,20:30,20:45,21298
2015-06-01,20:45,21:00,20987
2015-06-01,21:00,21:15,20907
2015-06-01,21:15,21:30,20905
2015-06-01,21:30,21:45,20847
2015-06-01,21:45,22:00,20662
2015-06-01,22:00,22:15,20614
2015-06-01,22:15,22:30,20400
2015-06-01,22:30,22:45,20058
2015-06-01,22:45,23:00,19792
2015-06-01,23:00,23:15,19300
2015-06-01,23:15,23:30,18900
2015-06-01,23:30,23:45,18541
2015-06-01,23:45,00:00,18308
2015-06-02,00:00,00:15,17836
2015-06-02,00:15,00:30,17661
2015-06-02,00:30,00:45,17495
2015-06-02,00:45,01:00,17392
2015-06-02,01:00,01:15,17102
2015-06-02,01:15,01:30,16974
2015-06-02,01:30,01:45,16914
2015-06-02,01:45,02:00,16933
2015-06-02,02:00,02:15,16811
2015-06-02,02:15,02:30,16749
2015-06-02,02:30,02:45,16717
2015-06-02,02:45,03:00,16762
2015-06-02,03:00,03:15,16722
2015-06-02,03:15,03:30,16684
2015-06-02,03:30,03:45,16678
2015-06-02,03:45,04:00,16663
2015-06-02,04:00,04:15,16665
2015-06-02,04:15,04:30,16753
2015-06-02,04:30,04:45,16888
2015-06-02,04:45,05:00,17052
2015-06-02,05:00,05:15,17234
2015-06-02,05:15,05:30,17372
2015-06-02,05:30,05:45,17570
2015-06-02,05:45,06:00,17911
2015-06-02,06:00,06:15,18848
2015-06-02,06:15,06:30,19522
2015-06-02,06:30,06:45,20262
2015-06-02,06:45,07:00,20630
2015-06-02,07:00,07:15,21082
2015-06-02,07:15,07:30,21395
2015-06-02,07:30,07:45,21699
2015-06-02,07:45,08:00,21961
2015-06-02,08:00,08:15,22152
2015-06-02,08:15,08:30,22272
2015-06-02,08:30,08:45,22489
2015-06-02,08:45,09:00,22576
2015-06-02,09:00,09:15,22476
2015-06-02,09:15,09:30,22718
2015-06-02,09:30,09:45,22881
2015-06-02,09:45,10:00,22944
2015-06-02,10:00,10:15,22941
2015-06-02,10:15,10:30,23096
2015-06-02,10:30,10:45,23259
2015-06-02,10:45,11:00,23452
2015-06-02,11:00,11:15,23401
2015-06-02,11:15,11:30,23462
2015-06-02,11:30,11:45,23614
2015-06-02,11:45,12:00,23649
2015-06-02,12:00,12:15,23439
2015-06-02,12:15,12:30,23444
2015-06-02,12:30,12:45,23506
2015-06-02,12:45,13:00,23460
2015-06-02,13:00,13:15,23502
2015-06-02,13:15,13:30,23389
2015-06-02,13:30,13:45,23220
2015-06-02,13:45,14:00,23080
2015-06-02,14:00,14:15,23102
2015-06-02,14:15,14:30,23155
2015-06-02,14:30,14:45,23138
2015-06-02,14:45,15:00,23129
2015-06-02,15:00,15:15,23166
2015-06-02,15:15,15:30,23025
2015-06-02,15:30,15:45,22862
2015-06-02,15:45,16:00,22703
2015-06-02,16:00,16:15,22517
2015-06-02,16:15,16:30,22368
2015-06-02,16:30,16:45,22264
2015-06-02,16:45,17:00,22205
2015-06-02,17:00,17:15,22170
2015-06-02,17:15,17:30,22278
2015-06-02,17:30,17:45,22264
2015-06-02,17:45,18:00,22293
2015-06-02,18:00,18:15,22160
2015-06-02,18:15,18:30,22100
2015-06-02,18:30,18:45,22137
2015-06-02,18:45,19:00,22069
2015-06-02,19:00,19:15,21965
2015-06-02,19:15,19:30,21818
2015-06-02,19:30,19:45,21637
2015-06-02,19:45,20:00,21504
2015-06-02,20:00,20:15,21511
2015-06-02,20:15,20:30,21277
2015-06-02,20:30,20:45,21008
2015-06-02,20:45,21:00,20753
2015-06-02,21:00,21:15,20680
2015-06-02,21:15,21:30,20728
2015-06-02,21:30,21:45,20681
2015-06-02,21:45,22:00,20517
2015-06-02,22:00,22:15,20601
2015-06-02,22:15,22:30,20392
2015-06-02,22:30,22:45,20083
2015-06-02,22:45,23:00,19829
2015-06-02,23:00,23:15,19422
2015-06-02,23:15,23:30,19016
2015-06-02,23:30,23:45,18653
2015-06-02,23:45,00:00,18415
2015-06-03,00:00,00:15,17263
2015-06-03,00:15,00:30,17110
2015-06-03,00:30,00:45,16820
2015-06-03,00:45,01:00,16627
2015-06-03,01:00,01:15,16422
2015-06-03,01:15,01:30,16247
2015-06-03,01:30,01:45,16134
2015-06-03,01:45,02:00,16083
2015-06-03,02:00,02:15,15916
2015-06-03,02:15,02:30,15828
2015-06-03,02:30,02:45,15856
2015-06-03,02:45,03:00,15885
2015-06-03,03:00,03:15,15922
2015-06-03,03:15,03:30,15925
2015-06-03,03:30,03:45,15892
2015-06-03,03:45,04:00,15922
2015-06-03,04:00,04:15,16062
2015-06-03,04:15,04:30,16154
2015-06-03,04:30,04:45,16356
2015-06-03,04:45,05:00,16571
2015-06-03,05:00,05:15,16938
2015-06-03,05:15,05:30,17108
2015-06-03,05:30,05:45,17375
2015-06-03,05:45,06:00,17771
2015-06-03,06:00,06:15,18868
2015-06-03,06:15,06:30,19652
2015-06-03,06:30,06:45,20268
2015-06-03,06:45,07:00,20724
2015-06-03,07:00,07:15,21302
2015-06-03,07:15,07:30,21592
2015-06-03,07:30,07:45,21871
2015-06-03,07:45,08:00,22149
2015-06-03,08:00,08:15,22625
2015-06-03,08:15,08:30,22918
2015-06-03,08:30,08:45,23155
2015-06-03,08:45,09:00,23267
2015-06-03,09:00,09:15,23306
2015-06-03,09:15,09:30,23451
2015-06-03,09:30,09:45,23608
2015-06-03,09:45,10:00,23688
2015-06-03,10:00,10:15,23813
2015-06-03,10:15,10:30,24024
2015-06-03,10:30,10:45,24184
2015-06-03,10:45,11:00,24351
2015-06-03,11:00,11:15,24507
2015-06-03,11:15,11:30,24608
2015-06-03,11:30,11:45,24702
2015-06-03,11:45,12:00,24723
2015-06-03,12:00,12:15,24551
2015-06-03,12:15,12:30,24521
2015-06-03,12:30,12:45,24477
2015-06-03,12:45,13:00,24482
2015-06-03,13:00,13:15,24500
2015-06-03,13:15,13:30,24414
2015-06-03,13:30,13:45,24171
2015-06-03,13:45,14:00,23927
2015-06-03,14:00,14:15,23859
2015-06-03,14:15,14:30,23750
2015-06-03,14:30,14:45,23693
2015-06-03,14:45,15:00,23559
2015-06-03,15:00,15:15,23454
2015-06-03,15:15,15:30,23332
2015-06-03,15:30,15:45,23107
2015-06-03,15:45,16:00,22884
2015-06-03,16:00,16:15,22748
2015-06-03,16:15,16:30,22593
2015-06-03,16:30,16:45,22479
2015-06-03,16:45,17:00,22288
2015-06-03,17:00,17:15,22165
2015-06-03,17:15,17:30,22193
2015-06-03,17:30,17:45,22133
2015-06-03,17:45,18:00,22053
2015-06-03,18:00,18:15,21771
2015-06-03,18:15,18:30,21714
2015-06-03,18:30,18:45,21765
2015-06-03,18:45,19:00,21702
2015-06-03,19:00,19:15,21421
2015-06-03,19:15,19:30,21307
2015-06-03,19:30,19:45,21156
2015-06-03,19:45,20:00,20920
2015-06-03,20:00,20:15,20662
2015-06-03,20:15,20:30,20481
2015-06-03,20:30,20:45,20262
2015-06-03,20:45,21:00,20010
2015-06-03,21:00,21:15,19877
2015-06-03,21:15,21:30,19858
2015-06-03,21:30,21:45,19769
