date,time_from,time_to,production
2015-02-02,20:15,20:30,37057
2015-02-02,20:30,20:45,36807
2015-02-02,20:45,21:00,36610
2015-02-02,21:00,21:15,35206
2015-02-02,21:15,21:30,34942
2015-02-02,21:30,21:45,34692
2015-02-02,21:45,22:00,34613
2015-02-02,22:00,22:15,33333
2015-02-02,22:15,22:30,33061
2015-02-02,22:30,22:45,32725
2015-02-02,22:45,23:00,32457
2015-02-02,23:00,23:15,30456
2015-02-02,23:15,23:30,30127
2015-02-02,23:30,23:45,29834
2015-02-02,23:45,00:00,29610
2015-02-03,00:00,00:15,30145
2015-02-03,00:15,00:30,29932
2015-02-03,00:30,00:45,29785
2015-02-03,00:45,01:00,29669
2015-02-03,01:00,01:15,29484
2015-02-03,01:15,01:30,29382
2015-02-03,01:30,01:45,29294
2015-02-03,01:45,02:00,29256
2015-02-03,02:00,02:15,28586
2015-02-03,02:15,02:30,28465
2015-02-03,02:30,02:45,28459
2015-02-03,02:45,03:00,28506
2015-02-03,03:00,03:15,28493
2015-02-03,03:15,03:30,28455
2015-02-03,03:30,03:45,28415
2015-02-03,03:45,04:00,28436
2015-02-03,04:00,04:15,29326
2015-02-03,04:15,04:30,29343
2015-02-03,04:30,04:45,29412
2015-02-03,04:45,05:00,29545
2015-02-03,05:00,05:15,29934
2015-02-03,05:15,05:30,30043
2015-02-03,05:30,05:45,30259
2015-02-03,05:45,06:00,30479
2015-02-03,06:00,06:15,32213
2015-02-03,06:15,06:30,32867
2015-02-03,06:30,06:45,33342
2015-02-03,06:45,07:00,33777
2015-02-03,07:00,07:15,34813
2015-02-03,07:15,07:30,35045
2015-02-03,07:30,07:45,35739
2015-02-03,07:45,08:00,36132
2015-02-03,08:00,08:15,37718
2015-02-03,08:15,08:30,37828
2015-02-03,08:30,08:45,37944
2015-02-03,08:45,09:00,38194
2015-02-03,09:00,09:15,38437
2015-02-03,09:15,09:30,38562
2015-02-03,09:30,09:45,38741
2015-02-03,09:45,10:00,38895
2015-02-03,10:00,10:15,39932
2015-02-03,10:15,10:30,40185
2015-02-03,10:30,10:45,40400
2015-02-03,10:45,11:00,40609
2015-02-03,11:00,11:15,40740
2015-02-03,11:15,11:30,40883
2015-02-03,11:30,11:45,41019
2015-02-03,11:45,12:00,41097
2015-02-03,12:00,12:15,41211
2015-02-03,12:15,12:30,41199
2015-02-03,12:30,12:45,41243
2015-02-03,12:45,13:00,41249
2015-02-03,13:00,13:15,40774
2015-02-03,13:15,13:30,40725
2015-02-03,13:30,13:45,40589
2015-02-03,13:45,14:00,40434
2015-02-03,14:00,14:15,39657
2015-02-03,14:15,14:30,39533
2015-02-03,14:30,14:45,39450
2015-02-03,14:45,15:00,39295
2015-02-03,15:00,15:15,38402
2015-02-03,15:15,15:30,38122
2015-02-03,15:30,15:45,37897
2015-02-03,15:45,16:00,37642
2015-02-03,16:00,16:15,36870
2015-02-03,16:15,16:30,36705
2015-02-03,16:30,16:45,36578
2015-02-03,16:45,17:00,36577
2015-02-03,17:00,17:15,35856
2015-02-03,17:15,17:30,36040
2015-02-03,17:30,17:45,36204
2015-02-03,17:45,18:00,36625
2015-02-03,18:00,18:15,37018
2015-02-03,18:15,18:30,37093
2015-02-03,18:30,18:45,37074
2015-02-03,18:45,19:00,37048
2015-02-03,19:00,19:15,36702
2015-02-03,19:15,19:30,36593
2015-02-03,19:30,19:45,36461
2015-02-03,19:45,20:00,36313
2015-02-03,20:00,20:15,35653
2015-02-03,20:15,20:30,35226
2015-02-03,20:30,20:45,34998
2015-02-03,20:45,21:00,34857
2015-02-03,21:00,21:15,34179
2015-02-03,21:15,21:30,33910
2015-02-03,21:30,21:45,33694
2015-02-03,21:45,22:00,33612
2015-02-03,22:00,22:15,33542
2015-02-03,22:15,22:30,33119
2015-02-03,22:30,22:45,32847
2015-02-03,22:45,23:00,32620
2015-02-03,23:00,23:15,32520
2015-02-03,23:15,23:30,32070
2015-02-03,23:30,23:45,31518
2015-02-03,23:45,00:00,31415
2015-02-04,00:00,00:15,31450
2015-02-04,00:15,00:30,31222
2015-02-04,00:30,00:45,31111
2015-02-04,00:45,01:00,31133
2015-02-04,01:00,01:15,30890
2015-02-04,01:15,01:30,30886
2015-02-04,01:30,01:45,30753
2015-02-04,01:45,02:00,30698
2015-02-04,02:00,02:15,29682
2015-02-04,02:15,02:30,29690
2015-02-04,02:30,02:45,29719
2015-02-04,02:45,03:00,29732
2015-02-04,03:00,03:15,29498
2015-02-04,03:15,03:30,29500
2015-02-04,03:30,03:45,29506
2015-02-04,03:45,04:00,29510
2015-02-04,04:00,04:15,30450
2015-02-04,04:15,04:30,30491
2015-02-04,04:30,04:45,30653
2015-02-04,04:45,05:00,30750
2015-02-04,05:00,05:15,31225
2015-02-04,05:15,05:30,31328
2015-02-04,05:30,05:45,31535
2015-02-04,05:45,06:00,31752
2015-02-04,06:00,06:15,33570
2015-02-04,06:15,06:30,34189
2015-02-04,06:30,06:45,34588
2015-02-04,06:45,07:00,34998
2015-02-04,07:00,07:15,36076
2015-02-04,07:15,07:30,36517
2015-02-04,07:30,07:45,36924
2015-02-04,07:45,08:00,37085
2015-02-04,08:00,08:15,37094
2015-02-04,08:15,08:30,37209
2015-02-04,08:30,08:45,37333
2015-02-04,08:45,09:00,37519
2015-02-04,09:00,09:15,38614
2015-02-04,09:15,09:30,38810
2015-02-04,09:30,09:45,39002
2015-02-04,09:45,10:00,39207
2015-02-04,10:00,10:15,40040
2015-02-04,10:15,10:30,40273
2015-02-04,10:30,10:45,40519
2015-02-04,10:45,11:00,40765
2015-02-04,11:00,11:15,41388
2015-02-04,11:15,11:30,41599
2015-02-04,11:30,11:45,41741
2015-02-04,11:45,12:00,41829
2015-02-04,12:00,12:15,41843
2015-02-04,12:15,12:30,41877
2015-02-04,12:30,12:45,41870
2015-02-04,12:45,13:00,41885
2015-02-04,13:00,13:15,41672
2015-02-04,13:15,13:30,41587
2015-02-04,13:30,13:45,41501
2015-02-04,13:45,14:00,41272
2015-02-04,14:00,14:15,40569
2015-02-04,14:15,14:30,40418
2015-02-04,14:30,14:45,40298
2015-02-04,14:45,15:00,40137
2015-02-04,15:00,15:15,39130
2015-02-04,15:15,15:30,38811
2015-02-04,15:30,15:45,38653
2015-02-04,15:45,16:00,38432
2015-02-04,16:00,16:15,37379
2015-02-04,16:15,16:30,37215
2015-02-04,16:30,16:45,37098
2015-02-04,16:45,17:00,37026
2015-02-04,17:00,17:15,35893
2015-02-04,17:15,17:30,36009
2015-02-04,17:30,17:45,36176
2015-02-04,17:45,18:00,36588
2015-02-04,18:00,18:15,37257
2015-02-04,18:15,18:30,37335
2015-02-04,18:30,18:45,37314
2015-02-04,18:45,19:00,37306
2015-02-04,19:00,19:15,36720
2015-02-04,19:15,19:30,36593
2015-02-04,19:30,19:45,36436
2015-02-04,19:45,20:00,36208
2015-02-04,20:00,20:15,36060
2015-02-04,20:15,20:30,35787
2015-02-04,20:30,20:45,35592
2015-02-04,20:45,21:00,35431
2015-02-04,21:00,21:15,34529
2015-02-04,21:15,21:30,33863
2015-02-04,21:30,21:45,33609
2015-02-04,21:45,22:00,33464
2015-02-04,22:00,22:15,33036
2015-02-04,22:15,22:30,32856
2015-02-04,22:30,22:45,32489
2015-02-04,22:45,23:00,32241
2015-02-04,23:00,23:15,31644
2015-02-04,23:15,23:30,31331
2015-02-04,23:30,23:45,31047
2015-02-04,23:45,00:00,30898
2015-02-05,00:00,00:15,30295
2015-02-05,00:15,00:30,30164
2015-02-05,00:30,00:45,30093
2015-02-05,00:45,01:00,30058
2015-02-05,01:00,01:15,30352
2015-02-05,01:15,01:30,30255
2015-02-05,01:30,01:45,30188
2015-02-05,01:45,02:00,30064
2015-02-05,02:00,02:15,29578
2015-02-05,02:15,02:30,29561
2015-02-05,02:30,02:45,29579
2015-02-05,02:45,03:00,29619
2015-02-05,03:00,03:15,29251
2015-02-05,03:15,03:30,29253
2015-02-05,03:30,03:45,29292
2015-02-05,03:45,04:00,29354
2015-02-05,04:00,04:15,29544
2015-02-05,04:15,04:30,29602
2015-02-05,04:30,04:45,29701
2015-02-05,04:45,05:00,29850
2015-02-05,05:00,05:15,30611
2015-02-05,05:15,05:30,30708
2015-02-05,05:30,05:45,30907
2015-02-05,05:45,06:00,31161
2015-02-05,06:00,06:15,33263
2015-02-05,06:15,06:30,33781
2015-02-05,06:30,06:45,34160
2015-02-05,06:45,07:00,34715
2015-02-05,07:00,07:15,36060
2015-02-05,07:15,07:30,36253
2015-02-05,07:30,07:45,36644
2015-02-05,07:45,08:00,36738
2015-02-05,08:00,08:15,36408
2015-02-05,08:15,08:30,36538
2015-02-05,08:30,08:45,36667
