date,time_from,time_to,feedin
2004-05-01,00:00,00:15,17135
2004-05-01,00:15,00:30,16913
2004-05-01,00:30,00:45,16981
2004-05-01,00:45,01:00,16908
2004-05-01,01:00,01:15,16831
2004-05-01,01:15,01:30,16628
2004-05-01,01:30,01:45,16824
2004-05-01,01:45,02:00,16810
2004-05-01,02:00,02:15,16713
2004-05-01,02:15,02:30,16758
2004-05-01,02:30,02:45,16794
2004-05-01,02:45,03:00,16656
2004-05-01,03:00,03:15,16704
2004-05-01,03:15,03:30,16650
2004-05-01,03:30,03:45,16588
2004-05-01,03:45,04:00,16468
2004-05-01,04:00,04:15,16554
2004-05-01,04:15,04:30,16455
2004-05-01,04:30,04:45,16351
2004-05-01,04:45,05:00,16199
2004-05-01,05:00,05:15,15941
2004-05-01,05:15,05:30,15781
2004-05-01,05:30,05:45,15470
2004-05-01,05:45,06:00,15144
2004-05-01,06:00,06:15,15049
2004-05-01,06:15,06:30,15144
2004-05-01,06:30,06:45,15153
2004-05-01,06:45,07:00,15107
2004-05-01,07:00,07:15,15252
2004-05-01,07:15,07:30,15534
2004-05-01,07:30,07:45,15863
2004-05-01,07:45,08:00,16229
2004-05-01,08:00,08:15,16899
2004-05-01,08:15,08:30,17015
2004-05-01,08:30,08:45,17591
2004-05-01,08:45,09:00,17881
2004-05-01,09:00,09:15,18142
2004-05-01,09:15,09:30,18417
2004-05-01,09:30,09:45,18470
2004-05-01,09:45,10:00,18662
2004-05-01,10:00,10:15,18872
2004-05-01,10:15,10:30,18792
2004-05-01,10:30,10:45,18771
2004-05-01,10:45,11:00,18996
2004-05-01,11:00,11:15,19028
2004-05-01,11:15,11:30,19066
2004-05-01,11:30,11:45,18920
2004-05-01,11:45,12:00,18895
2004-05-01,12:00,12:15,18800
2004-05-01,12:15,12:30,18784
2004-05-01,12:30,12:45,18591
2004-05-01,12:45,13:00,18415
2004-05-01,13:00,13:15,18342
2004-05-01,13:15,13:30,18163
2004-05-01,13:30,13:45,18136
2004-05-01,13:45,14:00,17880
2004-05-01,14:00,14:15,17764
2004-05-01,14:15,14:30,17608
2004-05-01,14:30,14:45,17547
2004-05-01,14:45,15:00,17415
2004-05-01,15:00,15:15,17371
2004-05-01,15:15,15:30,17113
2004-05-01,15:30,15:45,17192
2004-05-01,15:45,16:00,16963
2004-05-01,16:00,16:15,17160
2004-05-01,16:15,16:30,17128
2004-05-01,16:30,16:45,17100
2004-05-01,16:45,17:00,17096
2004-05-01,17:00,17:15,17096
2004-05-01,17:15,17:30,17229
2004-05-01,17:30,17:45,17378
2004-05-01,17:45,18:00,17548
2004-05-01,18:00,18:15,17551
2004-05-01,18:15,18:30,17616
2004-05-01,18:30,18:45,17699
2004-05-01,18:45,19:00,17872
2004-05-01,19:00,19:15,17848
2004-05-01,19:15,19:30,17889
2004-05-01,19:30,19:45,17902
2004-05-01,19:45,20:00,17885
2004-05-01,20:00,20:15,17767
2004-05-01,20:15,20:30,17499
2004-05-01,20:30,20:45,17532
2004-05-01,20:45,21:00,17438
2004-05-01,21:00,21:15,17766
2004-05-01,21:15,21:30,17819
2004-05-01,21:30,21:45,17775
2004-05-01,21:45,22:00,17730
2004-05-01,22:00,22:15,17652
2004-05-01,22:15,22:30,17221
2004-05-01,22:30,22:45,17077
2004-05-01,22:45,23:00,16841
2004-05-01,23:00,23:15,16761
2004-05-01,23:15,23:30,16459
2004-05-01,23:30,23:45,16046
2004-05-01,23:45,00:00,15832
2004-05-02,00:00,00:15,15503
2004-05-02,00:15,00:30,15244
2004-05-02,00:30,00:45,15136
2004-05-02,00:45,01:00,15171
2004-05-02,01:00,01:15,14750
2004-05-02,01:15,01:30,14615
2004-05-02,01:30,01:45,14649
2004-05-02,01:45,02:00,14576
2004-05-02,02:00,02:15,14527
2004-05-02,02:15,02:30,14371
2004-05-02,02:30,02:45,14627
2004-05-02,02:45,03:00,14572
2004-05-02,03:00,03:15,14676
2004-05-02,03:15,03:30,14601
2004-05-02,03:30,03:45,14699
2004-05-02,03:45,04:00,14815
2004-05-02,04:00,04:15,14814
2004-05-02,04:15,04:30,14820
2004-05-02,04:30,04:45,14944
2004-05-02,04:45,05:00,15011
2004-05-02,05:00,05:15,15031
2004-05-02,05:15,05:30,14994
2004-05-02,05:30,05:45,14872
2004-05-02,05:45,06:00,14825
2004-05-02,06:00,06:15,14637
2004-05-02,06:15,06:30,14843
2004-05-02,06:30,06:45,14959
