date,time_from,time_to,production
2012-08-01,00:00,00:15,19329
2012-08-01,00:15,00:30,19233
2012-08-01,00:30,00:45,19162
2012-08-01,00:45,01:00,19118
2012-08-01,01:00,01:15,18320
2012-08-01,01:15,01:30,18278
2012-08-01,01:30,01:45,18231
2012-08-01,01:45,02:00,18255
2012-08-01,02:00,02:15,17938
2012-08-01,02:15,02:30,17905
2012-08-01,02:30,02:45,17882
2012-08-01,02:45,03:00,17877
2012-08-01,03:00,03:15,17857
2012-08-01,03:15,03:30,17844
2012-08-01,03:30,03:45,17846
2012-08-01,03:45,04:00,17869
2012-08-01,04:00,04:15,17918
2012-08-01,04:15,04:30,17963
2012-08-01,04:30,04:45,18002
2012-08-01,04:45,05:00,18046
2012-08-01,05:00,05:15,18886
2012-08-01,05:15,05:30,18865
2012-08-01,05:30,05:45,18982
2012-08-01,05:45,06:00,19156
2012-08-01,06:00,06:15,21197
2012-08-01,06:15,06:30,21583
2012-08-01,06:30,06:45,21944
2012-08-01,06:45,07:00,22323
2012-08-01,07:00,07:15,24252
2012-08-01,07:15,07:30,24616
2012-08-01,07:30,07:45,24944
2012-08-01,07:45,08:00,25179
2012-08-01,08:00,08:15,26928
2012-08-01,08:15,08:30,27296
2012-08-01,08:30,08:45,27533
2012-08-01,08:45,09:00,27927
2012-08-01,09:00,09:15,27923
2012-08-01,09:15,09:30,28257
2012-08-01,09:30,09:45,28588
2012-08-01,09:45,10:00,28885
2012-08-01,10:00,10:15,28991
2012-08-01,10:15,10:30,29268
2012-08-01,10:30,10:45,29536
2012-08-01,10:45,11:00,29816
2012-08-01,11:00,11:15,29868
2012-08-01,11:15,11:30,30151
2012-08-01,11:30,11:45,30369
2012-08-01,11:45,12:00,30492
2012-08-01,12:00,12:15,30738
2012-08-01,12:15,12:30,30781
2012-08-01,12:30,12:45,30847
2012-08-01,12:45,13:00,30862
2012-08-01,13:00,13:15,30867
2012-08-01,13:15,13:30,30802
2012-08-01,13:30,13:45,30676
2012-08-01,13:45,14:00,30593
2012-08-01,14:00,14:15,30102
2012-08-01,14:15,14:30,30065
2012-08-01,14:30,14:45,29981
2012-08-01,14:45,15:00,29876
2012-08-01,15:00,15:15,29888
2012-08-01,15:15,15:30,29730
2012-08-01,15:30,15:45,29555
2012-08-01,15:45,16:00,29338
2012-08-01,16:00,16:15,29609
2012-08-01,16:15,16:30,29354
2012-08-01,16:30,16:45,29120
2012-08-01,16:45,17:00,28906
2012-08-01,17:00,17:15,29261
2012-08-01,17:15,17:30,29006
2012-08-01,17:30,17:45,28713
2012-08-01,17:45,18:00,28431
2012-08-01,18:00,18:15,28095
2012-08-01,18:15,18:30,27806
2012-08-01,18:30,18:45,27497
2012-08-01,18:45,19:00,27165
2012-08-01,19:00,19:15,26965
2012-08-01,19:15,19:30,26747
2012-08-01,19:30,19:45,26499
2012-08-01,19:45,20:00,26340
2012-08-01,20:00,20:15,26311
2012-08-01,20:15,20:30,26045
2012-08-01,20:30,20:45,25841
2012-08-01,20:45,21:00,25772
2012-08-01,21:00,21:15,26094
2012-08-01,21:15,21:30,25950
2012-08-01,21:30,21:45,25905
2012-08-01,21:45,22:00,25877
2012-08-01,22:00,22:15,25801
2012-08-01,22:15,22:30,25621
2012-08-01,22:30,22:45,25427
2012-08-01,22:45,23:00,25225
2012-08-01,23:00,23:15,22437
2012-08-01,23:15,23:30,22235
2012-08-01,23:30,23:45,22066
2012-08-01,23:45,00:00,21906
2012-08-02,00:00,00:15,19909
2012-08-02,00:15,00:30,19753
2012-08-02,00:30,00:45,19642
2012-08-02,00:45,01:00,19666
2012-08-02,01:00,01:15,19057
2012-08-02,01:15,01:30,19017
2012-08-02,01:30,01:45,18987
2012-08-02,01:45,02:00,18951
2012-08-02,02:00,02:15,18665
2012-08-02,02:15,02:30,18629
2012-08-02,02:30,02:45,18633
2012-08-02,02:45,03:00,18651
2012-08-02,03:00,03:15,18460
2012-08-02,03:15,03:30,18454
2012-08-02,03:30,03:45,18466
2012-08-02,03:45,04:00,18500
2012-08-02,04:00,04:15,18346
2012-08-02,04:15,04:30,18365
2012-08-02,04:30,04:45,18419
2012-08-02,04:45,05:00,18489
2012-08-02,05:00,05:15,18923
2012-08-02,05:15,05:30,18967
2012-08-02,05:30,05:45,19079
2012-08-02,05:45,06:00,19244
2012-08-02,06:00,06:15,20761
2012-08-02,06:15,06:30,21017
2012-08-02,06:30,06:45,21270
2012-08-02,06:45,07:00,21580
2012-08-02,07:00,07:15,24189
2012-08-02,07:15,07:30,24519
2012-08-02,07:30,07:45,24860
2012-08-02,07:45,08:00,25250
2012-08-02,08:00,08:15,26534
2012-08-02,08:15,08:30,26882
2012-08-02,08:30,08:45,27193
2012-08-02,08:45,09:00,27536
2012-08-02,09:00,09:15,27681
2012-08-02,09:15,09:30,27930
2012-08-02,09:30,09:45,28185
2012-08-02,09:45,10:00,28422
2012-08-02,10:00,10:15,28314
2012-08-02,10:15,10:30,28507
2012-08-02,10:30,10:45,28693
2012-08-02,10:45,11:00,28896
2012-08-02,11:00,11:15,28880
2012-08-02,11:15,11:30,29083
2012-08-02,11:30,11:45,29220
2012-08-02,11:45,12:00,29282
2012-08-02,12:00,12:15,29434
2012-08-02,12:15,12:30,29449
2012-08-02,12:30,12:45,29487
2012-08-02,12:45,13:00,29490
2012-08-02,13:00,13:15,29598
2012-08-02,13:15,13:30,29513
2012-08-02,13:30,13:45,29383
2012-08-02,13:45,14:00,29235
2012-08-02,14:00,14:15,29097
2012-08-02,14:15,14:30,29069
2012-08-02,14:30,14:45,29030
2012-08-02,14:45,15:00,28954
2012-08-02,15:00,15:15,28982
2012-08-02,15:15,15:30,28864
2012-08-02,15:30,15:45,28736
2012-08-02,15:45,16:00,28554
2012-08-02,16:00,16:15,28506
2012-08-02,16:15,16:30,28309
2012-08-02,16:30,16:45,28103
2012-08-02,16:45,17:00,27924
2012-08-02,17:00,17:15,27752
2012-08-02,17:15,17:30,27569
2012-08-02,17:30,17:45,27375
2012-08-02,17:45,18:00,27208
2012-08-02,18:00,18:15,26750
2012-08-02,18:15,18:30,26523
2012-08-02,18:30,18:45,26283
2012-08-02,18:45,19:00,26104
2012-08-02,19:00,19:15,26013
2012-08-02,19:15,19:30,25794
2012-08-02,19:30,19:45,25635
2012-08-02,19:45,20:00,25536
2012-08-02,20:00,20:15,25392
2012-08-02,20:15,20:30,25224
2012-08-02,20:30,20:45,25099
2012-08-02,20:45,21:00,25005
2012-08-02,21:00,21:15,25013
2012-08-02,21:15,21:30,24936
2012-08-02,21:30,21:45,24937
2012-08-02,21:45,22:00,24891
2012-08-02,22:00,22:15,24413
2012-08-02,22:15,22:30,24300
2012-08-02,22:30,22:45,24151
2012-08-02,22:45,23:00,23956
2012-08-02,23:00,23:15,23109
2012-08-02,23:15,23:30,22876
2012-08-02,23:30,23:45,22695
2012-08-02,23:45,00:00,22459
2012-08-03,00:00,00:15,21003
2012-08-03,00:15,00:30,20894
2012-08-03,00:30,00:45,20811
2012-08-03,00:45,01:00,20729
2012-08-03,01:00,01:15,19921
2012-08-03,01:15,01:30,19876
2012-08-03,01:30,01:45,19863
2012-08-03,01:45,02:00,19842
2012-08-03,02:00,02:15,18062
2012-08-03,02:15,02:30,18054
2012-08-03,02:30,02:45,18063
2012-08-03,02:45,03:00,18073
2012-08-03,03:00,03:15,17868
2012-08-03,03:15,03:30,17882
2012-08-03,03:30,03:45,17912
2012-08-03,03:45,04:00,17939
2012-08-03,04:00,04:15,17880
2012-08-03,04:15,04:30,17929
2012-08-03,04:30,04:45,17981
2012-08-03,04:45,05:00,18041
2012-08-03,05:00,05:15,18772
2012-08-03,05:15,05:30,18812
2012-08-03,05:30,05:45,18906
2012-08-03,05:45,06:00,19051
2012-08-03,06:00,06:15,21478
2012-08-03,06:15,06:30,21772
2012-08-03,06:30,06:45,22021
2012-08-03,06:45,07:00,22309
2012-08-03,07:00,07:15,24055
2012-08-03,07:15,07:30,24309
2012-08-03,07:30,07:45,24520
2012-08-03,07:45,08:00,24728
2012-08-03,08:00,08:15,25932
2012-08-03,08:15,08:30,26219
2012-08-03,08:30,08:45,26544
2012-08-03,08:45,09:00,26816
2012-08-03,09:00,09:15,26748
2012-08-03,09:15,09:30,26974
2012-08-03,09:30,09:45,27197
2012-08-03,09:45,10:00,27389
2012-08-03,10:00,10:15,27727
2012-08-03,10:15,10:30,27898
2012-08-03,10:30,10:45,28070
2012-08-03,10:45,11:00,28244
2012-08-03,11:00,11:15,28326
2012-08-03,11:15,11:30,28483
2012-08-03,11:30,11:45,28620
2012-08-03,11:45,12:00,28687
2012-08-03,12:00,12:15,28843
2012-08-03,12:15,12:30,28796
