date,time_from,time_to,production
2009-03-01,00:00,00:15,17874
2009-03-01,00:15,00:30,17651
2009-03-01,00:30,00:45,17503
2009-03-01,00:45,01:00,17415
2009-03-01,01:00,01:15,17188
2009-03-01,01:15,01:30,17131
2009-03-01,01:30,01:45,17088
2009-03-01,01:45,02:00,17091
2009-03-01,02:00,02:15,17050
2009-03-01,02:15,02:30,17066
2009-03-01,02:30,02:45,17109
2009-03-01,02:45,03:00,17127
2009-03-01,03:00,03:15,16995
2009-03-01,03:15,03:30,17029
2009-03-01,03:30,03:45,17054
2009-03-01,03:45,04:00,17110
2009-03-01,04:00,04:15,17270
2009-03-01,04:15,04:30,17309
2009-03-01,04:30,04:45,17308
2009-03-01,04:45,05:00,17312
2009-03-01,05:00,05:15,17328
2009-03-01,05:15,05:30,17233
2009-03-01,05:30,05:45,17065
2009-03-01,05:45,06:00,16886
2009-03-01,06:00,06:15,17761
2009-03-01,06:15,06:30,17608
2009-03-01,06:30,06:45,17501
2009-03-01,06:45,07:00,17455
2009-03-01,07:00,07:15,16988
2009-03-01,07:15,07:30,17082
2009-03-01,07:30,07:45,17175
2009-03-01,07:45,08:00,17336
2009-03-01,08:00,08:15,16987
2009-03-01,08:15,08:30,17177
2009-03-01,08:30,08:45,17349
2009-03-01,08:45,09:00,17490
2009-03-01,09:00,09:15,17481
2009-03-01,09:15,09:30,17602
2009-03-01,09:30,09:45,17731
2009-03-01,09:45,10:00,17853
2009-03-01,10:00,10:15,17603
2009-03-01,10:15,10:30,17731
2009-03-01,10:30,10:45,17874
2009-03-01,10:45,11:00,17994
2009-03-01,11:00,11:15,17721
2009-03-01,11:15,11:30,17899
2009-03-01,11:30,11:45,17996
2009-03-01,11:45,12:00,17952
2009-03-01,12:00,12:15,18033
2009-03-01,12:15,12:30,17930
2009-03-01,12:30,12:45,17859
2009-03-01,12:45,13:00,17739
2009-03-01,13:00,13:15,17668
2009-03-01,13:15,13:30,17539
2009-03-01,13:30,13:45,17518
2009-03-01,13:45,14:00,17419
2009-03-01,14:00,14:15,17492
2009-03-01,14:15,14:30,17421
2009-03-01,14:30,14:45,17369
2009-03-01,14:45,15:00,17309
2009-03-01,15:00,15:15,17329
2009-03-01,15:15,15:30,17289
2009-03-01,15:30,15:45,17345
2009-03-01,15:45,16:00,17320
2009-03-01,16:00,16:15,17545
2009-03-01,16:15,16:30,17519
2009-03-01,16:30,16:45,17496
2009-03-01,16:45,17:00,17519
2009-03-01,17:00,17:15,17719
2009-03-01,17:15,17:30,17847
2009-03-01,17:30,17:45,18006
2009-03-01,17:45,18:00,18273
2009-03-01,18:00,18:15,18034
2009-03-01,18:15,18:30,18301
2009-03-01,18:30,18:45,18455
2009-03-01,18:45,19:00,18525
2009-03-01,19:00,19:15,18758
2009-03-01,19:15,19:30,18706
2009-03-01,19:30,19:45,18590
2009-03-01,19:45,20:00,18507
2009-03-01,20:00,20:15,18770
2009-03-01,20:15,20:30,18638
2009-03-01,20:30,20:45,18480
2009-03-01,20:45,21:00,18413
2009-03-01,21:00,21:15,18476
2009-03-01,21:15,21:30,18416
2009-03-01,21:30,21:45,18509
2009-03-01,21:45,22:00,18590
2009-03-01,22:00,22:15,18572
2009-03-01,22:15,22:30,18471
2009-03-01,22:30,22:45,18388
2009-03-01,22:45,23:00,18226
2009-03-01,23:00,23:15,18150
2009-03-01,23:15,23:30,17879
2009-03-01,23:30,23:45,17646
2009-03-01,23:45,00:00,17523
2009-03-02,00:00,00:15,16665
2009-03-02,00:15,00:30,16510
2009-03-02,00:30,00:45,16410
2009-03-02,00:45,01:00,16324
2009-03-02,01:00,01:15,16510
2009-03-02,01:15,01:30,16492
2009-03-02,01:30,01:45,16494
2009-03-02,01:45,02:00,16551
2009-03-02,02:00,02:15,16589
2009-03-02,02:15,02:30,16630
2009-03-02,02:30,02:45,16681
2009-03-02,02:45,03:00,16700
2009-03-02,03:00,03:15,16561
2009-03-02,03:15,03:30,16606
2009-03-02,03:30,03:45,16670
2009-03-02,03:45,04:00,16796
2009-03-02,04:00,04:15,16952
2009-03-02,04:15,04:30,17033
2009-03-02,04:30,04:45,17095
2009-03-02,04:45,05:00,17224
2009-03-02,05:00,05:15,17663
2009-03-02,05:15,05:30,17761
2009-03-02,05:30,05:45,17883
2009-03-02,05:45,06:00,18103
2009-03-02,06:00,06:15,21054
2009-03-02,06:15,06:30,21376
2009-03-02,06:30,06:45,21655
2009-03-02,06:45,07:00,22105
2009-03-02,07:00,07:15,23303
2009-03-02,07:15,07:30,23536
2009-03-02,07:30,07:45,23761
2009-03-02,07:45,08:00,23891
2009-03-02,08:00,08:15,27194
2009-03-02,08:15,08:30,27286
2009-03-02,08:30,08:45,27362
2009-03-02,08:45,09:00,27426
2009-03-02,09:00,09:15,27886
2009-03-02,09:15,09:30,27958
2009-03-02,09:30,09:45,28051
2009-03-02,09:45,10:00,28115
2009-03-02,10:00,10:15,27892
2009-03-02,10:15,10:30,27972
2009-03-02,10:30,10:45,28035
2009-03-02,10:45,11:00,28113
2009-03-02,11:00,11:15,27989
2009-03-02,11:15,11:30,28107
2009-03-02,11:30,11:45,28147
2009-03-02,11:45,12:00,28106
2009-03-02,12:00,12:15,28092
2009-03-02,12:15,12:30,28030
2009-03-02,12:30,12:45,28040
2009-03-02,12:45,13:00,28012
2009-03-02,13:00,13:15,28090
2009-03-02,13:15,13:30,28049
2009-03-02,13:30,13:45,27931
2009-03-02,13:45,14:00,27737
2009-03-02,14:00,14:15,27357
2009-03-02,14:15,14:30,27234
2009-03-02,14:30,14:45,27195
2009-03-02,14:45,15:00,27106
2009-03-02,15:00,15:15,27283
2009-03-02,15:15,15:30,27216
2009-03-02,15:30,15:45,27211
2009-03-02,15:45,16:00,27109
2009-03-02,16:00,16:15,26997
2009-03-02,16:15,16:30,26904
2009-03-02,16:30,16:45,26834
2009-03-02,16:45,17:00,26808
2009-03-02,17:00,17:15,27154
2009-03-02,17:15,17:30,27208
2009-03-02,17:30,17:45,27252
2009-03-02,17:45,18:00,27449
2009-03-02,18:00,18:15,27651
2009-03-02,18:15,18:30,27832
2009-03-02,18:30,18:45,27953
2009-03-02,18:45,19:00,28052
2009-03-02,19:00,19:15,28081
2009-03-02,19:15,19:30,27966
2009-03-02,19:30,19:45,27836
2009-03-02,19:45,20:00,27779
2009-03-02,20:00,20:15,25114
2009-03-02,20:15,20:30,24895
2009-03-02,20:30,20:45,24725
2009-03-02,20:45,21:00,24507
2009-03-02,21:00,21:15,23173
2009-03-02,21:15,21:30,23094
2009-03-02,21:30,21:45,23006
2009-03-02,21:45,22:00,23039
2009-03-02,22:00,22:15,22370
2009-03-02,22:15,22:30,22133
2009-03-02,22:30,22:45,21931
2009-03-02,22:45,23:00,21648
2009-03-02,23:00,23:15,21381
2009-03-02,23:15,23:30,21090
2009-03-02,23:30,23:45,20823
2009-03-02,23:45,00:00,20640
2009-03-03,00:00,00:15,18680
2009-03-03,00:15,00:30,18513
2009-03-03,00:30,00:45,18425
2009-03-03,00:45,01:00,18300
2009-03-03,01:00,01:15,18634
2009-03-03,01:15,01:30,18598
2009-03-03,01:30,01:45,18572
2009-03-03,01:45,02:00,18608
2009-03-03,02:00,02:15,18355
2009-03-03,02:15,02:30,18410
2009-03-03,02:30,02:45,18482
2009-03-03,02:45,03:00,18560
2009-03-03,03:00,03:15,18555
2009-03-03,03:15,03:30,18598
2009-03-03,03:30,03:45,18668
2009-03-03,03:45,04:00,18763
2009-03-03,04:00,04:15,18716
2009-03-03,04:15,04:30,18793
2009-03-03,04:30,04:45,18872
2009-03-03,04:45,05:00,18973
2009-03-03,05:00,05:15,19223
2009-03-03,05:15,05:30,19295
2009-03-03,05:30,05:45,19417
2009-03-03,05:45,06:00,19575
2009-03-03,06:00,06:15,21601
2009-03-03,06:15,06:30,21959
2009-03-03,06:30,06:45,22340
2009-03-03,06:45,07:00,22785
2009-03-03,07:00,07:15,24444
2009-03-03,07:15,07:30,24716
2009-03-03,07:30,07:45,24837
2009-03-03,07:45,08:00,24973
2009-03-03,08:00,08:15,25774
2009-03-03,08:15,08:30,25826
2009-03-03,08:30,08:45,25860
2009-03-03,08:45,09:00,25858
2009-03-03,09:00,09:15,25647
2009-03-03,09:15,09:30,25698
2009-03-03,09:30,09:45,25778
2009-03-03,09:45,10:00,25817
2009-03-03,10:00,10:15,25619
2009-03-03,10:15,10:30,25672
2009-03-03,10:30,10:45,25721
2009-03-03,10:45,11:00,25778
2009-03-03,11:00,11:15,25737
2009-03-03,11:15,11:30,25823
2009-03-03,11:30,11:45,25885
2009-03-03,11:45,12:00,25862
2009-03-03,12:00,12:15,25860
2009-03-03,12:15,12:30,25811
2009-03-03,12:30,12:45,25840
2009-03-03,12:45,13:00,25860
2009-03-03,13:00,13:15,25672
2009-03-03,13:15,13:30,25664
2009-03-03,13:30,13:45,25675
2009-03-03,13:45,14:00,25608
2009-03-03,14:00,14:15,25822
2009-03-03,14:15,14:30,25781
2009-03-03,14:30,14:45,25767
2009-03-03,14:45,15:00,25713
2009-03-03,15:00,15:15,25383
2009-03-03,15:15,15:30,25237
2009-03-03,15:30,15:45,25197
2009-03-03,15:45,16:00,25116
2009-03-03,16:00,16:15,25075
2009-03-03,16:15,16:30,24993
2009-03-03,16:30,16:45,24923
2009-03-03,16:45,17:00,24920
2009-03-03,17:00,17:15,24987
2009-03-03,17:15,17:30,25049
2009-03-03,17:30,17:45,25129
2009-03-03,17:45,18:00,25467
2009-03-03,18:00,18:15,25691
2009-03-03,18:15,18:30,25920
2009-03-03,18:30,18:45,26105
2009-03-03,18:45,19:00,26224
2009-03-03,19:00,19:15,26099
2009-03-03,19:15,19:30,26033
2009-03-03,19:30,19:45,25947
2009-03-03,19:45,20:00,25867
2009-03-03,20:00,20:15,24212
2009-03-03,20:15,20:30,24084
2009-03-03,20:30,20:45,23794
2009-03-03,20:45,21:00,23542
2009-03-03,21:00,21:15,22883
2009-03-03,21:15,21:30,22736
2009-03-03,21:30,21:45,22703
