date,time_from,time_to,vertical_load
2005-10-01,00:00,00:15,14121
2005-10-01,00:15,00:30,13913
2005-10-01,00:30,00:45,13850
2005-10-01,00:45,01:00,13553
2005-10-01,01:00,01:15,13409
2005-10-01,01:15,01:30,13375
2005-10-01,01:30,01:45,13213
2005-10-01,01:45,02:00,13120
2005-10-01,02:00,02:15,12968
2005-10-01,02:15,02:30,12904
2005-10-01,02:30,02:45,12988
2005-10-01,02:45,03:00,12962
2005-10-01,03:00,03:15,12955
2005-10-01,03:15,03:30,12913
2005-10-01,03:30,03:45,12939
2005-10-01,03:45,04:00,13064
2005-10-01,04:00,04:15,12782
2005-10-01,04:15,04:30,12982
2005-10-01,04:30,04:45,12984
2005-10-01,04:45,05:00,13141
2005-10-01,05:00,05:15,13099
2005-10-01,05:15,05:30,13315
2005-10-01,05:30,05:45,13258
2005-10-01,05:45,06:00,13248
2005-10-01,06:00,06:15,13222
2005-10-01,06:15,06:30,13439
2005-10-01,06:30,06:45,13813
2005-10-01,06:45,07:00,14166
2005-10-01,07:00,07:15,14433
2005-10-01,07:15,07:30,14875
2005-10-01,07:30,07:45,15132
2005-10-01,07:45,08:00,15394
2005-10-01,08:00,08:15,15673
2005-10-01,08:15,08:30,16043
2005-10-01,08:30,08:45,16388
2005-10-01,08:45,09:00,16769
2005-10-01,09:00,09:15,16708
2005-10-01,09:15,09:30,17053
2005-10-01,09:30,09:45,17273
2005-10-01,09:45,10:00,17495
2005-10-01,10:00,10:15,17682
2005-10-01,10:15,10:30,17324
2005-10-01,10:30,10:45,17605
2005-10-01,10:45,11:00,17615
2005-10-01,11:00,11:15,17952
2005-10-01,11:15,11:30,17786
2005-10-01,11:30,11:45,18032
2005-10-01,11:45,12:00,17886
2005-10-01,12:00,12:15,17415
2005-10-01,12:15,12:30,17694
2005-10-01,12:30,12:45,17342
2005-10-01,12:45,13:00,17175
2005-10-01,13:00,13:15,17259
2005-10-01,13:15,13:30,17108
2005-10-01,13:30,13:45,16840
2005-10-01,13:45,14:00,16629
2005-10-01,14:00,14:15,16754
2005-10-01,14:15,14:30,16523
2005-10-01,14:30,14:45,16416
2005-10-01,14:45,15:00,16309
2005-10-01,15:00,15:15,16305
2005-10-01,15:15,15:30,16253
2005-10-01,15:30,15:45,16200
2005-10-01,15:45,16:00,15946
2005-10-01,16:00,16:15,15898
2005-10-01,16:15,16:30,15929
2005-10-01,16:30,16:45,16137
2005-10-01,16:45,17:00,15985
2005-10-01,17:00,17:15,16023
2005-10-01,17:15,17:30,16030
2005-10-01,17:30,17:45,16228
2005-10-01,17:45,18:00,16306
2005-10-01,18:00,18:15,16203
2005-10-01,18:15,18:30,16361
2005-10-01,18:30,18:45,16574
2005-10-01,18:45,19:00,16571
2005-10-01,19:00,19:15,16873
2005-10-01,19:15,19:30,17153
2005-10-01,19:30,19:45,17436
2005-10-01,19:45,20:00,17247
2005-10-01,20:00,20:15,17015
2005-10-01,20:15,20:30,16629
2005-10-01,20:30,20:45,16209
2005-10-01,20:45,21:00,15741
2005-10-01,21:00,21:15,16015
2005-10-01,21:15,21:30,15613
2005-10-01,21:30,21:45,15635
2005-10-01,21:45,22:00,15380
2005-10-01,22:00,22:15,15461
2005-10-01,22:15,22:30,15018
2005-10-01,22:30,22:45,14675
2005-10-01,22:45,23:00,14527
2005-10-01,23:00,23:15,14247
2005-10-01,23:15,23:30,13599
2005-10-01,23:30,23:45,13339
2005-10-01,23:45,00:00,13036
2005-10-02,00:00,00:15,13021
2005-10-02,00:15,00:30,13001
2005-10-02,00:30,00:45,12644
2005-10-02,00:45,01:00,12615
2005-10-02,01:00,01:15,12157
2005-10-02,01:15,01:30,12139
2005-10-02,01:30,01:45,11888
2005-10-02,01:45,02:00,11868
2005-10-02,02:00,02:15,11727
2005-10-02,02:15,02:30,11961
2005-10-02,02:30,02:45,11691
2005-10-02,02:45,03:00,11841
2005-10-02,03:00,03:15,11762
