date,time_from,time_to,production
2017-08-01,00:00,00:15,22472
2017-08-01,00:15,00:30,22243
2017-08-01,00:30,00:45,21992
2017-08-01,00:45,01:00,21876
2017-08-01,01:00,01:15,21787
2017-08-01,01:15,01:30,21753
2017-08-01,01:30,01:45,21681
2017-08-01,01:45,02:00,21652
2017-08-01,02:00,02:15,21245
2017-08-01,02:15,02:30,21170
2017-08-01,02:30,02:45,21174
2017-08-01,02:45,03:00,21135
2017-08-01,03:00,03:15,20256
2017-08-01,03:15,03:30,20245
2017-08-01,03:30,03:45,20280
2017-08-01,03:45,04:00,20293
2017-08-01,04:00,04:15,20224
2017-08-01,04:15,04:30,20287
2017-08-01,04:30,04:45,20323
2017-08-01,04:45,05:00,20529
2017-08-01,05:00,05:15,21249
2017-08-01,05:15,05:30,21383
2017-08-01,05:30,05:45,21677
2017-08-01,05:45,06:00,22111
2017-08-01,06:00,06:15,23476
2017-08-01,06:15,06:30,23732
2017-08-01,06:30,06:45,24165
2017-08-01,06:45,07:00,24805
2017-08-01,07:00,07:15,26029
2017-08-01,07:15,07:30,26284
2017-08-01,07:30,07:45,26869
2017-08-01,07:45,08:00,27305
2017-08-01,08:00,08:15,29453
2017-08-01,08:15,08:30,29760
2017-08-01,08:30,08:45,30145
2017-08-01,08:45,09:00,30559
2017-08-01,09:00,09:15,33465
2017-08-01,09:15,09:30,33641
2017-08-01,09:30,09:45,33816
2017-08-01,09:45,10:00,34183
2017-08-01,10:00,10:15,36484
2017-08-01,10:15,10:30,36628
2017-08-01,10:30,10:45,36898
2017-08-01,10:45,11:00,37170
2017-08-01,11:00,11:15,38626
2017-08-01,11:15,11:30,38778
2017-08-01,11:30,11:45,38907
2017-08-01,11:45,12:00,39012
2017-08-01,12:00,12:15,39851
2017-08-01,12:15,12:30,39911
2017-08-01,12:30,12:45,39945
2017-08-01,12:45,13:00,39993
2017-08-01,13:00,13:15,40097
2017-08-01,13:15,13:30,39961
2017-08-01,13:30,13:45,39809
2017-08-01,13:45,14:00,39728
2017-08-01,14:00,14:15,39056
2017-08-01,14:15,14:30,38902
2017-08-01,14:30,14:45,38731
2017-08-01,14:45,15:00,38619
2017-08-01,15:00,15:15,37473
2017-08-01,15:15,15:30,37266
2017-08-01,15:30,15:45,37112
2017-08-01,15:45,16:00,36879
2017-08-01,16:00,16:15,35531
2017-08-01,16:15,16:30,35212
2017-08-01,16:30,16:45,34911
2017-08-01,16:45,17:00,34847
2017-08-01,17:00,17:15,32865
2017-08-01,17:15,17:30,32605
2017-08-01,17:30,17:45,32352
2017-08-01,17:45,18:00,32215
2017-08-01,18:00,18:15,30252
2017-08-01,18:15,18:30,29933
2017-08-01,18:30,18:45,29798
2017-08-01,18:45,19:00,29730
2017-08-01,19:00,19:15,28961
2017-08-01,19:15,19:30,28575
2017-08-01,19:30,19:45,28272
2017-08-01,19:45,20:00,28104
2017-08-01,20:00,20:15,26591
2017-08-01,20:15,20:30,26317
2017-08-01,20:30,20:45,26001
2017-08-01,20:45,21:00,25850
2017-08-01,21:00,21:15,26288
2017-08-01,21:15,21:30,26187
2017-08-01,21:30,21:45,25946
2017-08-01,21:45,22:00,25774
2017-08-01,22:00,22:15,26178
2017-08-01,22:15,22:30,25898
2017-08-01,22:30,22:45,25452
2017-08-01,22:45,23:00,25246
2017-08-01,23:00,23:15,25612
2017-08-01,23:15,23:30,25195
2017-08-01,23:30,23:45,24839
2017-08-01,23:45,00:00,24660
2017-08-02,00:00,00:15,23866
2017-08-02,00:15,00:30,23598
2017-08-02,00:30,00:45,23408
2017-08-02,00:45,01:00,23303
2017-08-02,01:00,01:15,22701
2017-08-02,01:15,01:30,22492
2017-08-02,01:30,01:45,22389
2017-08-02,01:45,02:00,22459
2017-08-02,02:00,02:15,21857
2017-08-02,02:15,02:30,21728
2017-08-02,02:30,02:45,21703
2017-08-02,02:45,03:00,21736
2017-08-02,03:00,03:15,21575
