date,time_from,time_to,vertical_load
2009-01-01,00:00,00:15,14484
2009-01-01,00:15,00:30,14523
2009-01-01,00:30,00:45,14565
2009-01-01,00:45,01:00,14425
2009-01-01,01:00,01:15,14208
2009-01-01,01:15,01:30,14055
2009-01-01,01:30,01:45,13848
2009-01-01,01:45,02:00,13761
2009-01-01,02:00,02:15,13658
2009-01-01,02:15,02:30,13514
2009-01-01,02:30,02:45,13385
2009-01-01,02:45,03:00,13278
2009-01-01,03:00,03:15,13020
2009-01-01,03:15,03:30,12861
2009-01-01,03:30,03:45,12728
2009-01-01,03:45,04:00,12514
2009-01-01,04:00,04:15,12409
2009-01-01,04:15,04:30,12237
2009-01-01,04:30,04:45,12142
2009-01-01,04:45,05:00,11979
2009-01-01,05:00,05:15,11832
2009-01-01,05:15,05:30,11705
2009-01-01,05:30,05:45,11563
2009-01-01,05:45,06:00,11390
2009-01-01,06:00,06:15,10813
2009-01-01,06:15,06:30,10711
2009-01-01,06:30,06:45,10592
2009-01-01,06:45,07:00,10504
2009-01-01,07:00,07:15,10375
2009-01-01,07:15,07:30,10299
2009-01-01,07:30,07:45,10282
2009-01-01,07:45,08:00,10316
2009-01-01,08:00,08:15,10169
2009-01-01,08:15,08:30,10247
2009-01-01,08:30,08:45,10270
2009-01-01,08:45,09:00,10399
2009-01-01,09:00,09:15,10661
2009-01-01,09:15,09:30,10894
2009-01-01,09:30,09:45,11160
2009-01-01,09:45,10:00,11377
2009-01-01,10:00,10:15,11532
2009-01-01,10:15,10:30,11724
2009-01-01,10:30,10:45,11935
2009-01-01,10:45,11:00,12214
2009-01-01,11:00,11:15,12452
2009-01-01,11:15,11:30,12708
2009-01-01,11:30,11:45,12979
2009-01-01,11:45,12:00,13136
2009-01-01,12:00,12:15,13469
2009-01-01,12:15,12:30,13558
2009-01-01,12:30,12:45,13709
2009-01-01,12:45,13:00,13735
2009-01-01,13:00,13:15,13736
2009-01-01,13:15,13:30,13676
2009-01-01,13:30,13:45,13756
2009-01-01,13:45,14:00,13757
2009-01-01,14:00,14:15,13717
2009-01-01,14:15,14:30,13612
2009-01-01,14:30,14:45,13629
2009-01-01,14:45,15:00,13623
2009-01-01,15:00,15:15,13631
2009-01-01,15:15,15:30,13576
2009-01-01,15:30,15:45,13702
2009-01-01,15:45,16:00,13631
2009-01-01,16:00,16:15,13760
2009-01-01,16:15,16:30,13829
2009-01-01,16:30,16:45,13930
2009-01-01,16:45,17:00,14178
2009-01-01,17:00,17:15,14563
2009-01-01,17:15,17:30,14752
2009-01-01,17:30,17:45,14794
2009-01-01,17:45,18:00,14886
2009-01-01,18:00,18:15,14916
2009-01-01,18:15,18:30,14907
2009-01-01,18:30,18:45,14934
2009-01-01,18:45,19:00,14872
2009-01-01,19:00,19:15,14854
2009-01-01,19:15,19:30,14746
2009-01-01,19:30,19:45,14630
2009-01-01,19:45,20:00,14605
2009-01-01,20:00,20:15,14650
2009-01-01,20:15,20:30,14527
2009-01-01,20:30,20:45,14448
2009-01-01,20:45,21:00,14380
2009-01-01,21:00,21:15,14790
2009-01-01,21:15,21:30,14931
2009-01-01,21:30,21:45,14769
2009-01-01,21:45,22:00,14922
2009-01-01,22:00,22:15,15160
2009-01-01,22:15,22:30,15168
2009-01-01,22:30,22:45,14988
2009-01-01,22:45,23:00,14750
2009-01-01,23:00,23:15,14671
2009-01-01,23:15,23:30,14492
2009-01-01,23:30,23:45,14204
2009-01-01,23:45,00:00,14024
2009-01-02,00:00,00:15,13736
2009-01-02,00:15,00:30,13656
2009-01-02,00:30,00:45,13395
2009-01-02,00:45,01:00,13248
2009-01-02,01:00,01:15,13129
2009-01-02,01:15,01:30,13000
2009-01-02,01:30,01:45,12785
2009-01-02,01:45,02:00,12638
2009-01-02,02:00,02:15,12586
2009-01-02,02:15,02:30,12527
2009-01-02,02:30,02:45,12552
2009-01-02,02:45,03:00,12556
2009-01-02,03:00,03:15,12496
2009-01-02,03:15,03:30,12435
2009-01-02,03:30,03:45,12459
2009-01-02,03:45,04:00,12411
2009-01-02,04:00,04:15,12401
2009-01-02,04:15,04:30,12412
2009-01-02,04:30,04:45,12412
2009-01-02,04:45,05:00,12401
2009-01-02,05:00,05:15,12386
2009-01-02,05:15,05:30,12369
2009-01-02,05:30,05:45,12453
2009-01-02,05:45,06:00,12424
2009-01-02,06:00,06:15,12301
2009-01-02,06:15,06:30,12480
2009-01-02,06:30,06:45,12646
2009-01-02,06:45,07:00,12879
2009-01-02,07:00,07:15,13372
2009-01-02,07:15,07:30,13701
2009-01-02,07:30,07:45,13821
2009-01-02,07:45,08:00,14026
2009-01-02,08:00,08:15,14393
2009-01-02,08:15,08:30,14617
2009-01-02,08:30,08:45,14810
2009-01-02,08:45,09:00,14993
2009-01-02,09:00,09:15,15178
2009-01-02,09:15,09:30,15557
2009-01-02,09:30,09:45,15783
2009-01-02,09:45,10:00,15912
2009-01-02,10:00,10:15,15979
2009-01-02,10:15,10:30,16008
2009-01-02,10:30,10:45,16078
2009-01-02,10:45,11:00,16154
2009-01-02,11:00,11:15,16331
2009-01-02,11:15,11:30,16385
2009-01-02,11:30,11:45,16483
2009-01-02,11:45,12:00,16665
2009-01-02,12:00,12:15,16735
2009-01-02,12:15,12:30,16928
2009-01-02,12:30,12:45,16884
2009-01-02,12:45,13:00,16799
2009-01-02,13:00,13:15,16849
2009-01-02,13:15,13:30,16798
2009-01-02,13:30,13:45,16799
2009-01-02,13:45,14:00,16586
2009-01-02,14:00,14:15,16490
2009-01-02,14:15,14:30,16478
2009-01-02,14:30,14:45,16559
2009-01-02,14:45,15:00,16423
2009-01-02,15:00,15:15,16479
2009-01-02,15:15,15:30,16428
2009-01-02,15:30,15:45,16468
2009-01-02,15:45,16:00,16492
2009-01-02,16:00,16:15,16543
