date,time_from,time_to,demand
2014-12-01,00:00,00:15,18699
2014-12-01,00:15,00:30,18421
2014-12-01,00:30,00:45,18228
2014-12-01,00:45,01:00,18078
2014-12-01,01:00,01:15,17985
2014-12-01,01:15,01:30,17836
2014-12-01,01:30,01:45,17731
2014-12-01,01:45,02:00,17704
2014-12-01,02:00,02:15,17685
2014-12-01,02:15,02:30,17652
2014-12-01,02:30,02:45,17685
2014-12-01,02:45,03:00,17729
2014-12-01,03:00,03:15,17766
2014-12-01,03:15,03:30,17763
2014-12-01,03:30,03:45,17805
2014-12-01,03:45,04:00,17912
2014-12-01,04:00,04:15,18149
2014-12-01,04:15,04:30,18234
2014-12-01,04:30,04:45,18381
2014-12-01,04:45,05:00,18602
2014-12-01,05:00,05:15,19020
2014-12-01,05:15,05:30,19215
2014-12-01,05:30,05:45,19637
2014-12-01,05:45,06:00,20181
2014-12-01,06:00,06:15,21415
2014-12-01,06:15,06:30,22424
2014-12-01,06:30,06:45,23227
2014-12-01,06:45,07:00,23843
2014-12-01,07:00,07:15,24622
2014-12-01,07:15,07:30,24934
2014-12-01,07:30,07:45,25256
2014-12-01,07:45,08:00,25532
2014-12-01,08:00,08:15,25953
2014-12-01,08:15,08:30,26009
2014-12-01,08:30,08:45,26065
2014-12-01,08:45,09:00,26072
2014-12-01,09:00,09:15,25993
2014-12-01,09:15,09:30,26113
2014-12-01,09:30,09:45,26193
2014-12-01,09:45,10:00,26262
2014-12-01,10:00,10:15,26300
2014-12-01,10:15,10:30,26393
2014-12-01,10:30,10:45,26568
2014-12-01,10:45,11:00,26654
2014-12-01,11:00,11:15,26698
2014-12-01,11:15,11:30,26744
2014-12-01,11:30,11:45,26838
2014-12-01,11:45,12:00,26855
2014-12-01,12:00,12:15,26663
2014-12-01,12:15,12:30,26723
2014-12-01,12:30,12:45,26766
2014-12-01,12:45,13:00,26778
2014-12-01,13:00,13:15,26845
2014-12-01,13:15,13:30,26761
2014-12-01,13:30,13:45,26652
2014-12-01,13:45,14:00,26419
2014-12-01,14:00,14:15,26411
2014-12-01,14:15,14:30,26443
2014-12-01,14:30,14:45,26391
2014-12-01,14:45,15:00,26290
2014-12-01,15:00,15:15,26328
2014-12-01,15:15,15:30,26267
2014-12-01,15:30,15:45,26172
2014-12-01,15:45,16:00,26097
2014-12-01,16:00,16:15,26131
2014-12-01,16:15,16:30,26124
2014-12-01,16:30,16:45,26294
2014-12-01,16:45,17:00,26652
2014-12-01,17:00,17:15,27056
2014-12-01,17:15,17:30,27241
2014-12-01,17:30,17:45,27285
2014-12-01,17:45,18:00,27252
2014-12-01,18:00,18:15,27155
2014-12-01,18:15,18:30,27037
2014-12-01,18:30,18:45,26995
2014-12-01,18:45,19:00,26885
2014-12-01,19:00,19:15,26741
2014-12-01,19:15,19:30,26559
2014-12-01,19:30,19:45,26390
2014-12-01,19:45,20:00,26098
2014-12-01,20:00,20:15,25628
2014-12-01,20:15,20:30,25289
2014-12-01,20:30,20:45,24966
2014-12-01,20:45,21:00,24682
2014-12-01,21:00,21:15,24454
2014-12-01,21:15,21:30,24272
2014-12-01,21:30,21:45,24038
2014-12-01,21:45,22:00,23684
2014-12-01,22:00,22:15,23380
2014-12-01,22:15,22:30,23054
2014-12-01,22:30,22:45,22677
2014-12-01,22:45,23:00,22239
2014-12-01,23:00,23:15,21710
2014-12-01,23:15,23:30,21310
2014-12-01,23:30,23:45,20866
2014-12-01,23:45,00:00,20575
2014-12-02,00:00,00:15,20073
2014-12-02,00:15,00:30,19793
2014-12-02,00:30,00:45,19572
2014-12-02,00:45,01:00,19374
2014-12-02,01:00,01:15,19247
2014-12-02,01:15,01:30,19107
2014-12-02,01:30,01:45,19000
2014-12-02,01:45,02:00,18956
2014-12-02,02:00,02:15,18848
2014-12-02,02:15,02:30,18815
2014-12-02,02:30,02:45,18884
2014-12-02,02:45,03:00,18959
2014-12-02,03:00,03:15,18972
2014-12-02,03:15,03:30,18973
2014-12-02,03:30,03:45,19015
2014-12-02,03:45,04:00,19078
2014-12-02,04:00,04:15,19249
2014-12-02,04:15,04:30,19314
2014-12-02,04:30,04:45,19437
2014-12-02,04:45,05:00,19607
2014-12-02,05:00,05:15,19944
2014-12-02,05:15,05:30,20084
2014-12-02,05:30,05:45,20408
2014-12-02,05:45,06:00,20825
2014-12-02,06:00,06:15,21948
2014-12-02,06:15,06:30,22892
2014-12-02,06:30,06:45,23602
2014-12-02,06:45,07:00,24189
2014-12-02,07:00,07:15,24887
2014-12-02,07:15,07:30,25215
2014-12-02,07:30,07:45,25475
2014-12-02,07:45,08:00,25754
2014-12-02,08:00,08:15,26125
2014-12-02,08:15,08:30,26155
2014-12-02,08:30,08:45,26175
2014-12-02,08:45,09:00,26165
2014-12-02,09:00,09:15,26046
2014-12-02,09:15,09:30,26111
2014-12-02,09:30,09:45,26202
2014-12-02,09:45,10:00,26270
2014-12-02,10:00,10:15,26298
2014-12-02,10:15,10:30,26377
2014-12-02,10:30,10:45,26552
2014-12-02,10:45,11:00,26634
2014-12-02,11:00,11:15,26648
2014-12-02,11:15,11:30,26712
2014-12-02,11:30,11:45,26855
2014-12-02,11:45,12:00,26856
2014-12-02,12:00,12:15,26700
2014-12-02,12:15,12:30,26753
2014-12-02,12:30,12:45,26808
2014-12-02,12:45,13:00,26833
2014-12-02,13:00,13:15,26903
2014-12-02,13:15,13:30,26788
2014-12-02,13:30,13:45,26659
2014-12-02,13:45,14:00,26394
2014-12-02,14:00,14:15,26382
2014-12-02,14:15,14:30,26391
2014-12-02,14:30,14:45,26331
2014-12-02,14:45,15:00,26247
2014-12-02,15:00,15:15,26288
2014-12-02,15:15,15:30,26203
2014-12-02,15:30,15:45,26120
2014-12-02,15:45,16:00,26037
2014-12-02,16:00,16:15,26101
2014-12-02,16:15,16:30,26097
2014-12-02,16:30,16:45,26301
2014-12-02,16:45,17:00,26656
2014-12-02,17:00,17:15,27033
2014-12-02,17:15,17:30,27172
2014-12-02,17:30,17:45,27176
2014-12-02,17:45,18:00,27165
2014-12-02,18:00,18:15,27049
2014-12-02,18:15,18:30,26941
2014-12-02,18:30,18:45,26920
2014-12-02,18:45,19:00,26791
2014-12-02,19:00,19:15,26619
2014-12-02,19:15,19:30,26422
2014-12-02,19:30,19:45,26263
2014-12-02,19:45,20:00,25981
2014-12-02,20:00,20:15,25565
2014-12-02,20:15,20:30,25267
2014-12-02,20:30,20:45,24956
2014-12-02,20:45,21:00,24707
2014-12-02,21:00,21:15,24414
2014-12-02,21:15,21:30,24238
2014-12-02,21:30,21:45,23995
2014-12-02,21:45,22:00,23612
2014-12-02,22:00,22:15,23337
2014-12-02,22:15,22:30,22985
2014-12-02,22:30,22:45,22622
2014-12-02,22:45,23:00,22206
2014-12-02,23:00,23:15,21697
2014-12-02,23:15,23:30,21287
2014-12-02,23:30,23:45,20846
2014-12-02,23:45,00:00,20557
2014-12-03,00:00,00:15,20589
2014-12-03,00:15,00:30,20281
2014-12-03,00:30,00:45,20047
2014-12-03,00:45,01:00,19908
2014-12-03,01:00,01:15,19752
2014-12-03,01:15,01:30,19582
2014-12-03,01:30,01:45,19472
2014-12-03,01:45,02:00,19419
2014-12-03,02:00,02:15,19289
2014-12-03,02:15,02:30,19265
2014-12-03,02:30,02:45,19312
2014-12-03,02:45,03:00,19367
2014-12-03,03:00,03:15,19399
2014-12-03,03:15,03:30,19381
2014-12-03,03:30,03:45,19423
2014-12-03,03:45,04:00,19488
2014-12-03,04:00,04:15,19655
2014-12-03,04:15,04:30,19720
2014-12-03,04:30,04:45,19856
2014-12-03,04:45,05:00,20034
2014-12-03,05:00,05:15,20372
2014-12-03,05:15,05:30,20516
2014-12-03,05:30,05:45,20829
2014-12-03,05:45,06:00,21248
2014-12-03,06:00,06:15,22397
2014-12-03,06:15,06:30,23348
2014-12-03,06:30,06:45,24075
2014-12-03,06:45,07:00,24613
2014-12-03,07:00,07:15,25349
2014-12-03,07:15,07:30,25692
2014-12-03,07:30,07:45,25949
2014-12-03,07:45,08:00,26186
2014-12-03,08:00,08:15,26553
2014-12-03,08:15,08:30,26573
2014-12-03,08:30,08:45,26589
2014-12-03,08:45,09:00,26597
2014-12-03,09:00,09:15,26439
2014-12-03,09:15,09:30,26529
2014-12-03,09:30,09:45,26626
2014-12-03,09:45,10:00,26662
2014-12-03,10:00,10:15,26662
2014-12-03,10:15,10:30,26741
2014-12-03,10:30,10:45,26868
2014-12-03,10:45,11:00,26980
2014-12-03,11:00,11:15,26984
2014-12-03,11:15,11:30,27026
2014-12-03,11:30,11:45,27110
2014-12-03,11:45,12:00,27112
2014-12-03,12:00,12:15,26959
2014-12-03,12:15,12:30,27001
2014-12-03,12:30,12:45,27068
2014-12-03,12:45,13:00,27065
2014-12-03,13:00,13:15,27109
2014-12-03,13:15,13:30,26961
2014-12-03,13:30,13:45,26846
2014-12-03,13:45,14:00,26602
2014-12-03,14:00,14:15,26653
2014-12-03,14:15,14:30,26654
2014-12-03,14:30,14:45,26601
2014-12-03,14:45,15:00,26520
2014-12-03,15:00,15:15,26600
2014-12-03,15:15,15:30,26524
2014-12-03,15:30,15:45,26472
2014-12-03,15:45,16:00,26411
2014-12-03,16:00,16:15,26470
2014-12-03,16:15,16:30,26482
2014-12-03,16:30,16:45,26679
2014-12-03,16:45,17:00,27052
2014-12-03,17:00,17:15,27447
2014-12-03,17:15,17:30,27602
2014-12-03,17:30,17:45,27618
2014-12-03,17:45,18:00,27621
2014-12-03,18:00,18:15,27536
2014-12-03,18:15,18:30,27409
2014-12-03,18:30,18:45,27351
2014-12-03,18:45,19:00,27237
2014-12-03,19:00,19:15,27075
2014-12-03,19:15,19:30,26867
2014-12-03,19:30,19:45,26672
2014-12-03,19:45,20:00,26394
2014-12-03,20:00,20:15,25980
2014-12-03,20:15,20:30,25668
2014-12-03,20:30,20:45,25385
2014-12-03,20:45,21:00,25101
2014-12-03,21:00,21:15,24835
2014-12-03,21:15,21:30,24702
2014-12-03,21:30,21:45,24479
2014-12-03,21:45,22:00,24117
2014-12-03,22:00,22:15,23830
2014-12-03,22:15,22:30,23552
2014-12-03,22:30,22:45,23212
2014-12-03,22:45,23:00,22803
2014-12-03,23:00,23:15,22284
2014-12-03,23:15,23:30,21900
2014-12-03,23:30,23:45,21448
2014-12-03,23:45,00:00,21131
2014-12-04,00:00,00:15,20571
2014-12-04,00:15,00:30,20272
2014-12-04,00:30,00:45,20065
2014-12-04,00:45,01:00,19893
2014-12-04,01:00,01:15,19705
2014-12-04,01:15,01:30,19555
2014-12-04,01:30,01:45,19443
2014-12-04,01:45,02:00,19400
2014-12-04,02:00,02:15,19259
2014-12-04,02:15,02:30,19239
2014-12-04,02:30,02:45,19275
2014-12-04,02:45,03:00,19316
2014-12-04,03:00,03:15,19352
2014-12-04,03:15,03:30,19364
2014-12-04,03:30,03:45,19381
2014-12-04,03:45,04:00,19434
2014-12-04,04:00,04:15,19575
2014-12-04,04:15,04:30,19633
2014-12-04,04:30,04:45,19773
2014-12-04,04:45,05:00,19918
2014-12-04,05:00,05:15,20220
2014-12-04,05:15,05:30,20376
2014-12-04,05:30,05:45,20691
2014-12-04,05:45,06:00,21090
2014-12-04,06:00,06:15,22209
2014-12-04,06:15,06:30,23177
2014-12-04,06:30,06:45,23947
2014-12-04,06:45,07:00,24567
2014-12-04,07:00,07:15,25272
2014-12-04,07:15,07:30,25632
2014-12-04,07:30,07:45,25898
2014-12-04,07:45,08:00,26150
2014-12-04,08:00,08:15,26490
2014-12-04,08:15,08:30,26545
2014-12-04,08:30,08:45,26573
2014-12-04,08:45,09:00,26583
2014-12-04,09:00,09:15,26431
2014-12-04,09:15,09:30,26543
2014-12-04,09:30,09:45,26659
2014-12-04,09:45,10:00,26740
2014-12-04,10:00,10:15,26693
2014-12-04,10:15,10:30,26784
2014-12-04,10:30,10:45,26909
2014-12-04,10:45,11:00,27002
2014-12-04,11:00,11:15,27095
2014-12-04,11:15,11:30,27126
2014-12-04,11:30,11:45,27234
2014-12-04,11:45,12:00,27254
2014-12-04,12:00,12:15,27088
2014-12-04,12:15,12:30,27143
2014-12-04,12:30,12:45,27201
2014-12-04,12:45,13:00,27214
2014-12-04,13:00,13:15,27270
2014-12-04,13:15,13:30,27128
2014-12-04,13:30,13:45,27020
2014-12-04,13:45,14:00,26768
2014-12-04,14:00,14:15,26812
2014-12-04,14:15,14:30,26812
2014-12-04,14:30,14:45,26759
2014-12-04,14:45,15:00,26680
2014-12-04,15:00,15:15,26719
2014-12-04,15:15,15:30,26643
2014-12-04,15:30,15:45,26562
2014-12-04,15:45,16:00,26477
2014-12-04,16:00,16:15,26512
2014-12-04,16:15,16:30,26523
2014-12-04,16:30,16:45,26737
2014-12-04,16:45,17:00,27121
2014-12-04,17:00,17:15,27526
2014-12-04,17:15,17:30,27604
2014-12-04,17:30,17:45,27552
2014-12-04,17:45,18:00,27489
2014-12-04,18:00,18:15,27349
2014-12-04,18:15,18:30,27212
2014-12-04,18:30,18:45,27144
2014-12-04,18:45,19:00,27018
2014-12-04,19:00,19:15,26830
2014-12-04,19:15,19:30,26617
2014-12-04,19:30,19:45,26426
2014-12-04,19:45,20:00,26140
2014-12-04,20:00,20:15,25722
2014-12-04,20:15,20:30,25409
2014-12-04,20:30,20:45,25094
2014-12-04,20:45,21:00,24835
2014-12-04,21:00,21:15,24576
2014-12-04,21:15,21:30,24419
2014-12-04,21:30,21:45,24164
2014-12-04,21:45,22:00,23869
2014-12-04,22:00,22:15,23601
2014-12-04,22:15,22:30,23281
2014-12-04,22:30,22:45,22901
2014-12-04,22:45,23:00,22489
2014-12-04,23:00,23:15,22019
2014-12-04,23:15,23:30,21630
2014-12-04,23:30,23:45,21179
2014-12-04,23:45,00:00,20885
2014-12-05,00:00,00:15,20486
2014-12-05,00:15,00:30,20170
2014-12-05,00:30,00:45,19959
2014-12-05,00:45,01:00,19779
2014-12-05,01:00,01:15,19584
2014-12-05,01:15,01:30,19433
2014-12-05,01:30,01:45,19318
2014-12-05,01:45,02:00,19291
2014-12-05,02:00,02:15,19139
2014-12-05,02:15,02:30,19082
2014-12-05,02:30,02:45,19093
2014-12-05,02:45,03:00,19148
2014-12-05,03:00,03:15,19183
2014-12-05,03:15,03:30,19153
2014-12-05,03:30,03:45,19166
2014-12-05,03:45,04:00,19238
2014-12-05,04:00,04:15,19364
2014-12-05,04:15,04:30,19411
2014-12-05,04:30,04:45,19531
2014-12-05,04:45,05:00,19697
2014-12-05,05:00,05:15,19972
2014-12-05,05:15,05:30,20111
2014-12-05,05:30,05:45,20399
2014-12-05,05:45,06:00,20825
2014-12-05,06:00,06:15,21896
2014-12-05,06:15,06:30,22848
2014-12-05,06:30,06:45,23602
2014-12-05,06:45,07:00,24178
2014-12-05,07:00,07:15,24835
2014-12-05,07:15,07:30,25182
2014-12-05,07:30,07:45,25500
2014-12-05,07:45,08:00,25768
2014-12-05,08:00,08:15,26098
2014-12-05,08:15,08:30,26151
2014-12-05,08:30,08:45,26209
2014-12-05,08:45,09:00,26207
2014-12-05,09:00,09:15,26088
2014-12-05,09:15,09:30,26160
2014-12-05,09:30,09:45,26248
2014-12-05,09:45,10:00,26265
2014-12-05,10:00,10:15,26215
2014-12-05,10:15,10:30,26308
2014-12-05,10:30,10:45,26422
2014-12-05,10:45,11:00,26512
2014-12-05,11:00,11:15,26516
2014-12-05,11:15,11:30,26492
2014-12-05,11:30,11:45,26582
2014-12-05,11:45,12:00,26540
2014-12-05,12:00,12:15,26407
2014-12-05,12:15,12:30,26460
2014-12-05,12:30,12:45,26446
2014-12-05,12:45,13:00,26423
2014-12-05,13:00,13:15,26386
2014-12-05,13:15,13:30,26226
2014-12-05,13:30,13:45,26101
2014-12-05,13:45,14:00,25819
2014-12-05,14:00,14:15,25816
2014-12-05,14:15,14:30,25805
2014-12-05,14:30,14:45,25744
2014-12-05,14:45,15:00,25651
2014-12-05,15:00,15:15,25711
2014-12-05,15:15,15:30,25643
2014-12-05,15:30,15:45,25567
2014-12-05,15:45,16:00,25492
2014-12-05,16:00,16:15,25588
2014-12-05,16:15,16:30,25618
2014-12-05,16:30,16:45,25837
2014-12-05,16:45,17:00,26238
2014-12-05,17:00,17:15,26663
2014-12-05,17:15,17:30,26750
2014-12-05,17:30,17:45,26672
2014-12-05,17:45,18:00,26562
2014-12-05,18:00,18:15,26440
2014-12-05,18:15,18:30,26305
2014-12-05,18:30,18:45,26230
2014-12-05,18:45,19:00,26042
2014-12-05,19:00,19:15,25821
2014-12-05,19:15,19:30,25539
2014-12-05,19:30,19:45,25312
2014-12-05,19:45,20:00,25020
2014-12-05,20:00,20:15,24623
2014-12-05,20:15,20:30,24351
2014-12-05,20:30,20:45,24054
2014-12-05,20:45,21:00,23803
2014-12-05,21:00,21:15,23526
2014-12-05,21:15,21:30,23398
2014-12-05,21:30,21:45,23181
2014-12-05,21:45,22:00,22904
2014-12-05,22:00,22:15,22754
2014-12-05,22:15,22:30,22524
2014-12-05,22:30,22:45,22242
2014-12-05,22:45,23:00,21965
2014-12-05,23:00,23:15,21549
2014-12-05,23:15,23:30,21217
2014-12-05,23:30,23:45,20804
2014-12-05,23:45,00:00,20503
2014-12-06,00:00,00:15,20261
2014-12-06,00:15,00:30,19959
2014-12-06,00:30,00:45,19749
2014-12-06,00:45,01:00,19544
2014-12-06,01:00,01:15,19338
2014-12-06,01:15,01:30,19129
2014-12-06,01:30,01:45,18944
2014-12-06,01:45,02:00,18871
2014-12-06,02:00,02:15,18719
2014-12-06,02:15,02:30,18669
2014-12-06,02:30,02:45,18627
2014-12-06,02:45,03:00,18612
2014-12-06,03:00,03:15,18595
2014-12-06,03:15,03:30,18548
2014-12-06,03:30,03:45,18531
2014-12-06,03:45,04:00,18555
2014-12-06,04:00,04:15,18605
2014-12-06,04:15,04:30,18553
2014-12-06,04:30,04:45,18537
2014-12-06,04:45,05:00,18573
2014-12-06,05:00,05:15,18521
2014-12-06,05:15,05:30,18437
