date,time_from,time_to,feedin
2010-12-01,00:00,00:15,22307
2010-12-01,00:15,00:30,22646
2010-12-01,00:30,00:45,22775
2010-12-01,00:45,01:00,22911
2010-12-01,01:00,01:15,22606
2010-12-01,01:15,01:30,22567
2010-12-01,01:30,01:45,22704
2010-12-01,01:45,02:00,22920
2010-12-01,02:00,02:15,22598
2010-12-01,02:15,02:30,22742
2010-12-01,02:30,02:45,22812
2010-12-01,02:45,03:00,22817
2010-12-01,03:00,03:15,22827
2010-12-01,03:15,03:30,22675
2010-12-01,03:30,03:45,22724
2010-12-01,03:45,04:00,22786
2010-12-01,04:00,04:15,23012
2010-12-01,04:15,04:30,23205
2010-12-01,04:30,04:45,23390
2010-12-01,04:45,05:00,23443
2010-12-01,05:00,05:15,23671
2010-12-01,05:15,05:30,23893
2010-12-01,05:30,05:45,23994
2010-12-01,05:45,06:00,23918
2010-12-01,06:00,06:15,24086
2010-12-01,06:15,06:30,24625
2010-12-01,06:30,06:45,25265
2010-12-01,06:45,07:00,25791
2010-12-01,07:00,07:15,26065
2010-12-01,07:15,07:30,26066
2010-12-01,07:30,07:45,26477
2010-12-01,07:45,08:00,26841
2010-12-01,08:00,08:15,27230
2010-12-01,08:15,08:30,27452
2010-12-01,08:30,08:45,27429
2010-12-01,08:45,09:00,27487
2010-12-01,09:00,09:15,27683
2010-12-01,09:15,09:30,27719
2010-12-01,09:30,09:45,27953
2010-12-01,09:45,10:00,28146
2010-12-01,10:00,10:15,28065
2010-12-01,10:15,10:30,28023
2010-12-01,10:30,10:45,28036
2010-12-01,10:45,11:00,28006
2010-12-01,11:00,11:15,28313
2010-12-01,11:15,11:30,28041
2010-12-01,11:30,11:45,27820
2010-12-01,11:45,12:00,27972
2010-12-01,12:00,12:15,27925
2010-12-01,12:15,12:30,28151
2010-12-01,12:30,12:45,28324
2010-12-01,12:45,13:00,28512
2010-12-01,13:00,13:15,28649
2010-12-01,13:15,13:30,28627
2010-12-01,13:30,13:45,28588
2010-12-01,13:45,14:00,28587
2010-12-01,14:00,14:15,28696
2010-12-01,14:15,14:30,28760
2010-12-01,14:30,14:45,28858
2010-12-01,14:45,15:00,28712
2010-12-01,15:00,15:15,28869
2010-12-01,15:15,15:30,28758
2010-12-01,15:30,15:45,28728
2010-12-01,15:45,16:00,28492
2010-12-01,16:00,16:15,28471
2010-12-01,16:15,16:30,28433
2010-12-01,16:30,16:45,28597
2010-12-01,16:45,17:00,29020
2010-12-01,17:00,17:15,28822
2010-12-01,17:15,17:30,28746
2010-12-01,17:30,17:45,28689
2010-12-01,17:45,18:00,29060
2010-12-01,18:00,18:15,28787
2010-12-01,18:15,18:30,28840
2010-12-01,18:30,18:45,29031
2010-12-01,18:45,19:00,29090
2010-12-01,19:00,19:15,29028
2010-12-01,19:15,19:30,28903
2010-12-01,19:30,19:45,28948
2010-12-01,19:45,20:00,29060
2010-12-01,20:00,20:15,29132
2010-12-01,20:15,20:30,28944
2010-12-01,20:30,20:45,28543
2010-12-01,20:45,21:00,28270
2010-12-01,21:00,21:15,27971
2010-12-01,21:15,21:30,27630
2010-12-01,21:30,21:45,27542
2010-12-01,21:45,22:00,27285
2010-12-01,22:00,22:15,26547
2010-12-01,22:15,22:30,26409
2010-12-01,22:30,22:45,26161
2010-12-01,22:45,23:00,25911
2010-12-01,23:00,23:15,25670
2010-12-01,23:15,23:30,25273
2010-12-01,23:30,23:45,24906
2010-12-01,23:45,00:00,24806
2010-12-02,00:00,00:15,24417
2010-12-02,00:15,00:30,24186
2010-12-02,00:30,00:45,24110
2010-12-02,00:45,01:00,24016
2010-12-02,01:00,01:15,23903
2010-12-02,01:15,01:30,23761
2010-12-02,01:30,01:45,23646
2010-12-02,01:45,02:00,23577
2010-12-02,02:00,02:15,23710
2010-12-02,02:15,02:30,23768
2010-12-02,02:30,02:45,23770
2010-12-02,02:45,03:00,23659
2010-12-02,03:00,03:15,23987
2010-12-02,03:15,03:30,23971
2010-12-02,03:30,03:45,23997
2010-12-02,03:45,04:00,23896
2010-12-02,04:00,04:15,24078
2010-12-02,04:15,04:30,23950
2010-12-02,04:30,04:45,23886
2010-12-02,04:45,05:00,23958
2010-12-02,05:00,05:15,24482
2010-12-02,05:15,05:30,25095
2010-12-02,05:30,05:45,25466
2010-12-02,05:45,06:00,25874
2010-12-02,06:00,06:15,26484
2010-12-02,06:15,06:30,27227
2010-12-02,06:30,06:45,27602
2010-12-02,06:45,07:00,27916
2010-12-02,07:00,07:15,27741
2010-12-02,07:15,07:30,27935
2010-12-02,07:30,07:45,28074
2010-12-02,07:45,08:00,28068
2010-12-02,08:00,08:15,28033
2010-12-02,08:15,08:30,28121
2010-12-02,08:30,08:45,28335
2010-12-02,08:45,09:00,28332
2010-12-02,09:00,09:15,28284
2010-12-02,09:15,09:30,28593
2010-12-02,09:30,09:45,28655
2010-12-02,09:45,10:00,28922
2010-12-02,10:00,10:15,28994
2010-12-02,10:15,10:30,29190
2010-12-02,10:30,10:45,28933
2010-12-02,10:45,11:00,28839
2010-12-02,11:00,11:15,28807
2010-12-02,11:15,11:30,28970
2010-12-02,11:30,11:45,28989
2010-12-02,11:45,12:00,29043
2010-12-02,12:00,12:15,29023
2010-12-02,12:15,12:30,29138
2010-12-02,12:30,12:45,29191
2010-12-02,12:45,13:00,29198
2010-12-02,13:00,13:15,29051
2010-12-02,13:15,13:30,29063
2010-12-02,13:30,13:45,29121
2010-12-02,13:45,14:00,28960
2010-12-02,14:00,14:15,28812
2010-12-02,14:15,14:30,28908
2010-12-02,14:30,14:45,28807
2010-12-02,14:45,15:00,28845
2010-12-02,15:00,15:15,28623
2010-12-02,15:15,15:30,28601
2010-12-02,15:30,15:45,28705
2010-12-02,15:45,16:00,28622
2010-12-02,16:00,16:15,28587
2010-12-02,16:15,16:30,28538
2010-12-02,16:30,16:45,28445
2010-12-02,16:45,17:00,28450
2010-12-02,17:00,17:15,28715
2010-12-02,17:15,17:30,28607
2010-12-02,17:30,17:45,28712
2010-12-02,17:45,18:00,28675
2010-12-02,18:00,18:15,28968
2010-12-02,18:15,18:30,29028
2010-12-02,18:30,18:45,28850
2010-12-02,18:45,19:00,28734
2010-12-02,19:00,19:15,28825
2010-12-02,19:15,19:30,28602
2010-12-02,19:30,19:45,28583
2010-12-02,19:45,20:00,28559
2010-12-02,20:00,20:15,28323
2010-12-02,20:15,20:30,28244
2010-12-02,20:30,20:45,28294
2010-12-02,20:45,21:00,27895
2010-12-02,21:00,21:15,27376
2010-12-02,21:15,21:30,26802
2010-12-02,21:30,21:45,26421
2010-12-02,21:45,22:00,26420
2010-12-02,22:00,22:15,26602
2010-12-02,22:15,22:30,26697
2010-12-02,22:30,22:45,26726
2010-12-02,22:45,23:00,26573
2010-12-02,23:00,23:15,26509
2010-12-02,23:15,23:30,25868
2010-12-02,23:30,23:45,25637
2010-12-02,23:45,00:00,25263
2010-12-03,00:00,00:15,25177
2010-12-03,00:15,00:30,25178
2010-12-03,00:30,00:45,25068
2010-12-03,00:45,01:00,24918
2010-12-03,01:00,01:15,24812
2010-12-03,01:15,01:30,24912
2010-12-03,01:30,01:45,25196
2010-12-03,01:45,02:00,25346
2010-12-03,02:00,02:15,25346
2010-12-03,02:15,02:30,25167
2010-12-03,02:30,02:45,25022
2010-12-03,02:45,03:00,25004
2010-12-03,03:00,03:15,25000
2010-12-03,03:15,03:30,24914
2010-12-03,03:30,03:45,24798
2010-12-03,03:45,04:00,24632
2010-12-03,04:00,04:15,24627
2010-12-03,04:15,04:30,24568
2010-12-03,04:30,04:45,24622
2010-12-03,04:45,05:00,24708
2010-12-03,05:00,05:15,25066
2010-12-03,05:15,05:30,25286
2010-12-03,05:30,05:45,25690
2010-12-03,05:45,06:00,25934
2010-12-03,06:00,06:15,26165
2010-12-03,06:15,06:30,26396
2010-12-03,06:30,06:45,26302
2010-12-03,06:45,07:00,26503
2010-12-03,07:00,07:15,26206
2010-12-03,07:15,07:30,26598
2010-12-03,07:30,07:45,26870
2010-12-03,07:45,08:00,26988
2010-12-03,08:00,08:15,26912
2010-12-03,08:15,08:30,26932
2010-12-03,08:30,08:45,27226
2010-12-03,08:45,09:00,27362
2010-12-03,09:00,09:15,27389
2010-12-03,09:15,09:30,27196
2010-12-03,09:30,09:45,27274
2010-12-03,09:45,10:00,27450
2010-12-03,10:00,10:15,27417
2010-12-03,10:15,10:30,27381
2010-12-03,10:30,10:45,27365
2010-12-03,10:45,11:00,27202
2010-12-03,11:00,11:15,27284
2010-12-03,11:15,11:30,27224
2010-12-03,11:30,11:45,27174
2010-12-03,11:45,12:00,27021
2010-12-03,12:00,12:15,26867
2010-12-03,12:15,12:30,26849
2010-12-03,12:30,12:45,26897
2010-12-03,12:45,13:00,26887
2010-12-03,13:00,13:15,27102
2010-12-03,13:15,13:30,27063
2010-12-03,13:30,13:45,27039
2010-12-03,13:45,14:00,26888
2010-12-03,14:00,14:15,26857
2010-12-03,14:15,14:30,26735
2010-12-03,14:30,14:45,26766
2010-12-03,14:45,15:00,26710
2010-12-03,15:00,15:15,26306
2010-12-03,15:15,15:30,26281
2010-12-03,15:30,15:45,26551
2010-12-03,15:45,16:00,26614
2010-12-03,16:00,16:15,26816
2010-12-03,16:15,16:30,26681
2010-12-03,16:30,16:45,26783
2010-12-03,16:45,17:00,27068
2010-12-03,17:00,17:15,27547
2010-12-03,17:15,17:30,27915
2010-12-03,17:30,17:45,27803
2010-12-03,17:45,18:00,27809
2010-12-03,18:00,18:15,27928
2010-12-03,18:15,18:30,28046
2010-12-03,18:30,18:45,28072
2010-12-03,18:45,19:00,28149
2010-12-03,19:00,19:15,28244
2010-12-03,19:15,19:30,27917
2010-12-03,19:30,19:45,27254
2010-12-03,19:45,20:00,27040
2010-12-03,20:00,20:15,27080
2010-12-03,20:15,20:30,26934
2010-12-03,20:30,20:45,26393
2010-12-03,20:45,21:00,26102
2010-12-03,21:00,21:15,25642
2010-12-03,21:15,21:30,25620
2010-12-03,21:30,21:45,25784
2010-12-03,21:45,22:00,25649
2010-12-03,22:00,22:15,25373
2010-12-03,22:15,22:30,24979
2010-12-03,22:30,22:45,24936
2010-12-03,22:45,23:00,24673
2010-12-03,23:00,23:15,24270
2010-12-03,23:15,23:30,23747
2010-12-03,23:30,23:45,23570
2010-12-03,23:45,00:00,23314
2010-12-04,00:00,00:15,23079
2010-12-04,00:15,00:30,23242
2010-12-04,00:30,00:45,23282
2010-12-04,00:45,01:00,23233
2010-12-04,01:00,01:15,23020
2010-12-04,01:15,01:30,23081
2010-12-04,01:30,01:45,22970
2010-12-04,01:45,02:00,22659
2010-12-04,02:00,02:15,22526
2010-12-04,02:15,02:30,22200
2010-12-04,02:30,02:45,22034
2010-12-04,02:45,03:00,22254
2010-12-04,03:00,03:15,22520
2010-12-04,03:15,03:30,22498
2010-12-04,03:30,03:45,22696
2010-12-04,03:45,04:00,22727
2010-12-04,04:00,04:15,22580
2010-12-04,04:15,04:30,22610
2010-12-04,04:30,04:45,22590
2010-12-04,04:45,05:00,22587
2010-12-04,05:00,05:15,22632
2010-12-04,05:15,05:30,22652
2010-12-04,05:30,05:45,22506
2010-12-04,05:45,06:00,22210
