OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
76,70301,GGS Hohe Str.,Hohe Str. 77-79,1,,70301,Ensen,51149,04794007700,782552.7812,6603072.6926,Ensen,07,17,93
77,30203,Hildegard-von-Bingen-Schule,Leybergstr. 1,1,,30203,Sülz,50939,02001000100,771779.1908,6606583.1215,Sülz,16,14,94
78,40209,Albertus-Magnus-Gymnasium,Ottostr. 87,1,,40209,Neuehrenfeld,50823,02445008700,771148.3718,6613911.1479,Neuehrenfeld,23,15,95
79,30902,GGS Neue Sandkaul,Neue Sandkaul 23,1,,30902,Widdersdorf,50859,05236002300,761153.8841,6615015.4047,Widdersdorf,21,14,94
80,50410,GGS Nesselrodestr.,Nesselrodestr. 15,1,,50410,Niehl,50735,02318001500,775223.8518,6617303.6446,Niehl,34,16,95
81,30505,GGS Wendelinstr.,Wendelinstr. 64,1,,30505,Müngersdorf,50933,03289006400,765907.0729,6610941.2182,Müngersdorf,20,14,94
82,90407,Berthold-Otto-Schule,Buschfeldstr. 46,1,,90407,Holweide,51067,00604004600,783656.3687,6616154.4453,Holweide,40,19,101
83,80902,GGS Europaring,Europaring 51,1,,80902,Neubrück,51109,00912005100,785569.6054,6609387.7399,Neubrück,45,18,93
84,90409,Berthold-Otto-Schule,Buschfeldstr. 46,1,,90409,Holweide,51067,00604004600,783656.3687,6616154.4453,Holweide,40,19,101
85,71407,GGS Schmittgasse,Schmittgasse 66,0,,71407,Zündorf,51143,05452006600,784380.9141,6597583.2273,Zündorf,11,17,93
86,71005,Heideschule,Neue Heide 25,1,,71005,Wahnheide,51147,05232002500,790343.4839,6596770.5571,Wahnheide,10,17,93
87,80808,Bürger- und Vereinszentrum e.V.,Rösrather Str. 603,1,,80808,Rath/Heumar,51107,02688060300,788682.9299,6607676.8572,Rath/Heumar,41,17,93
88,61004,GGS Ernstbergstr.,Ernstbergstr. 2,1,,61004,Blumenberg,50765,03670000200,766107.9472,6628380.9611,Blumenberg,27,16,95
89,50612,KGS Longericher Hauptstr.,Longericher Hauptstr. 83,0,,50612,Longerich,50739,02051008300,768656.526,6620670.8353,Longerich,30,16,95
90,30309,GGS Bachemer Str.,Bachemer Str. 69,1,,30309,Lindenthal,50931,00362006900,770251.7902,6608797.4147,Lindenthal,18,14,94
91,60302,Sankt-Martin-Schule,Balsaminenweg 52,1,,60302,Seeberg,50769,00377005200,769761.3725,6624369.5453,Seeberg,26,16,95
92,50201,GGS Nibelungenstr.,Nibelungenstr. 50a,0,,50201,Mauenheim,50739,02345005001,772918.2608,6616790.6769,Mauenheim,31,16,95
93,20805,Bezirksrathaus Rodenkirchen,Hauptstr. 85,1,,20805,Rodenkirchen,50996,04714008500,778929.3697,6602262.2785,Rodenkirchen,12,13,94
94,21002,Albert-Schweitzer-Schule,Zum Hedelsberg 13,1,,21002,Weiß,50999,05743001300,782189.5434,6599081.0057,Sürth,14,13,94
95,50305,GGS Garthestr.,Garthestr. 20,0,,50305,Riehl,50735,01071002000,776493.7252,6615177.0764,Riehl,33,16,95
96,40116,KGS Everhardstr.,Everhardstr. 60,1,,40116,Ehrenfeld,50823,00915006000,771327.4324,6612301.4216,Ehrenfeld,22,15,95
97,10203,KGS Mainzer Str.,Mainzer Str. 30-34,1,,10203,Neustadt/Süd,50678,02105003000,775216.4462,6607138.7759,Neustadt/Süd,02,13,94
98,40204,Albertus-Magnus-Gymnasium,Ottostr. 87,1,,40204,Neuehrenfeld,50823,02445008700,771148.3718,6613911.1479,Neuehrenfeld,23,15,95
99,71603,Lise-Meitner-Gesamtschule,Stresemannstr. 36,1,,71603,Finkenberg,51149,05551003600,786343.6424,6603416.9965,Finkenberg,08,17,93
100,20814,Berufsförderungswerk Köln,Sürther Str. 171,1,,20814,Rodenkirchen,50999,05561017100,779712.4857,6599717.5422,Rodenkirchen,14,13,94
101,40119,Schule Leyendecker Str.,Leyendeckerstr. 20,0,,40119,Ehrenfeld,50825,02003002000,769446.9128,6613421.7636,Ehrenfeld,24,15,95
102,50112,Peter-Ustinov-Realschule,Neusser Str. 421,1,,50112,Nippes,50733,02341042100,773798.8303,6616273.3702,Nippes,32,15,95
103,80205,GGS Kapitelstr.,Kapitelstr. 24,1,,80205,Kalk,51103,01719002400,779712.2211,6610707.3938,Kalk,42,18,93
104,30102,KGS Lohrbergstr.,Lohrbergstr. 46,1,,30102,Klettenberg,50939,02049004600,770676.905,6605455.3522,Klettenberg,16,14,94
105,20609,Anne-Frank-Schule,Adlerstr. 13,1,,20609,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
106,10115,Konrad-Adenauer-Realschule,Frankstr. 26,1,,10115,Altstadt/Süd,50676,00995002600,773046.4466,6609290.7423,Altstadt/Süd,03,13,94
107,40208,Albertus-Magnus-Gymnasium,Ottostr. 87,1,,40208,Neuehrenfeld,50823,02445008700,771148.3718,6613911.1479,Neuehrenfeld,23,15,95
108,80208,Bürgerhaus Kalk,Kalk-Mülheimer Str. 58,1,,80208,Kalk,51103,01702005600,779401.6727,6610648.3555,Kalk,42,18,93
109,90905,Regenbogenschule,Peter-Grieß-Str. 5-7,0,,90905,Flittard,51061,02503000500,778209.6397,6620802.9438,Flittard,37,19,101
110,10506,Berufskolleg Deutzer Freiheit,Eumeniusstr. 4,1,,10506,Deutz,50679,00910000400,777090.8993,6609978.6505,Deutz,06,18,93
111,10109,Bürgerhaus Stollwerck,Dreikönigenstr. 23,1,,10109,Altstadt/Süd,50678,00762002300,775276.39,6608087.5467,Altstadt/Süd,01,13,94
112,40122,Michael-Ende-Schule,Platenstr. 7,0,,40122,Ehrenfeld,50825,02538000700,769654.6694,6612992.7861,Ehrenfeld,22,15,95
113,50405,Kinder- und Jugendhaus,Boltensternstr. 126,0,,50405,Niehl,50735,00505012600,776469.6226,6616786.4887,Niehl,33,16,95
114,90521,Realschule Dellbrücker Mauspfad,Dellbrücker Mauspfad 200,1,,90521,Dellbrück,51069,00699020000,786771.763,6616046.8546,Dellbrück,39,19,101
115,30220,GGS Manderscheider Platz,Berrenrather Str. 352,0,,30220,Sülz,50937,00444035200,770468.2938,6606290.7747,Sülz,17,14,94
