OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
199,10213,GGS Loreleystr.,Loreleystr. 3,0,,10213,Neustadt/Süd,50677,02054000300,773880.6639,6607057.6485,Neustadt/Süd,02,13,94
200,60701,Landwirtschaftskammer,Gartenstr. 11,1,,60701,Esch/Auweiler,50765,04602001100,762541.8483,6621640.1209,Esch/Auweiler,28,16,95
201,10404,GGS Antwerpener Str.,Antwerpener Str. 19,0,,10404,Neustadt/Nord,50672,00288001900,772125.1101,6610677.243,Neustadt/Nord,04,18,93
202,90706,GGS Leuchterstr.,Leuchterstr. 25,1,,90706,Dünnwald,51069,01998002500,783498.0211,6620753.0406,Dünnwald,38,19,101
203,70903,Eduard-Mörike-Schule,Mörikeweg 2,1,,70903,Grengel,51147,05190000200,790250.1334,6599154.5253,Grengel,09,17,93
204,30110,GGS Stenzelbergstr.,Stenzelbergstr. 3,1,,30110,Klettenberg,50939,02984000300,771487.9362,6605504.9089,Klettenberg,16,14,94
205,80106,GGS Lohmarer Str.,Lohmarer Str. 11,1,,80106,Humboldt/Gremberg,51105,02045001100,779870.2714,6608698.8721,Humboldt/Gremberg,43,18,93
206,80903,GGS Europaring,Europaring 51,1,,80903,Neubrück,51109,00912005100,785569.6054,6609387.7399,Neubrück,45,18,93
207,10512,Realschule Im Hasental,Im Hasental 41,0,,10512,Deutz,50679,01564004100,776996.2518,6608786.2981,Deutz,06,18,93
208,50602,Marienschule,Altonaer Str. 32,1,,50602,Longerich,50737,00084003200,770855.9754,6620547.3997,Longerich,30,16,95
209,30227,Theodor-Heuss-Realschule,Euskirchener Str. 50,0,,30227,Sülz,50935,00913005000,769856.0579,6606765.2904,Sülz,17,14,94
210,71106,GGS Adolph-Kolping-Straße,Adolph-Kolping-Str. 41,1,,71106,Wahn,51147,04009004100,789269.3207,6596450.1494,Wahn,10,17,93
211,50505,Florianschule,Neusser Str. 605,0,,50505,Weidenpesch,50737,02341060500,773326.0988,6618225.7559,Weidenpesch,34,16,95
212,30225,Förderschule Redwitzstr.,Redwitzstr. 80,1,,30225,Sülz,50937,02601008000,770712.1653,6607559.0441,Sülz,17,14,94
213,90112,Realschule Lassallestr.,Lassallestr. 59,1,,90112,Mülheim,51065,01957005900,780092.2711,6613961.1581,Mülheim,36,19,101
214,40202,Seniorenzentrum,Peter-Bauer-Str. 2,1,,40202,Neuehrenfeld,50823,02498000200,771419.5751,6612531.411,Neuehrenfeld,22,15,95
215,40501,KGS Mengenicher Str.,Mengenicher Str. 28,0,,40501,Bocklemünd/Mengenich,50829,02208002800,763962.627,6617023.2636,Bocklemünd/Mengenich,25,15,95
216,70508,Kopernikusschule,Bonner Str. 40,1,,70508,Eil,51145,04331004000,787145.3698,6601546.9405,Eil,08,17,93
217,40206,Albertus-Magnus-Gymnasium,Ottostr. 87,1,,40206,Neuehrenfeld,50823,02445008700,771148.3718,6613911.1479,Neuehrenfeld,23,15,95
218,90412,Gesamtschule Holweide,Burgwiesenstr. 125,1,,90412,Holweide,51067,00601012500,783619.6497,6614630.3966,Holweide,40,19,101
219,80504,GGS Zehnthofstr.,Zehnthofstr. 22,1,,80504,Ostheim,51107,03400002200,783934.6734,6609100.9678,Ostheim,45,18,93
220,50608,Gesamtschule Paul-Humburg-Straße,Paul-Humburg-Str. 13,1,,50608,Longerich,50737,02479001300,770456.5953,6620090.3684,Longerich,30,16,95
221,30704,Albert Schweitzer-Grundschule,Breslauer Str. 11,1,,30704,Weiden,50858,04344001100,761926.681,6610013.5024,Weiden,20,14,94
222,80905,KGS Andreas-Hermes-Str.,Andreas-Hermes-Str. 2,1,,80905,Neubrück,51109,00259000200,786101.567,6610319.1122,Neubrück,45,18,93
223,90520,Realschule Dellbrücker Mauspfad,Dellbrücker Mauspfad 200,1,,90520,Dellbrück,51069,00699020000,786771.763,6616046.8546,Dellbrück,39,19,101
224,60305,GGS Riphahnstr.,Riphahnstr. 40a,1,,60305,Seeberg,50769,02662004001,768266.6809,6624821.432,Seeberg,26,16,95
225,70707,KGS Kupfergasse,Kupfergasse 31,1,,70707,Urbach,51145,05031003100,788275.1593,6600211.4947,Urbach,09,17,93
226,61201,Vereinshaus Worringen,St.-Tönnis-Str. 68,1,,61201,Worringen,50769,03009006800,763814.4848,6632362.8633,Worringen,29,16,95
227,40312,OT Nonni,Helmholtzplatz 11,1,,40312,Ehrenfeld,50825,01367001100,768465.0882,6613084.4171,Bickendorf,25,15,95
228,70103,Janusz-Korczak-Schule,Am Altenberger Kreuz 14,0,,70103,Poll,51105,00089001400,778056.82,6606958.395,Poll,07,17,93
229,80707,KGS Olpener Str.,Olpener Str. 930,1,,80707,Brück,51109,02414093000,787954.0165,6611566.1002,Brück,41,17,93
230,30230,Theodor-Heuss-Realschule,Euskirchener Str. 50,0,,30230,Sülz,50935,00913005000,769856.0579,6606765.2904,Sülz,17,14,94
231,40207,Albertus-Magnus-Gymnasium,Ottostr. 87,1,,40207,Neuehrenfeld,50823,02445008700,771148.3718,6613911.1479,Neuehrenfeld,23,15,95
232,60705,Konrad-Adenauer-Schule,Martinusstr. 28,1,,60705,Esch/Auweiler,50765,05156002800,762960.5518,6623147.401,Esch/Auweiler,28,16,95
233,50407,Erich-Kästner-Gymnasium,Castroper Str. 7,1,,50407,Niehl,50735,00621000700,775172.8156,6616584.8367,Niehl,34,16,95
234,71401,GGS Schmittgasse,Schmittgasse 66,0,,71401,Zündorf,51143,05452006600,784380.9141,6597583.2273,Zündorf,11,17,93
235,10201,KGS Mainzer Str.,Mainzer Str. 30-34,1,,10201,Neustadt/Süd,50678,02105003000,775216.4462,6607138.7759,Neustadt/Süd,02,13,94
236,30801,Kita Siegstr.,Siegstr. 12,0,,30801,Lövenich,50859,05503001200,759677.138,6611237.8827,Lövenich,21,14,94
237,90613,Willy-Brandt-Gesamtschule,Im Weidenbruch 214,1,,90613,Höhenhaus,51061,01595021400,784137.5569,6618418.7971,Höhenhaus,38,19,101
238,50601,Marienschule,Altonaer Str. 32,1,,50601,Longerich,50737,00084003200,770855.9754,6620547.3997,Longerich,30,16,95
239,21201,Freiherr-vom-Stein-Schule,Godorfer Str. 29,1,,21201,Immendorf,50997,04643002900,775128.7166,6595963.6055,Immendorf,15,13,94
240,90306,GGS Alte Wipperfürther Straße,Alte Wipperfürther Str. 49,1,,90306,Buchheim,51065,00081004900,781051.0303,6613510.0296,Buchheim,35,19,101
241,90108,Realschule Lassallestr.,Lassallestr. 59,1,,90108,Mülheim,51065,01957005900,780092.2711,6613961.1581,Mülheim,36,19,101
242,80706,Matthias-Claudius-Heim,Olpener Str. 830,1,,80706,Brück,51109,02414083000,787089.6415,6611716.4197,Brück,41,17,93
243,30308,GGS Bachemer Str.,Bachemer Str. 69,1,,30308,Lindenthal,50931,00362006900,770251.7902,6608797.4147,Lindenthal,18,14,94
244,20602,Anne-Frank-Schule,Adlerstr. 13,1,,20602,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
245,21009,Ev. Kirchengem. Sürth/Weiß,Auferstehungskirchweg 7,1,,21009,Sürth,50999,05879000700,779952.2925,6597261.0765,Sürth,14,13,94
246,70605,Berufskolleg Porz,Hauptstr. 426,1,,70605,Porz,51143,04712042600,785539.5728,6601141.0728,Porz,11,17,93
247,20517,Ev. Kirchengemeinde,Bornheimer Str. 1a,1,,20517,Zollstock,50969,00512000101,772870.6668,6604977.3269,Zollstock,13,13,94
248,80803,KGS Volberger Weg,Volberger Weg 17,1,,80803,Rath/Heumar,51107,03202001700,789274.219,6608104.7164,Rath/Heumar,41,17,93
249,20608,Anne-Frank-Schule,Adlerstr. 13,1,,20608,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
250,80906,KGS Andreas-Hermes-Str.,Andreas-Hermes-Str. 2,1,,80906,Neubrück,51109,00259000200,786101.567,6610319.1122,Neubrück,45,18,93
251,70606,Berufskolleg Porz,Hauptstr. 426,1,,70606,Porz,51143,04712042600,785539.5728,6601141.0728,Porz,11,17,93
252,50119,Mathilde-von-Mevissen-Grundschule,Gellertstr. 4,1,,50119,Nippes,50733,01084000400,774579.3961,6614716.5104,Nippes,32,15,95
253,30806,Pfarrheim St. Severin,Kirchgasse 3,1,,30806,Lövenich,50859,04968000300,760144.1135,6611522.4067,Lövenich,21,14,94
254,20501,GGS Rosenzweigweg,Rosenzweigweg 3,1,,20501,Zollstock,50969,02708000300,773019.6572,6605089.0768,Zollstock,13,13,94
255,40214,Eichendorff-Realschule,Dechenstr. 1,1,,40214,Neuehrenfeld,50825,00686000100,769890.0289,6614021.0009,Neuehrenfeld,23,15,95
256,10423,GGS Balthasarstr.,Balthasarstr. 87,0,,10423,Neustadt/Nord,50670,00378008700,774813.6148,6613025.6198,Neustadt/Nord,05,18,93
257,50102,Förderschule Auguststr.,Auguststr. 1,0,,50102,Nippes,50733,00356000100,773833.2707,6614230.1914,Nippes,32,15,95
258,30218,Theodor-Heuss-Realschule,Euskirchener Str. 50,0,,30218,Sülz,50935,00913005000,769856.0579,6606765.2904,Sülz,17,14,94
259,90708,GGS Leuchterstr.,Leuchterstr. 25,1,,90708,Dünnwald,51069,01998002500,783498.0211,6620753.0406,Dünnwald,38,19,101
260,71003,Pestalozzi-Schule,Sportplatzstr. 82,1,,71003,Wahnheide,51147,05520008200,790604.5189,6597421.3984,Wahnheide,10,17,93
261,61102,KGS Gutnickstr.,Gutnickstr. 37,1,,61102,Roggendorf/Thenhoven,50769,01251003700,762189.1772,6629262.7222,Roggendorf/Thenhoven,29,16,95
262,50508,Florianschule,Neusser Str. 605,0,,50508,Weidenpesch,50737,02341060500,773326.0988,6618225.7559,Weidenpesch,34,16,95
263,50114,Peter-Ustinov-Realschule,Neusser Str. 421,1,,50114,Nippes,50733,02341042100,773798.8303,6616273.3702,Nippes,32,15,95
264,30233,GHS Mommsenstraße,Mommsenstr. 5,1,,30233,Sülz,50935,02257000500,769627.9076,6606754.4892,Sülz,17,14,94
265,70503,GGS Schulstr. Porz,Schulstr. 23,0,,70503,Eil,51145,05467002300,788095.8205,6602404.6126,Eil,08,17,93
266,71412,GGS Irisweg,Irisweg 2,1,,71412,Zündorf,51143,04897000200,785571.1335,6598711.5365,Zündorf,11,17,93
267,10313,Industrie- u. Handelskammer,Unter Sachsenhausen 10-26,1,,10313,Altstadt/Nord,50667,03153001000,773825.5982,6611156.3756,Altstadt/Nord,04,18,93
268,10212,GGS Loreleystr.,Loreleystr. 3,0,,10212,Neustadt/Süd,50677,02054000300,773880.6639,6607057.6485,Neustadt/Süd,02,13,94
269,70401,Friedrich-List-Schule,Breitenbachstr. 2,0,,70401,Gremberghoven,51149,04341000200,785478.8694,6603914.7198,Gremberghoven,08,17,93
270,90413,Gesamtschule Holweide,Burgwiesenstr. 125,1,,90413,Holweide,51067,00601012500,783619.6497,6614630.3966,Holweide,40,19,101
271,30216,Elsa-Brandström-Realschule,Berrenrather Str. 488,1,,30216,Sülz,50937,00444048800,769583.2235,6604950.0438,Sülz,17,14,94
272,90907,Regenbogenschule,Peter-Grieß-Str. 5-7,0,,90907,Flittard,51061,02503000500,778209.6397,6620802.9438,Flittard,37,19,101
273,30306,GGS Bachemer Str.,Bachemer Str. 69,1,,30306,Lindenthal,50931,00362006900,770251.7902,6608797.4147,Lindenthal,18,14,94
274,10306,Ursulinenschule,Machabäerstr. 47,1,,10306,Altstadt/Nord,50668,02093004700,774792.8482,6611842.2056,Altstadt/Nord,04,18,93
275,71002,Pestalozzi-Schule,Sportplatzstr. 82,1,,71002,Wahnheide,51147,05520008200,790604.5189,6597421.3984,Wahnheide,10,17,93
276,30905,GGS Neue Sandkaul,Neue Sandkaul 23,1,,30905,Widdersdorf,50859,05236002300,761153.8841,6615015.4047,Widdersdorf,21,14,94
277,61206,Vereinshaus Worringen,St.-Tönnis-Str. 68,1,,61206,Worringen,50769,03009006800,763814.4848,6632362.8633,Worringen,29,16,95
278,30202,Hildegard-von-Bingen-Schule,Leybergstr. 1,1,,30202,Sülz,50939,02001000100,771779.1908,6606583.1215,Sülz,16,14,94
279,90515,GGS Dellbrücker Hauptstr.,Dellbrücker Hauptstr. 16,1,,90515,Dellbrück,51069,00698001600,787665.8138,6616533.9769,Dellbrück,39,19,101
280,30903,GGS Neue Sandkaul,Neue Sandkaul 23,1,,30903,Widdersdorf,50859,05236002300,761153.8841,6615015.4047,Widdersdorf,21,14,94
281,80705,KGS Olpener Str.,Olpener Str. 930,1,,80705,Brück,51109,02414093000,787954.0165,6611566.1002,Brück,41,17,93
282,60904,GGS Merianstr.,Merianstr. 7,1,,60904,Chorweiler,50765,03497000700,767861.5868,6626122.3953,Chorweiler,27,16,95
283,80301,GGS Heßhofstr.,Heßhofstr. 45,1,,80301,Vingst,51107,01417004500,781861.8624,6609099.9534,Vingst,43,18,93
284,30601,GGS Ildefons-Herwegen,Kirchweg 138,1,,30601,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
285,80601,KGS Fußfallstr.,Fußfallstr. 55,1,,80601,Merheim,51109,01064005500,784350.0793,6612257.0192,Merheim,44,17,93
286,90502,Grundschule Urnenstr.,Urnenstr. 7,0,,90502,Dellbrück,51069,03162000700,786523.4159,6617446.2977,Dellbrück,39,19,101
287,71105,GGS Adolph-Kolping-Straße,Adolph-Kolping-Str. 41,1,,71105,Wahn,51147,04009004100,789269.3207,6596450.1494,Wahn,10,17,93
288,30608,GGS Ildefons-Herwegen,Kirchweg 138,1,,30608,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
289,90612,Willy-Brandt-Gesamtschule,Im Weidenbruch 214,1,,90612,Höhenhaus,51061,01595021400,784137.5569,6618418.7971,Höhenhaus,38,19,101
290,70709,KGS Kupfergasse,Kupfergasse 31,1,,70709,Urbach,51145,05031003100,788275.1593,6600211.4947,Urbach,09,17,93
291,90705,Schule Berliner Str.,Berliner Str. 975,1,,90705,Dünnwald,51069,00436097500,783801.2737,6621656.5675,Dünnwald,38,19,101
292,50605,Marienschule,Altonaer Str. 32,1,,50605,Longerich,50737,00084003200,770855.9754,6620547.3997,Longerich,30,16,95
293,20702,Pflanzen Mohr,Bonner Landstr. 100,1,,20702,Hahnwald,50996,04333010000,776006.3438,6599106.7509,Hahnwald,15,13,94
294,50116,Gymnasium Blücherstr.,Blücherstr. 15,0,,50116,Nippes,50733,00484001500,774287.0725,6615402.0449,Nippes,32,15,95
295,30705,Albert Schweitzer-Grundschule,Breslauer Str. 11,1,,30705,Weiden,50858,04344001100,761926.681,6610013.5024,Weiden,20,14,94
296,50406,Erich-Kästner-Gymnasium,Castroper Str. 7,1,,50406,Niehl,50735,00621000700,775172.8156,6616584.8367,Niehl,33,16,95
297,30210,KGS Berrenrather Str.,Berrenrather Str. 179,0,,30210,Sülz,50937,00444017900,771217.9933,6607107.4846,Sülz,16,14,94
298,10224,GGS Pfälzer Str.,Pfälzer Str. 30,1,,10224,Neustadt/Süd,50677,02514003000,772844.732,6608243.8278,Neustadt/Süd,03,13,94
299,50301,GGS Garthestr.,Garthestr. 20,0,,50301,Riehl,50735,01071002000,776493.7252,6615177.0764,Riehl,33,16,95
300,70703,Stadtgymnasium,Humboldtstr. 2,1,,70703,Porz,51145,04813000200,787186.5752,6600503.2113,Urbach,09,17,93
301,70801,Altenzentrum Tiergartenstr.,Tiergartenstr. 47,1,,70801,Elsdorf,51145,05583004700,788752.1071,6599347.7068,Elsdorf,09,17,93
302,50107,GGS Steinbergerstr.,Steinbergerstr. 40,0,,50107,Nippes,50733,02972004000,773743.9724,6614516.127,Nippes,32,15,95
303,21304,Ketteler-Schule,Kettelerstr. 14,1,,21304,Meschenich,50997,04960001400,771648.015,6596505.0679,Meschenich,15,13,94
304,80209,Schule Der kleine Prinz,Vietorstr. 38,1,,80209,Kalk,51103,03182003800,779204.835,6610481.8082,Kalk,42,18,93
305,70607,Kita an der Lukaskirche,Mühlenstr. 2a,1,,70607,Porz,51143,05213000201,785548.2788,6600155.445,Porz,11,17,93
306,80506,GGS Zehnthofstr.,Zehnthofstr. 22,1,,80506,Ostheim,51107,03400002200,783934.6734,6609100.9678,Ostheim,45,18,93
307,40101,OT Nonni,Helmholtzplatz 11,1,,40101,Ehrenfeld,50825,01367001100,768465.0882,6613084.4171,Ehrenfeld,24,15,95
308,90610,Willy-Brandt-Gesamtschule,Im Weidenbruch 214,1,,90610,Höhenhaus,51061,01595021400,784137.5569,6618418.7971,Höhenhaus,38,19,101
309,10418,Schule Blumenthalstr,Blumenthalstr. 10-12,0,,10418,Neustadt/Nord,50670,00487001000,774709.1844,6613286.0561,Neustadt/Nord,05,18,93
310,20603,Anne-Frank-Schule,Adlerstr. 13,1,,20603,Rondorf,50997,04007001300,775241.78,6599530.5914,Rondorf,15,13,94
311,30104,KGS Lohrbergstr.,Lohrbergstr. 46,1,,30104,Klettenberg,50939,02049004600,770676.905,6605455.3522,Klettenberg,16,14,94
312,30402,GGS Geilenkircher Str.,Geilenkircher Str. 52,1,,30402,Braunsfeld,50933,01076005200,767783.8159,6610926.3031,Braunsfeld,19,14,94
313,20403,Europaschule Köln,Raderthalgürtel 3,1,,20403,Raderthal,50968,02577000300,773696.2953,6604022.0038,Raderthal,12,13,94
314,30609,GGS Ildefons-Herwegen,Kirchweg 138,1,,30609,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
315,70901,Eduard-Mörike-Schule,Mörikeweg 2,1,,70901,Grengel,51147,05190000200,790250.1334,6599154.5253,Grengel,09,17,93
316,71602,Bürgerzentrum Finkenberg e.V.,Stresemannstr. 6a,1,,71602,Finkenberg,51149,05551000601,786246.2174,6603217.9796,Finkenberg,08,17,93
317,70706,KGS Kupfergasse,Kupfergasse 31,1,,70706,Urbach,51145,05031003100,788275.1593,6600211.4947,Urbach,09,17,93
318,80812,KGS Forststr.,Forststr. 20,1,,80812,Rath/Heumar,51107,04553002000,788639.2006,6606586.8158,Rath/Heumar,41,17,93
319,50610,Gesamtschule Paul-Humburg-Straße,Paul-Humburg-Str. 13,1,,50610,Longerich,50737,02479001300,770456.5953,6620090.3684,Longerich,30,16,95
320,71101,GGS Adolph-Kolping-Straße,Adolph-Kolping-Str. 41,1,,71101,Wahn,51147,04009004100,789269.3207,6596450.1494,Wahn,10,17,93
321,90601,Rosenmaarschule,Am Rosenmaar 3,1,,90601,Höhenhaus,51061,00183000300,783466.7197,6620062.2585,Höhenhaus,38,19,101
322,71202,Kita Viehtrift,Viehtrift 5,1,,71202,Lind,51147,05633000500,790499.8955,6594748.2561,Lind,10,17,93
323,70202,Bürgerzentrum Engelshof e.V.,Oberstr. 96,1,,70202,Westhoven,51149,05258009600,781595.7585,6603658.2919,Westhoven,07,17,93
324,71408,GGS Schmittgasse,Schmittgasse 66,0,,71408,Zündorf,51143,05452006600,784380.9141,6597583.2273,Zündorf,11,17,93
325,71504,KGS Hinter der Kirche,Hinter der Kirche 3,1,,71504,Langel,51143,04781000300,779843.6046,6593951.8033,Langel,11,17,93
326,80702,GGS Diesterwegstr.,Diesterwegstr. 69,1,,80702,Brück,51109,00731006900,787705.1875,6612022.0665,Brück,41,17,93
327,30702,Albert Schweitzer-Grundschule,Breslauer Str. 11,1,,30702,Weiden,50858,04344001100,761926.681,6610013.5024,Weiden,20,14,94
328,70102,Janusz-Korczak-Schule,Am Altenberger Kreuz 14,0,,70102,Poll,51105,00089001400,778056.82,6606958.395,Poll,07,17,93
329,20605,Evang. Kirchengemeinde,Carl-Jatho-Str. 1,1,,20605,Rondorf,50997,05850000100,774877.4577,6598555.0291,Rondorf,15,13,94
330,60103,GGS Spoerkelhof,Spoerkelhof 7,0,,60103,Merkenich,50769,02943000700,774027.9712,6626092.9327,Merkenich,29,16,95
331,50402,Kita Feldgärtenstr.,Feldgärtenstr. 109a,1,,50402,Niehl,50735,00933010900,774516.1754,6619187.2278,Niehl,30,16,95
332,40401,Kardinal-Frings-Schule,Vogelsanger Str. 453,1,,40401,Vogelsang,50829,03196045300,765852.3508,6613409.3092,Vogelsang,25,15,95
333,80602,KGS Fußfallstr.,Fußfallstr. 55,1,,80602,Merheim,51109,01064005500,784350.0793,6612257.0192,Merheim,44,17,93
334,70501,Lise-Meitner-Gesamtschule,Stresemannstr. 36,1,,70501,Finkenberg,51149,05551003600,786343.8305,6603415.4774,Eil,08,17,93
335,40219,Hauptschule Baadenbergerstr.,Baadenberger Str. 111,1,,40219,Neuehrenfeld,50825,00361011100,770180.103,6615040.072,Neuehrenfeld,23,15,95
336,21303,Ketteler-Schule,Kettelerstr. 14,1,,21303,Meschenich,50997,04960001400,771648.015,6596505.0679,Meschenich,15,13,94
337,71403,GGS Schmittgasse,Schmittgasse 66,0,,71403,Zündorf,51143,05452006600,784380.9141,6597583.2273,Zündorf,11,17,93
338,10107,Berufskolleg Ulrepforte,Ulrichgasse 1,1,,10107,Altstadt/Süd,50678,03132000100,774005.741,6608165.4073,Altstadt/Süd,01,13,94
339,30316,GGS Freiligrathstr.,Freiligrathstr. 60,1,,30316,Lindenthal,50935,01017006000,768383.5309,6607607.7747,Lindenthal,18,14,94
340,71006,Kita Hunoldstr.,Hunoldstr. 7,1,,71006,Wahnheide,51147,04816000700,790278.9924,6595895.482,Wahnheide,10,17,93
341,21005,Brüder-Grimm-Schule,Sürther Hauptstr. 149,1,,21005,Sürth,50999,05559014900,780687.0939,6597665.7865,Sürth,14,13,94
342,80901,GGS Europaring,Europaring 51,1,,80901,Neubrück,51109,00912005100,785569.6054,6609387.7399,Neubrück,45,18,93
343,50302,GGS Garthestr.,Garthestr. 20,0,,50302,Riehl,50735,01071002000,776493.7252,6615177.0764,Riehl,33,16,95
344,90806,Kath. GS Diependahlstr.,Diependahlstr. 12,1,,90806,Stammheim,51061,00725001200,777867.0692,6618913.2024,Stammheim,37,19,101
345,40506,Bürgerschaftshaus e.V.,Görlinger Zentrum 11-15,1,,40506,Bocklemünd/Mengenich,50829,01156001100,764405.5993,6617781.1403,Bocklemünd/Mengenich,25,15,95
346,50121,Mathilde-von-Mevissen-Grundschule,Gellertstr. 4,1,,50121,Nippes,50733,01084000400,774579.3961,6614716.5104,Nippes,33,15,95
347,20606,Evang. Kirchengemeinde,Carl-Jatho-Str. 1,1,,20606,Rondorf,50997,05850000100,774877.4577,6598555.0291,Rondorf,15,13,94
348,90101,Montessori-Hauptschule,Ferdinandstr. 43,1,,90101,Mülheim,51063,00941004300,778035.5298,6611986.0957,Mülheim,35,19,101
349,90301,GGS An St. Theresia,An St.Theresia 1,1,,90301,Buchheim,51067,00282000100,781937.6222,6614957.6346,Buchheim,35,19,101
350,30211,GGS Manderscheider Platz,Berrenrather Str. 352,0,,30211,Sülz,50937,00444035200,770468.2938,6606290.7747,Sülz,17,14,94
351,10207,KGS Mainzer Str.,Mainzer Str. 30-34,1,,10207,Neustadt/Süd,50678,02105003000,775216.4462,6607138.7759,Neustadt/Süd,02,13,94
352,30802,Kita Siegstr.,Siegstr. 12,0,,30802,Lövenich,50859,05503001200,759677.138,6611237.8827,Lövenich,21,14,94
353,30326,Liebfrauenschule,Brucknerstr. 15,1,,30326,Lindenthal,50931,00554001500,770109.2949,6609630.6996,Lindenthal,19,14,94
354,30610,GGS Ildefons-Herwegen,Kirchweg 138,1,,30610,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
355,80207,GGS Kapitelstr.,Kapitelstr. 24,1,,80207,Kalk,51103,01719002400,779712.2211,6610707.3938,Kalk,42,18,93
356,90903,St. Sebastianus,Pützlachstr. 37,1,,90903,Flittard,51061,02561003700,776491.4234,6621755.6871,Flittard,37,19,101
357,90307,Herder-Gymnasium,Kattowitzer Str. 52,1,,90307,Buchheim,51065,01756005200,781709.4041,6612748.9259,Buchheim,35,19,101
358,30223,Schiller-Gymnasium,Nikolausstr. 55,1,,30223,Sülz,50937,02360005500,771410.4719,6607804.1457,Sülz,17,14,94
359,10407,GGS Antwerpener Str.,Antwerpener Str. 19,0,,10407,Neustadt/Nord,50672,00288001900,772125.1101,6610677.243,Neustadt/Nord,04,18,93
360,50607,Gesamtschule Paul-Humburg-Straße,Paul-Humburg-Str. 13,1,,50607,Longerich,50737,02479001300,770456.5953,6620090.3684,Longerich,30,16,95
361,90123,KGS Luzerner Weg,Luzerner Weg 72,1,,90123,Mülheim,51063,02090007200,780179.8604,6618850.6691,Mülheim,37,19,101
362,90804,GGS Ricarda-Huch-Str.,Ricarda-Huch-Str. 60,1,,90804,Stammheim,51061,02647006000,778215.0978,6618418.8139,Stammheim,37,19,101
363,80606,KGS Fußfallstr.,Fußfallstr. 55,1,,80606,Merheim,51109,01064005500,784350.0793,6612257.0192,Merheim,44,17,93
364,30606,GGS Ildefons-Herwegen,Kirchweg 138,1,,30606,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
365,80402,GHS Nürnberger Straße,Nürnberger Str. 10,1,,80402,Höhenberg,51103,02383001000,781901.5325,6610513.7481,Höhenberg,44,18,93
366,10509,Gymnasium Thusneldastr.,Thusneldastr. 15-17,1,,10509,Deutz,50679,03082001500,777171.2648,6609855.5087,Deutz,06,18,93
367,71102,GGS Adolph-Kolping-Straße,Adolph-Kolping-Str. 41,1,,71102,Wahn,51147,04009004100,789269.3207,6596450.1494,Wahn,10,17,93
368,20802,Gymnasium Rodenkirchen,Sürther Str. 55,1,,20802,Rodenkirchen,50996,05561005500,779060.1929,6601464.8875,Rodenkirchen,12,13,94
369,90522,Realschule Dellbrücker Mauspfad,Dellbrücker Mauspfad 200,1,,90522,Dellbrück,51069,00699020000,786771.763,6616046.8546,Dellbrück,39,19,101
370,30320,GGS Freiligrathstr.,Freiligrathstr. 60,1,,30320,Lindenthal,50935,01017006000,768383.5309,6607607.7747,Lindenthal,18,14,94
371,90517,GGS Dellbrücker Hauptstr.,Dellbrücker Hauptstr. 16,1,,90517,Dellbrück,51069,00698001600,787665.8138,6616533.9769,Dellbrück,39,19,101
372,10219,GGS Pfälzer Str.,Pfälzer Str. 30,1,,10219,Neustadt/Süd,50677,02514003000,772844.732,6608243.8278,Neustadt/Süd,02,13,94
373,30312,Evang. Gemeindehaus,Lindenthalgürtel 30,0,,30312,Lindenthal,50935,02028003000,769561.0328,6607723.7209,Lindenthal,18,14,94
374,90506,Grundschule Urnenstr.,Urnenstr. 7,0,,90506,Dellbrück,51069,03162000700,786523.4159,6617446.2977,Dellbrück,39,19,101
375,30604,GGS Ildefons-Herwegen,Kirchweg 138,1,,30604,Junkersdorf,50858,04973013800,763359.3879,6609366.1766,Junkersdorf,20,14,94
376,10205,KGS Mainzer Str.,Mainzer Str. 30-34,1,,10205,Neustadt/Süd,50678,02105003000,775216.4462,6607138.7759,Neustadt/Süd,02,13,94
377,50503,Florianschule,Neusser Str. 605,0,,50503,Weidenpesch,50737,02341060500,773326.0988,6618225.7559,Weidenpesch,34,16,95
378,80710,KGS Olpener Str.,Olpener Str. 930,1,,80710,Brück,51109,02414093000,787954.0165,6611566.1002,Brück,41,17,93
379,90404,KGS Neufelder Str.,Neufelder Str. 2,0,,90404,Holweide,51067,02332000200,785377.2217,6615932.8075,Holweide,40,19,101
380,30808,Johanniter-Schule,Kölner Str. 37,1,,30808,Lövenich,50859,04996003700,760786.2255,6611880.2639,Lövenich,21,14,94
