date,time_from,time_to,production
2014-07-01,00:00,00:15,24961
2014-07-01,00:15,00:30,24827
2014-07-01,00:30,00:45,24726
2014-07-01,00:45,01:00,24668
2014-07-01,01:00,01:15,24020
2014-07-01,01:15,01:30,23921
2014-07-01,01:30,01:45,23843
2014-07-01,01:45,02:00,23851
2014-07-01,02:00,02:15,23112
2014-07-01,02:15,02:30,23037
2014-07-01,02:30,02:45,23047
2014-07-01,02:45,03:00,23029
2014-07-01,03:00,03:15,23254
2014-07-01,03:15,03:30,23246
2014-07-01,03:30,03:45,23258
2014-07-01,03:45,04:00,23319
2014-07-01,04:00,04:15,23437
2014-07-01,04:15,04:30,23488
2014-07-01,04:30,04:45,23621
2014-07-01,04:45,05:00,23769
2014-07-01,05:00,05:15,25670
2014-07-01,05:15,05:30,25618
2014-07-01,05:30,05:45,25814
2014-07-01,05:45,06:00,26346
2014-07-01,06:00,06:15,28091
2014-07-01,06:15,06:30,28427
2014-07-01,06:30,06:45,28808
2014-07-01,06:45,07:00,29339
2014-07-01,07:00,07:15,31339
2014-07-01,07:15,07:30,31691
2014-07-01,07:30,07:45,32160
2014-07-01,07:45,08:00,32662
2014-07-01,08:00,08:15,35694
2014-07-01,08:15,08:30,36116
2014-07-01,08:30,08:45,36454
2014-07-01,08:45,09:00,36810
2014-07-01,09:00,09:15,39849
2014-07-01,09:15,09:30,40288
2014-07-01,09:30,09:45,40480
2014-07-01,09:45,10:00,40778
2014-07-01,10:00,10:15,42992
2014-07-01,10:15,10:30,43332
2014-07-01,10:30,10:45,43470
2014-07-01,10:45,11:00,43684
2014-07-01,11:00,11:15,45037
2014-07-01,11:15,11:30,45306
2014-07-01,11:30,11:45,45342
2014-07-01,11:45,12:00,45436
2014-07-01,12:00,12:15,45795
2014-07-01,12:15,12:30,45812
2014-07-01,12:30,12:45,45827
2014-07-01,12:45,13:00,45795
2014-07-01,13:00,13:15,46179
2014-07-01,13:15,13:30,46113
2014-07-01,13:30,13:45,45982
2014-07-01,13:45,14:00,45837
2014-07-01,14:00,14:15,45256
2014-07-01,14:15,14:30,45145
2014-07-01,14:30,14:45,45087
2014-07-01,14:45,15:00,45036
2014-07-01,15:00,15:15,43470
2014-07-01,15:15,15:30,43268
2014-07-01,15:30,15:45,43230
2014-07-01,15:45,16:00,43016
2014-07-01,16:00,16:15,41093
2014-07-01,16:15,16:30,40830
2014-07-01,16:30,16:45,40738
2014-07-01,16:45,17:00,40439
2014-07-01,17:00,17:15,38058
2014-07-01,17:15,17:30,37845
2014-07-01,17:30,17:45,37778
2014-07-01,17:45,18:00,37522
2014-07-01,18:00,18:15,35027
2014-07-01,18:15,18:30,34706
2014-07-01,18:30,18:45,34686
2014-07-01,18:45,19:00,34415
2014-07-01,19:00,19:15,32017
2014-07-01,19:15,19:30,31738
2014-07-01,19:30,19:45,31622
2014-07-01,19:45,20:00,31414
2014-07-01,20:00,20:15,30057
2014-07-01,20:15,20:30,29741
2014-07-01,20:30,20:45,29637
2014-07-01,20:45,21:00,29525
2014-07-01,21:00,21:15,29261
2014-07-01,21:15,21:30,29160
2014-07-01,21:30,21:45,29230
2014-07-01,21:45,22:00,29147
2014-07-01,22:00,22:15,29175
2014-07-01,22:15,22:30,29008
2014-07-01,22:30,22:45,28770
2014-07-01,22:45,23:00,28525
2014-07-01,23:00,23:15,28649
2014-07-01,23:15,23:30,28432
2014-07-01,23:30,23:45,28266
2014-07-01,23:45,00:00,28075
2014-07-02,00:00,00:15,22890
2014-07-02,00:15,00:30,22609
2014-07-02,00:30,00:45,22469
2014-07-02,00:45,01:00,22393
2014-07-02,01:00,01:15,21088
2014-07-02,01:15,01:30,20981
2014-07-02,01:30,01:45,20887
2014-07-02,01:45,02:00,20893
2014-07-02,02:00,02:15,20548
2014-07-02,02:15,02:30,20494
2014-07-02,02:30,02:45,20495
2014-07-02,02:45,03:00,20489
2014-07-02,03:00,03:15,20671
2014-07-02,03:15,03:30,20639
2014-07-02,03:30,03:45,20658
2014-07-02,03:45,04:00,20721
2014-07-02,04:00,04:15,20338
2014-07-02,04:15,04:30,20401
2014-07-02,04:30,04:45,20506
2014-07-02,04:45,05:00,20620
2014-07-02,05:00,05:15,21563
2014-07-02,05:15,05:30,21694
2014-07-02,05:30,05:45,21881
2014-07-02,05:45,06:00,22434
2014-07-02,06:00,06:15,25648
2014-07-02,06:15,06:30,26091
2014-07-02,06:30,06:45,26488
2014-07-02,06:45,07:00,26997
2014-07-02,07:00,07:15,28359
2014-07-02,07:15,07:30,28657
2014-07-02,07:30,07:45,28981
2014-07-02,07:45,08:00,29409
2014-07-02,08:00,08:15,31841
2014-07-02,08:15,08:30,32177
2014-07-02,08:30,08:45,32515
2014-07-02,08:45,09:00,32808
2014-07-02,09:00,09:15,35338
2014-07-02,09:15,09:30,35649
2014-07-02,09:30,09:45,35966
2014-07-02,09:45,10:00,36236
2014-07-02,10:00,10:15,37945
2014-07-02,10:15,10:30,38183
2014-07-02,10:30,10:45,38420
2014-07-02,10:45,11:00,38634
2014-07-02,11:00,11:15,40040
2014-07-02,11:15,11:30,40234
2014-07-02,11:30,11:45,40403
2014-07-02,11:45,12:00,40490
2014-07-02,12:00,12:15,41685
2014-07-02,12:15,12:30,41713
2014-07-02,12:30,12:45,41760
2014-07-02,12:45,13:00,41768
2014-07-02,13:00,13:15,42230
2014-07-02,13:15,13:30,42209
2014-07-02,13:30,13:45,42127
2014-07-02,13:45,14:00,42014
2014-07-02,14:00,14:15,41856
2014-07-02,14:15,14:30,41779
2014-07-02,14:30,14:45,41762
2014-07-02,14:45,15:00,41671
2014-07-02,15:00,15:15,40515
2014-07-02,15:15,15:30,40356
2014-07-02,15:30,15:45,40246
2014-07-02,15:45,16:00,40033
2014-07-02,16:00,16:15,38352
2014-07-02,16:15,16:30,38096
2014-07-02,16:30,16:45,37936
2014-07-02,16:45,17:00,37725
2014-07-02,17:00,17:15,35912
2014-07-02,17:15,17:30,35690
2014-07-02,17:30,17:45,35534
2014-07-02,17:45,18:00,35289
2014-07-02,18:00,18:15,32574
2014-07-02,18:15,18:30,32299
2014-07-02,18:30,18:45,32117
2014-07-02,18:45,19:00,31855
2014-07-02,19:00,19:15,28914
2014-07-02,19:15,19:30,28589
2014-07-02,19:30,19:45,28455
2014-07-02,19:45,20:00,28215
2014-07-02,20:00,20:15,26816
2014-07-02,20:15,20:30,26493
2014-07-02,20:30,20:45,26381
2014-07-02,20:45,21:00,26303
