date,time_from,time_to,vertical_load
2016-06-01,00:00,00:15,11676
2016-06-01,00:15,00:30,11387
2016-06-01,00:30,00:45,11186
2016-06-01,00:45,01:00,11051
2016-06-01,01:00,01:15,10968
2016-06-01,01:15,01:30,10928
2016-06-01,01:30,01:45,10958
2016-06-01,01:45,02:00,10806
2016-06-01,02:00,02:15,10627
2016-06-01,02:15,02:30,10708
2016-06-01,02:30,02:45,10765
2016-06-01,02:45,03:00,10628
2016-06-01,03:00,03:15,10563
2016-06-01,03:15,03:30,10608
2016-06-01,03:30,03:45,10707
2016-06-01,03:45,04:00,10666
2016-06-01,04:00,04:15,10636
2016-06-01,04:15,04:30,10829
2016-06-01,04:30,04:45,11002
2016-06-01,04:45,05:00,11169
2016-06-01,05:00,05:15,11272
2016-06-01,05:15,05:30,11470
2016-06-01,05:30,05:45,11665
2016-06-01,05:45,06:00,12090
2016-06-01,06:00,06:15,12858
2016-06-01,06:15,06:30,13551
2016-06-01,06:30,06:45,13982
2016-06-01,06:45,07:00,14249
2016-06-01,07:00,07:15,14508
2016-06-01,07:15,07:30,14658
2016-06-01,07:30,07:45,14858
2016-06-01,07:45,08:00,14953
2016-06-01,08:00,08:15,15293
2016-06-01,08:15,08:30,15392
2016-06-01,08:30,08:45,15429
2016-06-01,08:45,09:00,15423
2016-06-01,09:00,09:15,15149
2016-06-01,09:15,09:30,15181
2016-06-01,09:30,09:45,15250
2016-06-01,09:45,10:00,15380
2016-06-01,10:00,10:15,15449
2016-06-01,10:15,10:30,15530
2016-06-01,10:30,10:45,15463
2016-06-01,10:45,11:00,15597
2016-06-01,11:00,11:15,15630
2016-06-01,11:15,11:30,15757
2016-06-01,11:30,11:45,15721
2016-06-01,11:45,12:00,15872
2016-06-01,12:00,12:15,15669
2016-06-01,12:15,12:30,15587
2016-06-01,12:30,12:45,15528
2016-06-01,12:45,13:00,15466
2016-06-01,13:00,13:15,15609
2016-06-01,13:15,13:30,15468
2016-06-01,13:30,13:45,15380
2016-06-01,13:45,14:00,15122
2016-06-01,14:00,14:15,15143
2016-06-01,14:15,14:30,15216
2016-06-01,14:30,14:45,15150
2016-06-01,14:45,15:00,15092
2016-06-01,15:00,15:15,15084
2016-06-01,15:15,15:30,15038
2016-06-01,15:30,15:45,14830
2016-06-01,15:45,16:00,14901
2016-06-01,16:00,16:15,14923
2016-06-01,16:15,16:30,14840
2016-06-01,16:30,16:45,14889
2016-06-01,16:45,17:00,14889
2016-06-01,17:00,17:15,14905
2016-06-01,17:15,17:30,14713
2016-06-01,17:30,17:45,14873
2016-06-01,17:45,18:00,15000
2016-06-01,18:00,18:15,15036
2016-06-01,18:15,18:30,14982
2016-06-01,18:30,18:45,15037
2016-06-01,18:45,19:00,15136
2016-06-01,19:00,19:15,14968
2016-06-01,19:15,19:30,14933
2016-06-01,19:30,19:45,14862
2016-06-01,19:45,20:00,14791
2016-06-01,20:00,20:15,14698
2016-06-01,20:15,20:30,14485
2016-06-01,20:30,20:45,14229
2016-06-01,20:45,21:00,14301
2016-06-01,21:00,21:15,14003
2016-06-01,21:15,21:30,13736
2016-06-01,21:30,21:45,13632
2016-06-01,21:45,22:00,13365
2016-06-01,22:00,22:15,13025
2016-06-01,22:15,22:30,12810
2016-06-01,22:30,22:45,12435
2016-06-01,22:45,23:00,12269
2016-06-01,23:00,23:15,11849
2016-06-01,23:15,23:30,11486
2016-06-01,23:30,23:45,11395
2016-06-01,23:45,00:00,11252
2016-06-02,00:00,00:15,11195
2016-06-02,00:15,00:30,10995
2016-06-02,00:30,00:45,10967
2016-06-02,00:45,01:00,10925
2016-06-02,01:00,01:15,10860
2016-06-02,01:15,01:30,10800
2016-06-02,01:30,01:45,10781
2016-06-02,01:45,02:00,10691
2016-06-02,02:00,02:15,10491
2016-06-02,02:15,02:30,10403
2016-06-02,02:30,02:45,10542
2016-06-02,02:45,03:00,10571
2016-06-02,03:00,03:15,10588
2016-06-02,03:15,03:30,10601
2016-06-02,03:30,03:45,10643
2016-06-02,03:45,04:00,10665
2016-06-02,04:00,04:15,10811
2016-06-02,04:15,04:30,10956
2016-06-02,04:30,04:45,11075
2016-06-02,04:45,05:00,11203
2016-06-02,05:00,05:15,11403
2016-06-02,05:15,05:30,11563
2016-06-02,05:30,05:45,11814
2016-06-02,05:45,06:00,12225
2016-06-02,06:00,06:15,12854
2016-06-02,06:15,06:30,13297
2016-06-02,06:30,06:45,13887
2016-06-02,06:45,07:00,14267
2016-06-02,07:00,07:15,14435
2016-06-02,07:15,07:30,14595
2016-06-02,07:30,07:45,14756
2016-06-02,07:45,08:00,14995
2016-06-02,08:00,08:15,15095
2016-06-02,08:15,08:30,15141
2016-06-02,08:30,08:45,15070
2016-06-02,08:45,09:00,15050
2016-06-02,09:00,09:15,14903
2016-06-02,09:15,09:30,15034
2016-06-02,09:30,09:45,15138
2016-06-02,09:45,10:00,15092
2016-06-02,10:00,10:15,15120
2016-06-02,10:15,10:30,15066
2016-06-02,10:30,10:45,15279
2016-06-02,10:45,11:00,15407
2016-06-02,11:00,11:15,15385
2016-06-02,11:15,11:30,15419
2016-06-02,11:30,11:45,15421
2016-06-02,11:45,12:00,15291
2016-06-02,12:00,12:15,14880
2016-06-02,12:15,12:30,14858
2016-06-02,12:30,12:45,14873
2016-06-02,12:45,13:00,14768
2016-06-02,13:00,13:15,14716
2016-06-02,13:15,13:30,14715
2016-06-02,13:30,13:45,14678
2016-06-02,13:45,14:00,14442
2016-06-02,14:00,14:15,14461
2016-06-02,14:15,14:30,14592
2016-06-02,14:30,14:45,14647
2016-06-02,14:45,15:00,14544
2016-06-02,15:00,15:15,14645
2016-06-02,15:15,15:30,14642
2016-06-02,15:30,15:45,14763
2016-06-02,15:45,16:00,14768
2016-06-02,16:00,16:15,14942
2016-06-02,16:15,16:30,14995
2016-06-02,16:30,16:45,14945
2016-06-02,16:45,17:00,14993
2016-06-02,17:00,17:15,15123
2016-06-02,17:15,17:30,15389
2016-06-02,17:30,17:45,15549
2016-06-02,17:45,18:00,15540
2016-06-02,18:00,18:15,15360
2016-06-02,18:15,18:30,15356
2016-06-02,18:30,18:45,15456
2016-06-02,18:45,19:00,15625
2016-06-02,19:00,19:15,15621
2016-06-02,19:15,19:30,15600
2016-06-02,19:30,19:45,15593
2016-06-02,19:45,20:00,15470
2016-06-02,20:00,20:15,15411
2016-06-02,20:15,20:30,15288
2016-06-02,20:30,20:45,15240
2016-06-02,20:45,21:00,14917
2016-06-02,21:00,21:15,14905
2016-06-02,21:15,21:30,14775
2016-06-02,21:30,21:45,14495
2016-06-02,21:45,22:00,14287
2016-06-02,22:00,22:15,14138
2016-06-02,22:15,22:30,13968
2016-06-02,22:30,22:45,13566
2016-06-02,22:45,23:00,13257
2016-06-02,23:00,23:15,12877
2016-06-02,23:15,23:30,12764
2016-06-02,23:30,23:45,12494
2016-06-02,23:45,00:00,12317
2016-06-03,00:00,00:15,11958
2016-06-03,00:15,00:30,11930
2016-06-03,00:30,00:45,11680
2016-06-03,00:45,01:00,11545
2016-06-03,01:00,01:15,11411
2016-06-03,01:15,01:30,11450
2016-06-03,01:30,01:45,11389
2016-06-03,01:45,02:00,11278
2016-06-03,02:00,02:15,11068
2016-06-03,02:15,02:30,11075
2016-06-03,02:30,02:45,11145
2016-06-03,02:45,03:00,11160
2016-06-03,03:00,03:15,11327
2016-06-03,03:15,03:30,11281
2016-06-03,03:30,03:45,11221
2016-06-03,03:45,04:00,11302
2016-06-03,04:00,04:15,11434
2016-06-03,04:15,04:30,11402
2016-06-03,04:30,04:45,11517
2016-06-03,04:45,05:00,11794
2016-06-03,05:00,05:15,11932
2016-06-03,05:15,05:30,12242
2016-06-03,05:30,05:45,12358
2016-06-03,05:45,06:00,12695
2016-06-03,06:00,06:15,13386
2016-06-03,06:15,06:30,14080
2016-06-03,06:30,06:45,14385
2016-06-03,06:45,07:00,14739
2016-06-03,07:00,07:15,15108
2016-06-03,07:15,07:30,15274
2016-06-03,07:30,07:45,15316
2016-06-03,07:45,08:00,15447
2016-06-03,08:00,08:15,15658
2016-06-03,08:15,08:30,15715
2016-06-03,08:30,08:45,15635
2016-06-03,08:45,09:00,15556
2016-06-03,09:00,09:15,15446
2016-06-03,09:15,09:30,15387
2016-06-03,09:30,09:45,15331
2016-06-03,09:45,10:00,15265
2016-06-03,10:00,10:15,15656
2016-06-03,10:15,10:30,15694
2016-06-03,10:30,10:45,15623
2016-06-03,10:45,11:00,15611
2016-06-03,11:00,11:15,15012
2016-06-03,11:15,11:30,14964
2016-06-03,11:30,11:45,15001
2016-06-03,11:45,12:00,14817
2016-06-03,12:00,12:15,14717
2016-06-03,12:15,12:30,14723
2016-06-03,12:30,12:45,14827
2016-06-03,12:45,13:00,14892
2016-06-03,13:00,13:15,14674
2016-06-03,13:15,13:30,14574
2016-06-03,13:30,13:45,14552
2016-06-03,13:45,14:00,14398
2016-06-03,14:00,14:15,14465
2016-06-03,14:15,14:30,14503
2016-06-03,14:30,14:45,14463
2016-06-03,14:45,15:00,14410
2016-06-03,15:00,15:15,14455
2016-06-03,15:15,15:30,14370
2016-06-03,15:30,15:45,14270
2016-06-03,15:45,16:00,13879
2016-06-03,16:00,16:15,13884
2016-06-03,16:15,16:30,13957
2016-06-03,16:30,16:45,13788
2016-06-03,16:45,17:00,13705
2016-06-03,17:00,17:15,13926
2016-06-03,17:15,17:30,14044
2016-06-03,17:30,17:45,14044
2016-06-03,17:45,18:00,14048
2016-06-03,18:00,18:15,13958
2016-06-03,18:15,18:30,14111
2016-06-03,18:30,18:45,14332
2016-06-03,18:45,19:00,14332
2016-06-03,19:00,19:15,14335
2016-06-03,19:15,19:30,14280
2016-06-03,19:30,19:45,14217
2016-06-03,19:45,20:00,14131
2016-06-03,20:00,20:15,14172
2016-06-03,20:15,20:30,14092
2016-06-03,20:30,20:45,14041
2016-06-03,20:45,21:00,13873
2016-06-03,21:00,21:15,13577
2016-06-03,21:15,21:30,13452
2016-06-03,21:30,21:45,13286
2016-06-03,21:45,22:00,13159
2016-06-03,22:00,22:15,12980
2016-06-03,22:15,22:30,12814
2016-06-03,22:30,22:45,12491
2016-06-03,22:45,23:00,12257
2016-06-03,23:00,23:15,11991
2016-06-03,23:15,23:30,11860
2016-06-03,23:30,23:45,11682
2016-06-03,23:45,00:00,11632
2016-06-04,00:00,00:15,11576
2016-06-04,00:15,00:30,11489
2016-06-04,00:30,00:45,11366
2016-06-04,00:45,01:00,11180
2016-06-04,01:00,01:15,11173
2016-06-04,01:15,01:30,11027
2016-06-04,01:30,01:45,10882
2016-06-04,01:45,02:00,10762
2016-06-04,02:00,02:15,10670
2016-06-04,02:15,02:30,10639
2016-06-04,02:30,02:45,10498
2016-06-04,02:45,03:00,10437
2016-06-04,03:00,03:15,10422
2016-06-04,03:15,03:30,10449
2016-06-04,03:30,03:45,10409
2016-06-04,03:45,04:00,10352
2016-06-04,04:00,04:15,10420
2016-06-04,04:15,04:30,10435
2016-06-04,04:30,04:45,10435
2016-06-04,04:45,05:00,10450
2016-06-04,05:00,05:15,10458
2016-06-04,05:15,05:30,10423
2016-06-04,05:30,05:45,10366
2016-06-04,05:45,06:00,10330
2016-06-04,06:00,06:15,10490
2016-06-04,06:15,06:30,10642
2016-06-04,06:30,06:45,10945
2016-06-04,06:45,07:00,10979
2016-06-04,07:00,07:15,11275
2016-06-04,07:15,07:30,11576
2016-06-04,07:30,07:45,11723
2016-06-04,07:45,08:00,11857
2016-06-04,08:00,08:15,12077
2016-06-04,08:15,08:30,12429
2016-06-04,08:30,08:45,12484
2016-06-04,08:45,09:00,12622
2016-06-04,09:00,09:15,12614
2016-06-04,09:15,09:30,12734
2016-06-04,09:30,09:45,12789
2016-06-04,09:45,10:00,12717
2016-06-04,10:00,10:15,12768
2016-06-04,10:15,10:30,12739
2016-06-04,10:30,10:45,12715
2016-06-04,10:45,11:00,12548
2016-06-04,11:00,11:15,12438
2016-06-04,11:15,11:30,12339
2016-06-04,11:30,11:45,12297
2016-06-04,11:45,12:00,12127
2016-06-04,12:00,12:15,11873
2016-06-04,12:15,12:30,11868
2016-06-04,12:30,12:45,11760
2016-06-04,12:45,13:00,11544
2016-06-04,13:00,13:15,11424
2016-06-04,13:15,13:30,11407
2016-06-04,13:30,13:45,11346
2016-06-04,13:45,14:00,11270
2016-06-04,14:00,14:15,11009
2016-06-04,14:15,14:30,11027
2016-06-04,14:30,14:45,11019
2016-06-04,14:45,15:00,11057
2016-06-04,15:00,15:15,10997
2016-06-04,15:15,15:30,10969
2016-06-04,15:30,15:45,11113
2016-06-04,15:45,16:00,11125
2016-06-04,16:00,16:15,11030
2016-06-04,16:15,16:30,11049
2016-06-04,16:30,16:45,11093
2016-06-04,16:45,17:00,11301
2016-06-04,17:00,17:15,11568
2016-06-04,17:15,17:30,11800
2016-06-04,17:30,17:45,11871
2016-06-04,17:45,18:00,11991
2016-06-04,18:00,18:15,12081
2016-06-04,18:15,18:30,12280
2016-06-04,18:30,18:45,12315
2016-06-04,18:45,19:00,12547
2016-06-04,19:00,19:15,12679
2016-06-04,19:15,19:30,12572
2016-06-04,19:30,19:45,12494
2016-06-04,19:45,20:00,12510
2016-06-04,20:00,20:15,12382
2016-06-04,20:15,20:30,12248
2016-06-04,20:30,20:45,12178
2016-06-04,20:45,21:00,12052
2016-06-04,21:00,21:15,11888
2016-06-04,21:15,21:30,11894
2016-06-04,21:30,21:45,11772
2016-06-04,21:45,22:00,11730
2016-06-04,22:00,22:15,11798
2016-06-04,22:15,22:30,11589
2016-06-04,22:30,22:45,11669
2016-06-04,22:45,23:00,11577
2016-06-04,23:00,23:15,11241
2016-06-04,23:15,23:30,11033
2016-06-04,23:30,23:45,10961
2016-06-04,23:45,00:00,10819
2016-06-05,00:00,00:15,10735
2016-06-05,00:15,00:30,10316
2016-06-05,00:30,00:45,10162
2016-06-05,00:45,01:00,10128
2016-06-05,01:00,01:15,10046
2016-06-05,01:15,01:30,9809
2016-06-05,01:30,01:45,9689
2016-06-05,01:45,02:00,9645
2016-06-05,02:00,02:15,9652
2016-06-05,02:15,02:30,9606
2016-06-05,02:30,02:45,9530
2016-06-05,02:45,03:00,9606
2016-06-05,03:00,03:15,9635
2016-06-05,03:15,03:30,9644
2016-06-05,03:30,03:45,9566
2016-06-05,03:45,04:00,9462
2016-06-05,04:00,04:15,9626
2016-06-05,04:15,04:30,9586
2016-06-05,04:30,04:45,9508
2016-06-05,04:45,05:00,9502
2016-06-05,05:00,05:15,9454
2016-06-05,05:15,05:30,9431
2016-06-05,05:30,05:45,9280
2016-06-05,05:45,06:00,9217
2016-06-05,06:00,06:15,9296
2016-06-05,06:15,06:30,9334
2016-06-05,06:30,06:45,9428
2016-06-05,06:45,07:00,9509
2016-06-05,07:00,07:15,9581
2016-06-05,07:15,07:30,9572
2016-06-05,07:30,07:45,9708
2016-06-05,07:45,08:00,9770
2016-06-05,08:00,08:15,10000
2016-06-05,08:15,08:30,10106
2016-06-05,08:30,08:45,10165
2016-06-05,08:45,09:00,10316
2016-06-05,09:00,09:15,10302
2016-06-05,09:15,09:30,10509
2016-06-05,09:30,09:45,10575
2016-06-05,09:45,10:00,10558
2016-06-05,10:00,10:15,10516
2016-06-05,10:15,10:30,10683
2016-06-05,10:30,10:45,10639
2016-06-05,10:45,11:00,10509
2016-06-05,11:00,11:15,10411
2016-06-05,11:15,11:30,10400
2016-06-05,11:30,11:45,10522
2016-06-05,11:45,12:00,10374
2016-06-05,12:00,12:15,10252
2016-06-05,12:15,12:30,10168
2016-06-05,12:30,12:45,10079
2016-06-05,12:45,13:00,9930
2016-06-05,13:00,13:15,9805
2016-06-05,13:15,13:30,9827
2016-06-05,13:30,13:45,9873
2016-06-05,13:45,14:00,9767
2016-06-05,14:00,14:15,9671
2016-06-05,14:15,14:30,9724
2016-06-05,14:30,14:45,9725
2016-06-05,14:45,15:00,9683
2016-06-05,15:00,15:15,9686
2016-06-05,15:15,15:30,9707
2016-06-05,15:30,15:45,9930
2016-06-05,15:45,16:00,9942
2016-06-05,16:00,16:15,9970
2016-06-05,16:15,16:30,9996
2016-06-05,16:30,16:45,10100
2016-06-05,16:45,17:00,10215
2016-06-05,17:00,17:15,10527
2016-06-05,17:15,17:30,10534
2016-06-05,17:30,17:45,10853
2016-06-05,17:45,18:00,10941
2016-06-05,18:00,18:15,10966
2016-06-05,18:15,18:30,11121
2016-06-05,18:30,18:45,11399
2016-06-05,18:45,19:00,11463
2016-06-05,19:00,19:15,11489
2016-06-05,19:15,19:30,11508
2016-06-05,19:30,19:45,11736
2016-06-05,19:45,20:00,11688
2016-06-05,20:00,20:15,11915
2016-06-05,20:15,20:30,11758
2016-06-05,20:30,20:45,11752
2016-06-05,20:45,21:00,11680
2016-06-05,21:00,21:15,11659
2016-06-05,21:15,21:30,11597
2016-06-05,21:30,21:45,11469
2016-06-05,21:45,22:00,11650
2016-06-05,22:00,22:15,11869
2016-06-05,22:15,22:30,11876
2016-06-05,22:30,22:45,11653
2016-06-05,22:45,23:00,11612
2016-06-05,23:00,23:15,11411
2016-06-05,23:15,23:30,11291
2016-06-05,23:30,23:45,11032
2016-06-05,23:45,00:00,10838
2016-06-06,00:00,00:15,10626
2016-06-06,00:15,00:30,10490
2016-06-06,00:30,00:45,10523
2016-06-06,00:45,01:00,10328
2016-06-06,01:00,01:15,10150
2016-06-06,01:15,01:30,10025
2016-06-06,01:30,01:45,9940
2016-06-06,01:45,02:00,9836
2016-06-06,02:00,02:15,9779
2016-06-06,02:15,02:30,9753
2016-06-06,02:30,02:45,9777
2016-06-06,02:45,03:00,9781
2016-06-06,03:00,03:15,9811
2016-06-06,03:15,03:30,9891
2016-06-06,03:30,03:45,9958
2016-06-06,03:45,04:00,9998
2016-06-06,04:00,04:15,10162
2016-06-06,04:15,04:30,10205
2016-06-06,04:30,04:45,10292
