Nr,Name,MaxSchnellmeldungen,AnzSchnellmeldungen,Wahlberechtigte,abgegeben,Wahlbeteiligung,gültigeStimmzettel,gültig,ungültigeStimmzettel,ungültig,gültig2,ungültig2,CDU,CDU_Proz,Z_CDU,Z_CDU_Proz,SPD,SPD_Proz,Z_SPD,Z_SPD_Proz,FDP,FDP_Proz,Z_FDP,Z_FDP_Proz,GRÜNE,GRÜNE_Proz,Z_GRÜNE,Z_GRÜNE_Proz,DIE LINKE,DIE LINKE_Proz,Z_DIE LINKE,Z_DIE LINKE_Proz,PIRATEN,PIRATEN_Proz,Z_PIRATEN,Z_PIRATEN_Proz,NPD,NPD_Proz,Z_NPD,Z_NPD_Proz,REP,REP_Proz,Z_REP,Z_REP_Proz,Bündnis 21/RRP,Bündnis 21/RRP_Proz,Z_Bündnis 21/RRP,Z_Bündnis 21/RRP_Proz,Volksabstimmung,Volksabstimmung_Proz,Z_Volksabstimmung,Z_Volksabstimmung_Proz,ÖDP,ÖDP_Proz,Z_ÖDP,Z_ÖDP_Proz,MLPD,MLPD_Proz,Z_MLPD,Z_MLPD_Proz,BüSo,BüSo_Proz,Z_BüSo,Z_BüSo_Proz,PSG,PSG_Proz,Z_PSG,Z_PSG_Proz,AfD,AfD_Proz,Z_AfD,Z_AfD_Proz,BIG,BIG_Proz,Z_BIG,Z_BIG_Proz,pro Deutschland,pro Deutschland_Proz,Z_pro Deutschland,Z_pro Deutschland_Proz,DIE RECHTE,DIE RECHTE_Proz,Z_DIE RECHTE,Z_DIE RECHTE_Proz,FREIE WÄHLER,FREIE WÄHLER_Proz,Z_FREIE WÄHLER,Z_FREIE WÄHLER_Proz,Partei der Nichtwähler,Partei der Nichtwähler_Proz,Z_Partei der Nichtwähler,Z_Partei der Nichtwähler_Proz,Partei der Vernunft,Partei der Vernunft_Proz,Z_Partei der Vernunft,Z_Partei der Vernunft_Proz,Die PARTEI,Die PARTEI_Proz,Z_Die PARTEI,Z_Die PARTEI_Proz,_unnamed
5,Chorweiler,73,73,52542,34290,6526,,33783,,507,33872,418,14521,4298,13384,3951,12669,3750,10626,3137,699,207,1558,460,2115,626,2615,772,2137,633,2454,724,834,247.0,730,216,561,166.0,359,106.0,0,0.0,45,13.0,0,0.0,20,6.0,0,0.0,84,25.0,0,0.0,32,9.0,0,0.0,8,2.0,55,16.0,14,4.0,0,0.0,12,4.0,0,0.0,1311,387,0,0.0,117,35.0,0,0.0,145,43.0,0,0.0,9,3.0,192,57.0,98,29.0,0,0.0,53,16.0,0,0.0,38,11.0,0,0.0,160,47.0,
9,Ehrenfeld,96,96,71639,50904,7106,,50293,,611,50453,451,14001,2784,13156,2608,20019,3980,15723,3116,915,182,2059,408,8329,1656,9444,1872,4472,889,5377,1066,1696,337.0,1590,315,568,113.0,323,64.0,0,0.0,57,11.0,0,0.0,23,5.0,0,0.0,76,15.0,0,0.0,124,25.0,0,0.0,22,4.0,69,14.0,26,5.0,0,0.0,11,2.0,0,0.0,1422,282,0,0.0,94,19.0,0,0.0,155,31.0,0,0.0,7,1.0,224,45.0,135,27.0,0,0.0,104,21.0,0,0.0,52,10.0,0,0.0,473,94.0,
1,Innenstadt,141,141,95222,74202,7793,,73617,,585,73781,421,22072,2998,20001,2711,25588,3476,20470,2774,2079,282,4868,660,14725,2000,15401,2087,5154,700,6964,944,2109,286.0,2266,307,233,32.0,177,24.0,0,0.0,33,4.0,0,0.0,18,2.0,0,0.0,77,10.0,0,0.0,140,19.0,0,0.0,28,4.0,65,9.0,25,3.0,0,0.0,9,1.0,1368,186.0,2062,279,0,0.0,58,8.0,0,0.0,94,13.0,0,0.0,3,0.0,224,30.0,152,21.0,0,0.0,186,25.0,0,0.0,55,7.0,0,0.0,694,94.0,
7,Kalk,87,87,69191,44219,6391,,43668,,551,43738,481,15525,3555,14165,3239,16880,3866,14295,3268,937,215,2084,476,3635,832,4496,1028,3446,789,4110,940,1166,267.0,1182,270,585,134.0,462,106.0,0,0.0,61,14.0,0,0.0,33,8.0,0,0.0,71,16.0,0,0.0,78,18.0,0,0.0,41,9.0,74,17.0,26,6.0,0,0.0,14,3.0,1268,290.0,1756,401,0,0.0,154,35.0,0,0.0,160,37.0,0,0.0,8,2.0,152,35.0,133,30.0,0,0.0,72,16.0,0,0.0,37,8.0,0,0.0,300,69.0,
3,Lindenthal,162,162,109907,89652,8157,,88999,,653,89156,496,38630,4340,34022,3816,27926,3138,22293,2500,2415,271,8015,899,12229,1374,13593,1525,3834,431,5096,572,1493,168.0,1693,190,284,32.0,223,25.0,0,0.0,41,5.0,0,0.0,23,3.0,0,0.0,98,11.0,0,0.0,162,18.0,0,0.0,16,2.0,43,5.0,21,2.0,0,0.0,15,2.0,1861,209.0,2897,325,0,0.0,41,5.0,0,0.0,102,11.0,0,0.0,6,1.0,284,32.0,189,21.0,0,0.0,165,19.0,0,0.0,34,4.0,0,0.0,411,46.0,
8,Mülheim,130,130,96118,65050,6768,,64186,,864,64431,619,21387,3332,19712,3059,28230,4398,21518,3340,1443,225,2839,441,5819,907,7797,1210,4599,717,5696,884,0,0.0,1894,294,1080,168.0,644,100.0,0,0.0,75,12.0,0,0.0,26,4.0,0,0.0,135,21.0,0,0.0,106,16.0,269,42.0,97,15.0,0,0.0,12,2.0,0,0.0,10,2.0,0,0.0,2582,401,0,0.0,167,26.0,0,0.0,244,38.0,0,0.0,4,1.0,638,99.0,234,36.0,0,0.0,110,17.0,0,0.0,49,8.0,721,112.0,480,74.0,
4,Nippes,111,111,77741,56520,7270,,55873,,647,56021,499,17477,3128,16362,2921,22333,3997,17891,3194,1544,276,2722,486,7602,1361,8846,1579,4274,765,5129,916,1631,292.0,1469,262,621,111.0,375,67.0,0,0.0,49,9.0,0,0.0,24,4.0,0,0.0,88,16.0,0,0.0,107,19.0,0,0.0,27,5.0,79,14.0,19,3.0,0,0.0,11,2.0,0,0.0,1780,318,0,0.0,170,30.0,0,0.0,188,34.0,0,0.0,11,2.0,312,56.0,172,31.0,0,0.0,136,24.0,0,0.0,37,7.0,0,0.0,408,73.0,
6,Porz,111,111,76392,52694,6898,,52078,,616,52152,542,21137,4059,19419,3724,19754,3793,16781,3218,1143,219,2609,500,3231,620,4403,844,2853,548,3541,679,1220,234.0,1283,246,618,119.0,466,89.0,0,0.0,90,17.0,0,0.0,41,8.0,0,0.0,95,18.0,0,0.0,65,12.0,0,0.0,16,3.0,55,11.0,19,4.0,0,0.0,13,2.0,1901,365.0,2520,483,0,0.0,74,14.0,0,0.0,206,39.0,0,0.0,7,1.0,166,32.0,127,24.0,0,0.0,93,18.0,0,0.0,45,9.0,0,0.0,239,46.0,
2,Rodenkirchen,113,113,73683,56232,7632,,55714,,518,55794,438,23879,4286,21165,3793,18459,3313,15110,2708,1431,257,4530,812,6119,1098,6805,1220,2817,506,3687,661,1050,188.0,1149,206,392,70.0,300,54.0,0,0.0,46,8.0,0,0.0,18,3.0,0,0.0,80,14.0,0,0.0,87,16.0,0,0.0,15,3.0,40,7.0,8,1.0,0,0.0,17,3.0,1326,238.0,2087,374,0,0.0,59,11.0,0,0.0,94,17.0,0,0.0,4,1.0,201,36.0,139,25.0,0,0.0,89,16.0,0,0.0,36,6.0,0,0.0,269,48.0,
