station_european_code,component_code,component_name,component_caption,measurement_unit,measurement_european_group_code,statistics_period,statistics_year,statistics_average_group,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid,statistics_calculated
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,var,Max,maximum,6.3,0.822,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,var,Mean,annual mean,6.3,0.822,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,var,P50,50 percentile,6.3,0.822,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,var,P95,95 percentile,6.3,0.822,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,var,P98,98 percentile,6.3,0.822,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,year,Max,maximum,4.1,100.0,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,year,Mean,annual mean,4.1,100.0,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,year,P50,50 percentile,4.1,100.0,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,year,P95,95 percentile,4.1,100.0,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2005,year,P98,98 percentile,4.1,100.0,1,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2006,var,P50,50 percentile,3.9,96.929,12,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2006,var,Mean,annual mean,4.442,96.929,12,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2006,var,P95,95 percentile,7.6,96.929,12,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2006,var,Max,maximum,9.1,96.929,12,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2006,var,P98,98 percentile,9.1,96.929,12,True
DENW147,20,Benzene (air),C6H6,µg/m3,520,Calendar year,2008,var,P50,50 percentile,2.16,91.485,11,True
