station_european_code,component_code,component_name,component_caption,measurement_unit,measurement_european_group_code,statistics_period,statistics_year,statistics_average_group,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid,statistics_calculated
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,P50,50 percentile,32.625,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Mean,annual mean,36.728,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,P95,95 percentile,70.667,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,P98,98 percentile,78.364,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Max,maximum,116.0,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Max36,36th highest value,45.583,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Max8,8th highest value,74.0,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,day,Days(c > 50),days with c > 50 ug/m3,29.0,50.137,183,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,P50,50 percentile,32.0,49.932,4374,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,Mean,annual mean,36.689,49.932,4374,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,P95,95 percentile,76.0,49.932,4374,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,P98,98 percentile,92.0,49.932,4374,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2007,hour,Max,maximum,164.0,49.932,4374,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,P50,50 percentile,27.058,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,Mean,annual mean,31.137,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,P95,95 percentile,55.22,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,P98,98 percentile,73.559,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,Max,maximum,161.623,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,Max36,36th highest value,47.396,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,Max8,8th highest value,73.559,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,day,Days(c > 50),days with c > 50 ug/m3,28.0,96.986,354,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,hour,P50,50 percentile,26.768,97.043,8501,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,hour,Mean,annual mean,31.264,97.043,8501,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,hour,P95,95 percentile,66.557,97.043,8501,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,hour,P98,98 percentile,88.123,97.043,8501,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2009,hour,Max,maximum,457.991,97.043,8501,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,P50,50 percentile,28.087,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,Mean,annual mean,29.561,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,P95,95 percentile,47.684,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,P98,98 percentile,57.962,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,Max,maximum,106.805,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,Max36,36th highest value,42.421,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,Max8,8th highest value,57.962,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,day,Days(c > 50),days with c > 50 ug/m3,15.0,98.356,359,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,hour,P50,50 percentile,27.207,97.568,8547,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,hour,Mean,annual mean,29.515,97.568,8547,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,hour,P95,95 percentile,58.402,97.568,8547,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,hour,P98,98 percentile,73.494,97.568,8547,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2010,hour,Max,maximum,179.271,97.568,8547,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,P50,50 percentile,28.733,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,Mean,annual mean,30.866,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,P95,95 percentile,52.725,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,P98,98 percentile,66.94,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,Max,maximum,117.821,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,Max36,36th highest value,45.259,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,Max8,8th highest value,66.94,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,day,Days(c > 50),days with c > 50 ug/m3,26.0,95.342,348,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,hour,P50,50 percentile,27.202,94.692,8295,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,hour,Mean,annual mean,30.931,94.692,8295,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,hour,P95,95 percentile,66.36,94.692,8295,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,hour,P98,98 percentile,81.508,94.692,8295,True
DENW211,5,Particulate matter < 10 µm (aerosol),PM10,µg/m3,100,Calendar year,2011,hour,Max,maximum,721.742,94.692,8295,True
