Nr,Name,MaxSchnellmeldungen,AnzSchnellmeldungen,Wahlberechtigte,abgegeben,Wahlbeteiligung,gültigeStimmzettel,gültig,ungültigeStimmzettel,ungültig,gültig2,ungültig2,CDU,CDU_Proz,Z_CDU,Z_CDU_Proz,SPD,SPD_Proz,Z_SPD,Z_SPD_Proz,FDP,FDP_Proz,Z_FDP,Z_FDP_Proz,GRÜNE,GRÜNE_Proz,Z_GRÜNE,Z_GRÜNE_Proz,DIE LINKE,DIE LINKE_Proz,Z_DIE LINKE,Z_DIE LINKE_Proz,PIRATEN,PIRATEN_Proz,Z_PIRATEN,Z_PIRATEN_Proz,NPD,NPD_Proz,Z_NPD,Z_NPD_Proz,REP,REP_Proz,Z_REP,Z_REP_Proz,Bündnis 21/RRP,Bündnis 21/RRP_Proz,Z_Bündnis 21/RRP,Z_Bündnis 21/RRP_Proz,Volksabstimmung,Volksabstimmung_Proz,Z_Volksabstimmung,Z_Volksabstimmung_Proz,ÖDP,ÖDP_Proz,Z_ÖDP,Z_ÖDP_Proz,MLPD,MLPD_Proz,Z_MLPD,Z_MLPD_Proz,BüSo,BüSo_Proz,Z_BüSo,Z_BüSo_Proz,PSG,PSG_Proz,Z_PSG,Z_PSG_Proz,AfD,AfD_Proz,Z_AfD,Z_AfD_Proz,BIG,BIG_Proz,Z_BIG,Z_BIG_Proz,pro Deutschland,pro Deutschland_Proz,Z_pro Deutschland,Z_pro Deutschland_Proz,DIE RECHTE,DIE RECHTE_Proz,Z_DIE RECHTE,Z_DIE RECHTE_Proz,FREIE WÄHLER,FREIE WÄHLER_Proz,Z_FREIE WÄHLER,Z_FREIE WÄHLER_Proz,Partei der Nichtwähler,Partei der Nichtwähler_Proz,Z_Partei der Nichtwähler,Z_Partei der Nichtwähler_Proz,Partei der Vernunft,Partei der Vernunft_Proz,Z_Partei der Vernunft,Z_Partei der Vernunft_Proz,Die PARTEI,Die PARTEI_Proz,Z_Die PARTEI,Z_Die PARTEI_Proz,_unnamed
,Fühlingen,3,3,1606,1251,77.9,,1241,,10,1242,9,624,50.28,572,46.05,390,31.43,313,25.2,22,1.77,64,5.15,105,8.46,144,11.59,65,5.24,71,5.72,16,1.29,11,0.89,13,1.05,11,0.89,0,0.0,2,0.16,0,0.0,3,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,2.9,0,0.0,0,0.0,0,0.0,5,0.4,0,0.0,0,0.0,6,0.48,3,0.24,0,0.0,2,0.16,0,0.0,2,0.16,0,0.0,3,0.24,
,Godorf,3,3,1568,1018,64.92,,1005,,13,1006,12,393,39.1,348,34.59,398,39.6,340,33.8,16,1.59,46,4.57,55,5.47,74,7.36,68,6.77,79,7.85,18,1.79,21,2.09,17,1.69,14,1.39,0,0.0,13,1.29,0,0.0,2,0.2,0,0.0,5,0.5,0,0.0,1,0.1,0,0.0,1,0.1,14,1.39,1,0.1,0,0.0,4,0.4,24,2.39,39,3.88,0,0.0,0,0.0,0,0.0,7,0.7,0,0.0,0,0.0,2,0.2,3,0.3,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,7,0.7,
,Gremberghoven,3,3,1379,736,53.37,,728,,8,729,7,202,27.75,179,24.55,360,49.45,308,42.25,8,1.1,20,2.74,20,2.75,47,6.45,68,9.34,80,10.97,23,3.16,18,2.47,22,3.02,19,2.61,0,0.0,3,0.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.14,1,0.14,0,0.0,0,0.0,22,3.02,31,4.25,0,0.0,9,1.23,0,0.0,8,1.1,0,0.0,0,0.0,2,0.27,2,0.27,0,0.0,1,0.14,0,0.0,2,0.27,0,0.0,1,0.14,
,Grengel,4,4,3854,2484,64.45,,2457,,27,2463,21,994,40.46,900,36.54,877,35.69,780,31.67,57,2.32,127,5.16,133,5.41,187,7.59,160,6.51,174,7.06,55,2.24,54,2.19,45,1.83,32,1.3,0,0.0,12,0.49,0,0.0,1,0.04,0,0.0,2,0.08,0,0.0,4,0.16,0,0.0,2,0.08,1,0.04,1,0.04,0,0.0,1,0.04,126,5.13,152,6.17,0,0.0,0,0.0,0,0.0,10,0.41,0,0.0,0,0.0,9,0.37,8,0.32,0,0.0,1,0.04,0,0.0,3,0.12,0,0.0,12,0.49,
,Hahnwald,3,3,1470,1304,88.71,,1297,,7,1302,2,1018,78.49,772,59.29,125,9.64,98,7.53,63,4.86,306,23.5,36,2.78,44,3.38,19,1.46,21,1.61,13,1.0,8,0.61,0,0.0,1,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,1.7,47,3.61,0,0.0,0,0.0,0,0.0,2,0.15,0,0.0,0,0.0,1,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.15,
,Heimersdorf,7,7,4583,3386,73.88,,3349,,37,3360,26,1515,45.24,1382,41.13,1242,37.09,1046,31.13,61,1.82,157,4.67,230,6.87,300,8.93,141,4.21,175,5.21,79,2.36,72,2.14,63,1.88,36,1.07,0,0.0,3,0.09,0,0.0,3,0.09,0,0.0,6,0.18,0,0.0,3,0.09,0,0.0,1,0.03,3,0.09,1,0.03,0,0.0,1,0.03,0,0.0,135,4.02,0,0.0,3,0.09,0,0.0,6,0.18,0,0.0,0,0.0,15,0.45,7,0.21,0,0.0,1,0.03,0,0.0,6,0.18,0,0.0,16,0.48,
,Holweide,16,16,14097,9411,66.76,,9299,,112,9340,71,3148,33.85,2889,30.93,4061,43.67,3122,33.43,207,2.23,400,4.28,821,8.83,1066,11.41,666,7.16,816,8.74,0,0.0,268,2.87,174,1.87,98,1.05,0,0.0,9,0.1,0,0.0,1,0.01,0,0.0,18,0.19,0,0.0,14,0.15,27,0.29,8,0.09,0,0.0,3,0.03,0,0.0,0,0.0,0,0.0,461,4.94,0,0.0,22,0.24,0,0.0,34,0.36,0,0.0,0,0.0,109,1.17,35,0.37,0,0.0,7,0.07,0,0.0,7,0.07,86,0.92,62,0.66,
,Humboldt/Gremberg,9,9,8655,5083,58.73,,4995,,88,5007,76,1357,27.17,1263,25.22,2059,41.22,1794,35.83,93,1.86,156,3.12,474,9.49,534,10.67,515,10.31,594,11.86,202,4.04,213,4.25,86,1.72,63,1.26,0,0.0,16,0.32,0,0.0,3,0.06,0,0.0,7,0.14,0,0.0,7,0.14,0,0.0,7,0.14,10,0.2,1,0.02,0,0.0,2,0.04,179,3.58,226,4.51,0,0.0,16,0.32,0,0.0,23,0.46,0,0.0,1,0.02,20,0.4,17,0.34,0,0.0,7,0.14,0,0.0,6,0.12,0,0.0,51,1.02,
,Höhenberg,8,8,6915,3982,57.58,,3913,,69,3920,62,1049,26.81,977,24.92,1717,43.88,1459,37.22,80,2.04,130,3.32,319,8.15,368,9.39,416,10.63,519,13.24,182,4.65,167,4.26,56,1.43,49,1.25,0,0.0,3,0.08,0,0.0,2,0.05,0,0.0,16,0.41,0,0.0,11,0.28,0,0.0,2,0.05,4,0.1,5,0.13,0,0.0,0,0.0,76,1.94,125,3.19,0,0.0,20,0.51,0,0.0,19,0.48,0,0.0,1,0.03,14,0.36,13,0.33,0,0.0,7,0.18,0,0.0,4,0.1,0,0.0,23,0.59,
,Höhenhaus,16,16,10772,7701,71.49,,7598,,103,7630,71,2589,34.07,2409,31.57,3569,46.97,2811,36.84,135,1.78,280,3.67,589,7.75,795,10.42,466,6.13,589,7.72,0,0.0,181,2.37,132,1.74,89,1.17,0,0.0,14,0.18,0,0.0,4,0.05,0,0.0,14,0.18,0,0.0,8,0.1,10,0.13,3,0.04,0,0.0,1,0.01,0,0.0,1,0.01,0,0.0,304,3.98,0,0.0,16,0.21,0,0.0,40,0.52,0,0.0,0,0.0,55,0.72,20,0.26,0,0.0,7,0.09,0,0.0,3,0.04,53,0.7,41,0.54,
