Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;gültig2;ungültig2;CDU;CDU_Proz;Z_CDU;Z_CDU_Proz;SPD;SPD_Proz;Z_SPD;Z_SPD_Proz;FDP;FDP_Proz;Z_FDP;Z_FDP_Proz;GRÜNE;GRÜNE_Proz;Z_GRÜNE;Z_GRÜNE_Proz;DIE LINKE;DIE LINKE_Proz;Z_DIE LINKE;Z_DIE LINKE_Proz;PIRATEN;PIRATEN_Proz;Z_PIRATEN;Z_PIRATEN_Proz;NPD;NPD_Proz;Z_NPD;Z_NPD_Proz;REP;REP_Proz;Z_REP;Z_REP_Proz;Bündnis 21/RRP;Bündnis 21/RRP_Proz;Z_Bündnis 21/RRP;Z_Bündnis 21/RRP_Proz;Volksabstimmung;Volksabstimmung_Proz;Z_Volksabstimmung;Z_Volksabstimmung_Proz;ÖDP;ÖDP_Proz;Z_ÖDP;Z_ÖDP_Proz;MLPD;MLPD_Proz;Z_MLPD;Z_MLPD_Proz;BüSo;BüSo_Proz;Z_BüSo;Z_BüSo_Proz;PSG;PSG_Proz;Z_PSG;Z_PSG_Proz;AfD;AfD_Proz;Z_AfD;Z_AfD_Proz;BIG;BIG_Proz;Z_BIG;Z_BIG_Proz;pro Deutschland;pro Deutschland_Proz;Z_pro Deutschland;Z_pro Deutschland_Proz;DIE RECHTE;DIE RECHTE_Proz;Z_DIE RECHTE;Z_DIE RECHTE_Proz;FREIE WÄHLER;FREIE WÄHLER_Proz;Z_FREIE WÄHLER;Z_FREIE WÄHLER_Proz;Partei der Nichtwähler;Partei der Nichtwähler_Proz;Z_Partei der Nichtwähler;Z_Partei der Nichtwähler_Proz;Partei der Vernunft;Partei der Vernunft_Proz;Z_Partei der Vernunft;Z_Partei der Vernunft_Proz;Die PARTEI;Die PARTEI_Proz;Z_Die PARTEI;Z_Die PARTEI_Proz;
093;Köln I;267;169;144153;67126;46,57;;66388;;738;66477;649;23517;35,42;21222;31,92;25324;38,15;20940;31,50;1430;2,15;3433;5,16;6642;10,00;8087;12,17;4841;7,29;6021;9,06;1726;2,60;1878;2,83;693;1,04;567;0,85;0;0,00;96;0,14;0;0,00;29;0,04;0;0,00;82;0,12;0;0,00;104;0,16;0;0,00;39;0,06;61;0,09;24;0,04;0;0,00;15;0,02;1991;3,00;2887;4,34;0;0,00;153;0,23;0;0,00;189;0,28;0;0,00;11;0,02;163;0,25;139;0,21;0;0,00;84;0,13;0;0,00;51;0,08;0;0,00;426;0,64;
094;Köln II;347;210;173498;86560;49,89;;85906;;654;86036;524;32995;38,41;29139;33,87;29666;34,53;23503;27,32;1946;2,27;6419;7,46;11986;13,95;13517;15,71;5101;5,94;6782;7,88;1748;2,03;1986;2,31;382;0,44;315;0,37;0;0,00;61;0,07;0;0,00;23;0,03;0;0,00;65;0,08;0;0,00;141;0,16;0;0,00;20;0,02;66;0,08;18;0,02;0;0,00;18;0,02;1808;2,10;2975;3,46;0;0,00;86;0,10;0;0,00;123;0,14;0;0,00;6;0,01;208;0,24;178;0,21;0;0,00;122;0,14;0;0,00;49;0,06;0;0,00;490;0,57;
095;Köln III;280;161;142759;68681;48,11;;67828;;853;68022;659;21701;31,99;20090;29,53;27455;40,48;21600;31,75;1149;1,69;2667;3,92;8736;12,88;10453;15,37;5522;8,14;6706;9,86;2019;2,98;1872;2,75;862;1,27;539;0,79;0;0,00;74;0,11;0;0,00;27;0,04;0;0,00;78;0,11;0;0,00;126;0,19;0;0,00;33;0,05;78;0,11;17;0,02;0;0,00;29;0,04;0;0,00;2374;3,49;0;0,00;221;0,32;0;0,00;230;0,34;0;0,00;10;0,01;306;0,45;182;0,27;0;0,00;116;0,17;0;0,00;61;0,09;0;0,00;517;0,76;
101;Leverkusen - Köln IV;264;118;105156;52345;49,78;;51575;;770;51732;613;18793;36,44;16915;32,70;22207;43,06;17434;33,70;984;1,91;2185;4,22;3821;7,41;5223;10,10;3575;6,93;4459;8,62;0;0,00;1469;2,84;979;1,90;608;1,18;0;0,00;76;0,15;0;0,00;26;0,05;0;0,00;72;0,14;0;0,00;69;0,13;168;0,33;79;0,15;0;0,00;9;0,02;0;0,00;8;0,02;0;0,00;2117;4,09;0;0,00;127;0,25;0;0,00;178;0,34;0;0,00;5;0,01;516;1,00;195;0,38;0;0,00;67;0,13;0;0,00;38;0,07;532;1,03;373;0,72;
