date,time_from,time_to,vertical_load
2011-02-01,00:00,00:15,17523
2011-02-01,00:15,00:30,17242
2011-02-01,00:30,00:45,17148
2011-02-01,00:45,01:00,16894
2011-02-01,01:00,01:15,16812
2011-02-01,01:15,01:30,16794
2011-02-01,01:30,01:45,16526
2011-02-01,01:45,02:00,16412
2011-02-01,02:00,02:15,16325
2011-02-01,02:15,02:30,16443
2011-02-01,02:30,02:45,16451
2011-02-01,02:45,03:00,16463
2011-02-01,03:00,03:15,16341
2011-02-01,03:15,03:30,16321
2011-02-01,03:30,03:45,16345
2011-02-01,03:45,04:00,16305
2011-02-01,04:00,04:15,16381
2011-02-01,04:15,04:30,16404
2011-02-01,04:30,04:45,16514
2011-02-01,04:45,05:00,16438
2011-02-01,05:00,05:15,16687
2011-02-01,05:15,05:30,16667
2011-02-01,05:30,05:45,16905
2011-02-01,05:45,06:00,17049
2011-02-01,06:00,06:15,17577
2011-02-01,06:15,06:30,18180
2011-02-01,06:30,06:45,18745
2011-02-01,06:45,07:00,19305
2011-02-01,07:00,07:15,19654
2011-02-01,07:15,07:30,19998
2011-02-01,07:30,07:45,20366
2011-02-01,07:45,08:00,20667
2011-02-01,08:00,08:15,20658
2011-02-01,08:15,08:30,20775
2011-02-01,08:30,08:45,20682
2011-02-01,08:45,09:00,20761
2011-02-01,09:00,09:15,20547
2011-02-01,09:15,09:30,20808
2011-02-01,09:30,09:45,20673
2011-02-01,09:45,10:00,20828
2011-02-01,10:00,10:15,20818
2011-02-01,10:15,10:30,20694
2011-02-01,10:30,10:45,20604
2011-02-01,10:45,11:00,20463
2011-02-01,11:00,11:15,20674
2011-02-01,11:15,11:30,20829
2011-02-01,11:30,11:45,20887
2011-02-01,11:45,12:00,20913
2011-02-01,12:00,12:15,20896
2011-02-01,12:15,12:30,20736
2011-02-01,12:30,12:45,20792
2011-02-01,12:45,13:00,20740
2011-02-01,13:00,13:15,20811
2011-02-01,13:15,13:30,20780
2011-02-01,13:30,13:45,20711
2011-02-01,13:45,14:00,20697
2011-02-01,14:00,14:15,20859
2011-02-01,14:15,14:30,20840
2011-02-01,14:30,14:45,20814
2011-02-01,14:45,15:00,20787
2011-02-01,15:00,15:15,20776
2011-02-01,15:15,15:30,20733
2011-02-01,15:30,15:45,20577
2011-02-01,15:45,16:00,20473
2011-02-01,16:00,16:15,20319
2011-02-01,16:15,16:30,20171
2011-02-01,16:30,16:45,20100
2011-02-01,16:45,17:00,20158
2011-02-01,17:00,17:15,20263
2011-02-01,17:15,17:30,20442
2011-02-01,17:30,17:45,20694
2011-02-01,17:45,18:00,21115
2011-02-01,18:00,18:15,20957
2011-02-01,18:15,18:30,21116
2011-02-01,18:30,18:45,21129
2011-02-01,18:45,19:00,21121
2011-02-01,19:00,19:15,21009
2011-02-01,19:15,19:30,20867
2011-02-01,19:30,19:45,20528
2011-02-01,19:45,20:00,20482
2011-02-01,20:00,20:15,20300
2011-02-01,20:15,20:30,20007
2011-02-01,20:30,20:45,19675
2011-02-01,20:45,21:00,19360
2011-02-01,21:00,21:15,19587
2011-02-01,21:15,21:30,19591
2011-02-01,21:30,21:45,19375
2011-02-01,21:45,22:00,19055
2011-02-01,22:00,22:15,19198
2011-02-01,22:15,22:30,19126
2011-02-01,22:30,22:45,18701
2011-02-01,22:45,23:00,18272
2011-02-01,23:00,23:15,18093
2011-02-01,23:15,23:30,17745
2011-02-01,23:30,23:45,17362
2011-02-01,23:45,00:00,17303
2011-02-02,00:00,00:15,17495
2011-02-02,00:15,00:30,17526
2011-02-02,00:30,00:45,17196
2011-02-02,00:45,01:00,16936
2011-02-02,01:00,01:15,16763
2011-02-02,01:15,01:30,16612
2011-02-02,01:30,01:45,16461
2011-02-02,01:45,02:00,16265
2011-02-02,02:00,02:15,16245
2011-02-02,02:15,02:30,16451
2011-02-02,02:30,02:45,16476
2011-02-02,02:45,03:00,16373
2011-02-02,03:00,03:15,16512
2011-02-02,03:15,03:30,16668
2011-02-02,03:30,03:45,16558
2011-02-02,03:45,04:00,16396
2011-02-02,04:00,04:15,16513
2011-02-02,04:15,04:30,16511
2011-02-02,04:30,04:45,16494
2011-02-02,04:45,05:00,16557
2011-02-02,05:00,05:15,16729
2011-02-02,05:15,05:30,16907
2011-02-02,05:30,05:45,16871
2011-02-02,05:45,06:00,16937
2011-02-02,06:00,06:15,17275
2011-02-02,06:15,06:30,17959
2011-02-02,06:30,06:45,18544
2011-02-02,06:45,07:00,18990
2011-02-02,07:00,07:15,19358
2011-02-02,07:15,07:30,19704
2011-02-02,07:30,07:45,19832
2011-02-02,07:45,08:00,20020
2011-02-02,08:00,08:15,20161
2011-02-02,08:15,08:30,20289
2011-02-02,08:30,08:45,20331
2011-02-02,08:45,09:00,20237
2011-02-02,09:00,09:15,20137
2011-02-02,09:15,09:30,20159
2011-02-02,09:30,09:45,20137
2011-02-02,09:45,10:00,20183
2011-02-02,10:00,10:15,20193
2011-02-02,10:15,10:30,20383
2011-02-02,10:30,10:45,20367
2011-02-02,10:45,11:00,20430
2011-02-02,11:00,11:15,20411
2011-02-02,11:15,11:30,20494
2011-02-02,11:30,11:45,20640
2011-02-02,11:45,12:00,20585
2011-02-02,12:00,12:15,20542
2011-02-02,12:15,12:30,20515
2011-02-02,12:30,12:45,20497
2011-02-02,12:45,13:00,20354
2011-02-02,13:00,13:15,20487
2011-02-02,13:15,13:30,20385
2011-02-02,13:30,13:45,20186
2011-02-02,13:45,14:00,20047
2011-02-02,14:00,14:15,20130
2011-02-02,14:15,14:30,20203
2011-02-02,14:30,14:45,20003
2011-02-02,14:45,15:00,19852
2011-02-02,15:00,15:15,19899
2011-02-02,15:15,15:30,19843
2011-02-02,15:30,15:45,19809
2011-02-02,15:45,16:00,19686
2011-02-02,16:00,16:15,19613
2011-02-02,16:15,16:30,19535
2011-02-02,16:30,16:45,19331
2011-02-02,16:45,17:00,19492
2011-02-02,17:00,17:15,19688
2011-02-02,17:15,17:30,19846
2011-02-02,17:30,17:45,20189
2011-02-02,17:45,18:00,20613
2011-02-02,18:00,18:15,20491
2011-02-02,18:15,18:30,20523
2011-02-02,18:30,18:45,20418
2011-02-02,18:45,19:00,20308
2011-02-02,19:00,19:15,20020
2011-02-02,19:15,19:30,19805
2011-02-02,19:30,19:45,19699
2011-02-02,19:45,20:00,19628
2011-02-02,20:00,20:15,19513
2011-02-02,20:15,20:30,19237
2011-02-02,20:30,20:45,18647
2011-02-02,20:45,21:00,18628
2011-02-02,21:00,21:15,18797
2011-02-02,21:15,21:30,18973
2011-02-02,21:30,21:45,18856
2011-02-02,21:45,22:00,18549
2011-02-02,22:00,22:15,18404
2011-02-02,22:15,22:30,18104
2011-02-02,22:30,22:45,17754
2011-02-02,22:45,23:00,17443
2011-02-02,23:00,23:15,17275
2011-02-02,23:15,23:30,17020
2011-02-02,23:30,23:45,16592
2011-02-02,23:45,00:00,16495
2011-02-03,00:00,00:15,16349
2011-02-03,00:15,00:30,16067
2011-02-03,00:30,00:45,15837
2011-02-03,00:45,01:00,15783
2011-02-03,01:00,01:15,15856
2011-02-03,01:15,01:30,15754
2011-02-03,01:30,01:45,15687
2011-02-03,01:45,02:00,15422
2011-02-03,02:00,02:15,15359
2011-02-03,02:15,02:30,15270
2011-02-03,02:30,02:45,15354
2011-02-03,02:45,03:00,15255
2011-02-03,03:00,03:15,15334
2011-02-03,03:15,03:30,15335
2011-02-03,03:30,03:45,15392
2011-02-03,03:45,04:00,15456
2011-02-03,04:00,04:15,15397
2011-02-03,04:15,04:30,15476
2011-02-03,04:30,04:45,15561
2011-02-03,04:45,05:00,15697
2011-02-03,05:00,05:15,15922
2011-02-03,05:15,05:30,16132
2011-02-03,05:30,05:45,16238
2011-02-03,05:45,06:00,16592
2011-02-03,06:00,06:15,17018
2011-02-03,06:15,06:30,17752
2011-02-03,06:30,06:45,18169
2011-02-03,06:45,07:00,18584
2011-02-03,07:00,07:15,18691
2011-02-03,07:15,07:30,18993
2011-02-03,07:30,07:45,19124
2011-02-03,07:45,08:00,19400
2011-02-03,08:00,08:15,19609
2011-02-03,08:15,08:30,19779
2011-02-03,08:30,08:45,19700
2011-02-03,08:45,09:00,19758
2011-02-03,09:00,09:15,19544
2011-02-03,09:15,09:30,19682
2011-02-03,09:30,09:45,19710
2011-02-03,09:45,10:00,19668
