date,time_from,time_to,vertical_load
2011-06-01,00:00,00:15,13628
2011-06-01,00:15,00:30,13595
2011-06-01,00:30,00:45,13436
2011-06-01,00:45,01:00,13279
2011-06-01,01:00,01:15,13116
2011-06-01,01:15,01:30,12967
2011-06-01,01:30,01:45,12854
2011-06-01,01:45,02:00,12905
2011-06-01,02:00,02:15,12720
2011-06-01,02:15,02:30,12713
2011-06-01,02:30,02:45,12680
2011-06-01,02:45,03:00,12773
2011-06-01,03:00,03:15,12732
2011-06-01,03:15,03:30,12829
2011-06-01,03:30,03:45,12706
2011-06-01,03:45,04:00,12753
2011-06-01,04:00,04:15,12940
2011-06-01,04:15,04:30,13100
2011-06-01,04:30,04:45,13124
2011-06-01,04:45,05:00,13099
2011-06-01,05:00,05:15,13386
2011-06-01,05:15,05:30,13471
2011-06-01,05:30,05:45,13791
2011-06-01,05:45,06:00,14028
2011-06-01,06:00,06:15,14724
2011-06-01,06:15,06:30,15391
2011-06-01,06:30,06:45,15793
2011-06-01,06:45,07:00,16140
2011-06-01,07:00,07:15,16616
2011-06-01,07:15,07:30,16825
2011-06-01,07:30,07:45,17008
2011-06-01,07:45,08:00,17134
2011-06-01,08:00,08:15,17412
2011-06-01,08:15,08:30,17473
2011-06-01,08:30,08:45,17454
2011-06-01,08:45,09:00,17395
2011-06-01,09:00,09:15,17107
2011-06-01,09:15,09:30,17106
2011-06-01,09:30,09:45,17184
2011-06-01,09:45,10:00,17128
2011-06-01,10:00,10:15,16957
2011-06-01,10:15,10:30,16907
2011-06-01,10:30,10:45,16919
2011-06-01,10:45,11:00,16992
2011-06-01,11:00,11:15,16909
2011-06-01,11:15,11:30,16919
2011-06-01,11:30,11:45,16911
2011-06-01,11:45,12:00,16947
2011-06-01,12:00,12:15,16804
2011-06-01,12:15,12:30,16676
2011-06-01,12:30,12:45,16710
2011-06-01,12:45,13:00,16693
2011-06-01,13:00,13:15,16754
2011-06-01,13:15,13:30,16681
2011-06-01,13:30,13:45,16483
2011-06-01,13:45,14:00,16181
2011-06-01,14:00,14:15,16127
2011-06-01,14:15,14:30,16094
2011-06-01,14:30,14:45,15833
