timestamp,hum_count,hum_min,hum_max,hum_mean,press_count,press_min,press_max,press_mean,temp_count,temp_min,temp_max,temp_mean,windspeed_count,windspeed_min,windspeed_max,windspeed_mean,winddir
1383260400,2,93,93,93,2,1007,1008,1007.5,2,281.15,281.15,281.15,2,2.6,3.6,3.1,120
1383264000,2,81,81,81,2,1019,1019,1019,2,282.15,282.15,282.15,2,3.1,3.6,3.35,155
1383267600,2,81,87,84,2,1019,1019,1019,2,282.15,282.15,282.15,2,3.1,3.6,3.35,155
1383271200,2,87,87,87,2,1018,1019,1018.5,2,282.15,282.15,282.15,2,3.6,3.6,3.6,145
1383274800,2,87,87,87,2,1018,1018,1018,2,282.15,282.15,282.15,2,3.6,3.6,3.6,150
1383278400,2,76,76,76,2,1018,1018,1018,2,283.15,283.15,283.15,2,3.1,3.1,3.1,130
1383282000,2,87,87,87,2,1017,1017,1017,2,282.15,282.15,282.15,2,3.1,4.6,3.85,145
1383285600,2,87,87,87,2,1017,1018,1017.5,2,282.15,282.15,282.15,2,3.6,3.6,3.6,150
1383289200,2,87,87,87,2,1017,1018,1017.5,2,282.15,282.15,282.15,2,3.1,4.6,3.85,150
1383292800,2,87,93,90,2,1018,1018,1018,2,282.15,282.15,282.15,2,4.1,4.1,4.1,150
1383296400,2,87,93,90,2,1018,1018,1018,2,282.15,283.15,282.65,2,4.1,4.1,4.1,150
1383300000,2,93,93,93,2,1017,1017,1017,2,282.15,282.15,282.15,2,3.6,3.6,3.6,130
1383303600,2,93,100,96.5,2,1016,1017,1016.5,2,282.15,283.15,282.65,2,3.1,3.6,3.35,130
1383307200,2,93,93,93,2,1016,1016,1016,2,283.15,283.15,283.15,2,4.1,4.1,4.1,140
1383310800,2,93,93,93,2,1015,1015,1015,2,283.15,283.15,283.15,2,3.6,3.6,3.6,130
1383314400,2,100,100,100,2,1014,1015,1014.5,2,283.15,283.15,283.15,2,4.1,5.1,4.6,150
1383318000,2,93,93,93,2,1014,1014,1014,2,283.15,283.15,283.15,2,3.6,4.1,3.85,140
1383321600,2,93,100,96.5,2,1013,1013,1013,2,282.15,283.15,282.65,2,2.6,3.1,2.85,135
1383325200,2,93,100,96.5,2,1013,1013,1013,2,282.15,282.15,282.15,2,2.6,3.1,2.85,125
1383328800,2,93,93,93,2,1012,1012,1012,2,282.15,282.15,282.15,2,3.6,4.1,3.85,135
1383332400,2,100,100,100,2,1012,1012,1012,2,281.15,281.15,281.15,2,4.1,4.1,4.1,130
1383336000,2,93,93,93,2,1011,1011,1011,2,281.15,281.15,281.15,2,3.1,3.6,3.35,130
1383339600,2,93,93,93,2,1009,1010,1009.5,2,281.15,281.15,281.15,2,3.6,3.6,3.6,125
1383343200,2,93,93,93,2,1008,1009,1008.5,2,281.15,281.15,281.15,2,3.1,3.1,3.1,115
1383346800,2,82,82,82,2,1000,1000,1000,2,286.15,286.15,286.15,2,5.1,5.1,5.1,165
1383350400,2,93,93,93,2,1006,1006,1006,2,281.15,281.15,281.15,2,3.6,3.6,3.6,125
1383354000,2,100,100,100,2,1004,1005,1004.5,2,281.15,281.15,281.15,2,4.1,4.1,4.1,130
1383357600,2,93,93,93,2,1003,1003,1003,2,282.15,282.15,282.15,2,5.7,5.7,5.7,130
1383361200,2,93,93,93,2,1002,1002,1002,2,282.15,282.15,282.15,2,4.1,4.6,4.35,140
1383364800,2,93,100,96.5,2,1001,1001,1001,2,282.15,283.15,282.65,2,3.6,5.1,4.35,140
1383368400,2,93,93,93,2,1001,1001,1001,2,283.15,283.15,283.15,2,3.6,4.1,3.85,160
1383372000,2,93,93,93,2,1001,1001,1001,2,283.15,283.15,283.15,2,3.1,4.1,3.6,150
1383375600,2,93,100,96.5,2,1001,1001,1001,2,283.15,284.15,283.65,2,2.6,2.6,2.6,150
1383379200,2,93,93,93,2,1001,1001,1001,2,284.15,284.15,284.15,2,2.6,2.6,2.6,130
1383382800,2,93,93,93,2,1002,1002,1002,2,285.15,285.15,285.15,2,2.6,2.6,2.6,135
1383386400,2,93,93,93,2,1002,1002,1002,2,286.15,286.15,286.15,2,2.6,2.6,2.6,160
1383390000,2,87,87,87,2,1002,1002,1002,2,287.15,287.15,287.15,2,1.5,2.6,2.05,175
