timestamp,hum_count,hum_min,hum_max,hum_mean,press_count,press_min,press_max,press_mean,temp_count,temp_min,temp_max,temp_mean,windspeed_count,windspeed_min,windspeed_max,windspeed_mean,winddir
1343772000,2,57,60,58.5,2,1008,1009,1008.5,2,296.15,297.15,296.65,2,3.1,3.6,3.35,110
1343775600,2,60,60,60,2,1008,1008,1008,2,296.15,296.15,296.15,2,3.6,4.1,3.85,115
1343779200,2,87,93,90,2,1017,1017,1017,2,286.15,287.15,286.65,2,2.1,2.1,2.1,60
1343782800,2,87,93,90,2,1017,1017,1017,2,285.15,286.15,285.65,2,1,1.5,1.25,95
1343786400,2,87,93,90,2,1017,1017,1017,2,285.15,286.15,285.65,2,1,1.5,1.25,35
1343790000,1,93,93,93,1,1017,1017,1017,1,285.15,285.15,285.15,1,1,1,1,
1343793600,1,87,87,87,1,1016,1016,1016,1,286.15,286.15,286.15,1,1,1,1,
1343797200,2,82,82,82,2,1016,1016,1016,2,288.15,289.15,288.65,2,1.5,2.1,1.8,115
1343800800,1,77,77,77,1,1016,1016,1016,1,290.15,290.15,290.15,1,2.1,2.1,2.1,
1343804400,2,68,68,68,2,1016,1016,1016,2,293.15,294.15,293.65,2,3.6,5.1,4.35,125
1343808000,2,56,64,60,2,1015,1015,1015,2,295.15,296.15,295.65,2,4.6,5.1,4.85,135
1343811600,2,53,60,56.5,2,1015,1015,1015,2,297.15,298.15,297.65,2,5.1,5.7,5.4,145
1343815200,2,50,53,51.5,2,1014,1014,1014,2,298.15,299.15,298.65,2,4.6,5.1,4.85,155
1343818800,2,50,51,50.5,2,1013,1014,1013.5,2,299.15,300.15,299.65,2,3.6,4.6,4.1,120
1343822400,2,47,47,47,2,1012,1013,1012.5,2,300.15,300.15,300.15,2,4.6,5.1,4.85,130
1343826000,2,39,44,41.5,2,1011,1012,1011.5,2,300.15,301.15,300.65,2,6.2,6.2,6.2,135
1343829600,2,39,39,39,2,1011,1011,1011,2,301.15,301.15,301.15,2,6.2,7.2,6.7,145
1343833200,2,39,42,40.5,2,1010,1010,1010,2,301.15,301.15,301.15,2,6.2,6.7,6.45,130
1343836800,2,42,42,42,2,1010,1010,1010,2,301.15,302.15,301.65,2,6.2,6.2,6.2,140
1343840400,2,47,51,49,2,1009,1009,1009,2,300.15,300.15,300.15,2,3.1,3.1,3.1,120
1343844000,2,50,50,50,2,1009,1009,1009,2,299.15,299.15,299.15,2,2.6,3.6,3.1,105
1343847600,2,53,53,53,2,1009,1009,1009,2,298.15,298.15,298.15,2,2.6,3.1,2.85,110
