timestamp,hum_count,hum_min,hum_max,hum_mean,press_count,press_min,press_max,press_mean,temp_count,temp_min,temp_max,temp_mean,windspeed_count,windspeed_min,windspeed_max,windspeed_mean,winddir
1341093600,3,87.4,93.4,89.4,3,1021,1021,1021,3,282.15,283.15,282.82,3,2.1,2.6,2.27,113
1341097200,1,93.5,93.5,93.5,1,1021,1021,1021,1,283.15,283.15,283.15,1,2.6,2.6,2.6,
1341100800,3,87.7,87.8,87.77,3,1014,1014,1014,3,287.15,288.15,287.82,3,2.1,3.6,2.6,247
1341104400,1,87.8,87.8,87.8,1,1014,1014,1014,1,288.15,288.15,288.15,1,3.1,3.1,3.1,
1341108000,3,87.8,87.9,87.83,3,1014,1014,1014,3,288.15,289.15,288.48,3,2.1,2.6,2.43,287
1341111600,2,82.4,82.4,82.4,2,1015,1015,1015,2,289.15,289.15,289.15,2,3.1,3.1,3.1,275
1341115200,1,72.4,72.4,72.4,1,1015,1015,1015,1,290.15,290.15,290.15,1,1.5,1.5,1.5,
1341118800,3,63.6,63.6,63.6,3,1016,1016,1016,3,291.15,291.15,291.15,3,3.1,3.6,3.27,283
1341122400,1,63.6,63.6,63.6,1,1016,1016,1016,1,291.15,291.15,291.15,1,3.1,3.1,3.1,
1341126000,3,63.6,68,66.53,3,1016,1016,1016,3,291.15,291.15,291.15,3,1.5,1.5,1.5,273
1341129600,2,63.6,63.8,63.7,2,1016,1016,1016,2,291.15,292.15,291.65,2,1.5,2.6,2.05,305
1341133200,2,68,72.6,70.3,2,1016,1017,1016.5,2,291.15,291.15,291.15,2,2.1,2.6,2.35,245
1341136800,1,77.3,77.3,77.3,1,1017,1017,1017,1,290.15,290.15,290.15,1,2.6,2.6,2.6,
1341140400,2,72.6,72.6,72.6,2,1017,1017,1017,2,291.15,291.15,291.15,2,1.5,1.5,1.5,100
1341144000,2,60.2,60.2,60.2,2,1017,1017,1017,2,294.15,294.15,294.15,2,1,1,1,0
1341147600,2,56.1,56.4,56.25,2,1017,1017,1017,2,293.15,294.15,293.65,2,3.1,4.1,3.6,235
1341151200,2,43.4,52.5,47.95,2,1017,1018,1017.5,2,293.15,295.15,294.15,2,5.7,9.3,7.5,285
1341154800,2,45.9,52.2,49.05,2,1018,1018,1018,2,292.15,293.15,292.65,2,6.7,6.7,6.7,290
1341158400,2,48.8,52.2,50.5,2,1019,1019,1019,2,292.15,292.15,292.15,2,6.2,6.7,6.45,295
1341162000,2,52,52,52,2,1019,1019,1019,2,291.15,291.15,291.15,2,4.6,4.6,4.6,280
1341165600,2,59,67.3,63.15,2,1020,1020,1020,2,288.15,289.15,288.65,2,1.5,3.6,2.55,325
1341169200,3,76.7,93.7,82.37,3,1015,1021,1019,3,286.15,287.15,286.48,3,1,4.6,2.2,355
1341172800,4,76.5,93.6,82.08,4,1015,1020,1018.75,4,284.15,286.15,285.15,4,1,5.7,2.3,120
1341176400,1,81.7,81.7,81.7,1,1020,1020,1020,1,284.15,284.15,284.15,1,1.5,1.5,1.5,
1341180000,1,93.5,93.5,93.5,1,1018,1018,1018,1,284.15,284.15,284.15,1,1,1,1,
1341183600,3,93.5,100,97.83,3,1018,1018,1018,3,284.15,285.15,284.82,3,1,2.1,1.73,67
1341187200,3,93.4,93.4,93.4,3,1021,1021,1021,3,282.15,282.15,282.15,3,2.6,3.1,2.77,98
1341190800,2,93.4,100,96.7,2,1021,1021,1021,2,281.15,282.15,281.65,2,1,1,1,55
1341194400,2,93.5,100,96.75,2,1021,1021,1021,2,281.15,283.15,282.15,2,1.5,2.1,1.8,25
1341198000,1,87.6,87.6,87.6,1,1021,1021,1021,1,285.15,285.15,285.15,1,1.5,1.5,1.5,
1341201600,2,76.8,76.8,76.8,2,1021,1021,1021,2,287.15,287.15,287.15,2,1.5,1.5,1.5,110
1341205200,2,77,77,77,2,1020,1020,1020,2,288.15,288.15,288.15,2,1.5,1.5,1.5,40
1341208800,2,67.7,72.2,69.95,2,1020,1021,1020.5,2,289.15,290.15,289.65,2,1.5,1.5,1.5,205
1341212400,2,63.6,63.6,63.6,2,1020,1020,1020,2,291.15,291.15,291.15,2,1,1,1,0
1341216000,2,55.9,55.9,55.9,2,1020,1020,1020,2,292.15,292.15,292.15,2,2.1,2.1,2.1,150
1341219600,2,63.6,63.6,63.6,2,1019,1019,1019,2,291.15,291.15,291.15,2,1,1,1,90
1341223200,3,59.7,63.6,62.3,3,1019,1019,1019,3,291.15,292.15,291.48,3,1,2.1,1.73,56
1341226800,2,59.5,63.6,61.55,2,1019,1019,1019,2,291.15,291.15,291.15,2,2.1,2.1,2.1,65
1341230400,1,63.6,63.6,63.6,1,1019,1019,1019,1,291.15,291.15,291.15,1,2.1,2.1,2.1,
1341234000,3,63.8,68,65.2,3,1018,1018,1018,3,291.15,292.15,291.82,3,2.6,2.6,2.6,120
1341237600,1,63.8,63.8,63.8,1,1018,1018,1018,1,292.15,292.15,292.15,1,2.1,2.1,2.1,
1341241200,2,68,68,68,2,1018,1018,1018,2,291.15,291.15,291.15,2,2.1,2.1,2.1,140
1341244800,2,68,72.6,70.3,2,1018,1018,1018,2,291.15,291.15,291.15,2,1.5,2.1,1.8,115
1341248400,2,77.3,77.3,77.3,2,1018,1018,1018,2,290.15,290.15,290.15,2,2.1,2.1,2.1,140
1341252000,2,87.8,93.6,90.7,2,1019,1019,1019,2,286.15,288.15,287.15,2,1,1,1,125
1341255600,2,93.7,93.7,93.7,2,1019,1019,1019,2,287.15,287.15,287.15,2,1.5,1.5,1.5,80
1341259200,3,93.6,93.7,93.67,3,1019,1019,1019,3,285.15,287.15,286.48,3,1,2.1,1.37,81
