date,time_from,time_to,demand
2007-08-01,00:00,00:15,18399
2007-08-01,00:15,00:30,18030
2007-08-01,00:30,00:45,17883
2007-08-01,00:45,01:00,17640
2007-08-01,01:00,01:15,17506
2007-08-01,01:15,01:30,17386
2007-08-01,01:30,01:45,17329
2007-08-01,01:45,02:00,17223
2007-08-01,02:00,02:15,17015
2007-08-01,02:15,02:30,16996
2007-08-01,02:30,02:45,16912
2007-08-01,02:45,03:00,16812
2007-08-01,03:00,03:15,16786
2007-08-01,03:15,03:30,16796
2007-08-01,03:30,03:45,16799
2007-08-01,03:45,04:00,16823
2007-08-01,04:00,04:15,16797
2007-08-01,04:15,04:30,16924
2007-08-01,04:30,04:45,17019
2007-08-01,04:45,05:00,17317
2007-08-01,05:00,05:15,17660
2007-08-01,05:15,05:30,17825
2007-08-01,05:30,05:45,17982
2007-08-01,05:45,06:00,18279
2007-08-01,06:00,06:15,19212
2007-08-01,06:15,06:30,19906
2007-08-01,06:30,06:45,20469
2007-08-01,06:45,07:00,20891
2007-08-01,07:00,07:15,21550
2007-08-01,07:15,07:30,22077
2007-08-01,07:30,07:45,22520
2007-08-01,07:45,08:00,22831
2007-08-01,08:00,08:15,23371
2007-08-01,08:15,08:30,23492
2007-08-01,08:30,08:45,23613
2007-08-01,08:45,09:00,23571
2007-08-01,09:00,09:15,23373
2007-08-01,09:15,09:30,23483
2007-08-01,09:30,09:45,23561
2007-08-01,09:45,10:00,23627
2007-08-01,10:00,10:15,23830
2007-08-01,10:15,10:30,23990
2007-08-01,10:30,10:45,24168
2007-08-01,10:45,11:00,24201
2007-08-01,11:00,11:15,24428
2007-08-01,11:15,11:30,24561
2007-08-01,11:30,11:45,24656
2007-08-01,11:45,12:00,25084
2007-08-01,12:00,12:15,24844
2007-08-01,12:15,12:30,24787
2007-08-01,12:30,12:45,24757
2007-08-01,12:45,13:00,24639
2007-08-01,13:00,13:15,24588
2007-08-01,13:15,13:30,24459
2007-08-01,13:30,13:45,24157
2007-08-01,13:45,14:00,24047
2007-08-01,14:00,14:15,24070
2007-08-01,14:15,14:30,24065
2007-08-01,14:30,14:45,23856
2007-08-01,14:45,15:00,23792
2007-08-01,15:00,15:15,23652
2007-08-01,15:15,15:30,23425
2007-08-01,15:30,15:45,23340
2007-08-01,15:45,16:00,23314
2007-08-01,16:00,16:15,23318
2007-08-01,16:15,16:30,23064
2007-08-01,16:30,16:45,22871
2007-08-01,16:45,17:00,22834
2007-08-01,17:00,17:15,22852
2007-08-01,17:15,17:30,22893
2007-08-01,17:30,17:45,22876
2007-08-01,17:45,18:00,22954
2007-08-01,18:00,18:15,22741
2007-08-01,18:15,18:30,22665
2007-08-01,18:30,18:45,22739
2007-08-01,18:45,19:00,22807
2007-08-01,19:00,19:15,22885
2007-08-01,19:15,19:30,22642
2007-08-01,19:30,19:45,22610
2007-08-01,19:45,20:00,22507
2007-08-01,20:00,20:15,22280
2007-08-01,20:15,20:30,22058
2007-08-01,20:30,20:45,21886
2007-08-01,20:45,21:00,21742
2007-08-01,21:00,21:15,21648
2007-08-01,21:15,21:30,21706
2007-08-01,21:30,21:45,21811
2007-08-01,21:45,22:00,21879
2007-08-01,22:00,22:15,21770
2007-08-01,22:15,22:30,21503
2007-08-01,22:30,22:45,21185
2007-08-01,22:45,23:00,20736
2007-08-01,23:00,23:15,20187
2007-08-01,23:15,23:30,19759
2007-08-01,23:30,23:45,19349
2007-08-01,23:45,00:00,19031
2007-08-02,00:00,00:15,18393
2007-08-02,00:15,00:30,18158
2007-08-02,00:30,00:45,17871
2007-08-02,00:45,01:00,17620
2007-08-02,01:00,01:15,17500
2007-08-02,01:15,01:30,17596
2007-08-02,01:30,01:45,17387
2007-08-02,01:45,02:00,17338
2007-08-02,02:00,02:15,17161
2007-08-02,02:15,02:30,17107
2007-08-02,02:30,02:45,16998
2007-08-02,02:45,03:00,16943
2007-08-02,03:00,03:15,16963
2007-08-02,03:15,03:30,16995
2007-08-02,03:30,03:45,17035
2007-08-02,03:45,04:00,17083
2007-08-02,04:00,04:15,17087
2007-08-02,04:15,04:30,17157
2007-08-02,04:30,04:45,17329
2007-08-02,04:45,05:00,17571
2007-08-02,05:00,05:15,17892
2007-08-02,05:15,05:30,18132
2007-08-02,05:30,05:45,18355
2007-08-02,05:45,06:00,18502
2007-08-02,06:00,06:15,19401
2007-08-02,06:15,06:30,20246
2007-08-02,06:30,06:45,20815
2007-08-02,06:45,07:00,21294
2007-08-02,07:00,07:15,21946
2007-08-02,07:15,07:30,22511
2007-08-02,07:30,07:45,22972
2007-08-02,07:45,08:00,23307
2007-08-02,08:00,08:15,23738
2007-08-02,08:15,08:30,23970
2007-08-02,08:30,08:45,24211
2007-08-02,08:45,09:00,24266
2007-08-02,09:00,09:15,24121
2007-08-02,09:15,09:30,24345
2007-08-02,09:30,09:45,24580
2007-08-02,09:45,10:00,24624
2007-08-02,10:00,10:15,24726
2007-08-02,10:15,10:30,24883
2007-08-02,10:30,10:45,25122
2007-08-02,10:45,11:00,25276
2007-08-02,11:00,11:15,25535
2007-08-02,11:15,11:30,25767
2007-08-02,11:30,11:45,26135
2007-08-02,11:45,12:00,25732
2007-08-02,12:00,12:15,25621
2007-08-02,12:15,12:30,25418
2007-08-02,12:30,12:45,25541
2007-08-02,12:45,13:00,25359
2007-08-02,13:00,13:15,25525
2007-08-02,13:15,13:30,25505
2007-08-02,13:30,13:45,25291
2007-08-02,13:45,14:00,24973
2007-08-02,14:00,14:15,24825
2007-08-02,14:15,14:30,24694
2007-08-02,14:30,14:45,24651
2007-08-02,14:45,15:00,24480
2007-08-02,15:00,15:15,24488
2007-08-02,15:15,15:30,24335
2007-08-02,15:30,15:45,24141
2007-08-02,15:45,16:00,23986
2007-08-02,16:00,16:15,23951
2007-08-02,16:15,16:30,23709
2007-08-02,16:30,16:45,23566
2007-08-02,16:45,17:00,23433
2007-08-02,17:00,17:15,23366
2007-08-02,17:15,17:30,23372
2007-08-02,17:30,17:45,23302
2007-08-02,17:45,18:00,23248
2007-08-02,18:00,18:15,22975
2007-08-02,18:15,18:30,22979
2007-08-02,18:30,18:45,23017
2007-08-02,18:45,19:00,22952
2007-08-02,19:00,19:15,22885
2007-08-02,19:15,19:30,22628
2007-08-02,19:30,19:45,22528
2007-08-02,19:45,20:00,22412
2007-08-02,20:00,20:15,22190
2007-08-02,20:15,20:30,22002
2007-08-02,20:30,20:45,21827
2007-08-02,20:45,21:00,21695
2007-08-02,21:00,21:15,21609
2007-08-02,21:15,21:30,21553
2007-08-02,21:30,21:45,21511
2007-08-02,21:45,22:00,21459
2007-08-02,22:00,22:15,21295
2007-08-02,22:15,22:30,21035
2007-08-02,22:30,22:45,20598
2007-08-02,22:45,23:00,20192
2007-08-02,23:00,23:15,19552
2007-08-02,23:15,23:30,19096
2007-08-02,23:30,23:45,18716
2007-08-02,23:45,00:00,18368
2007-08-03,00:00,00:15,18702
2007-08-03,00:15,00:30,18507
2007-08-03,00:30,00:45,18245
2007-08-03,00:45,01:00,18044
2007-08-03,01:00,01:15,17997
2007-08-03,01:15,01:30,17886
2007-08-03,01:30,01:45,17768
2007-08-03,01:45,02:00,17655
2007-08-03,02:00,02:15,17557
