date,time_from,time_to,vertical_load
2013-03-01,00:00,00:15,14760
2013-03-01,00:15,00:30,14436
2013-03-01,00:30,00:45,14359
2013-03-01,00:45,01:00,14276
2013-03-01,01:00,01:15,14158
2013-03-01,01:15,01:30,14043
2013-03-01,01:30,01:45,13967
2013-03-01,01:45,02:00,13975
2013-03-01,02:00,02:15,13896
2013-03-01,02:15,02:30,13908
2013-03-01,02:30,02:45,13933
2013-03-01,02:45,03:00,13961
2013-03-01,03:00,03:15,13954
2013-03-01,03:15,03:30,14016
2013-03-01,03:30,03:45,14002
2013-03-01,03:45,04:00,14156
2013-03-01,04:00,04:15,14005
2013-03-01,04:15,04:30,14066
2013-03-01,04:30,04:45,14268
2013-03-01,04:45,05:00,14310
2013-03-01,05:00,05:15,14388
2013-03-01,05:15,05:30,14666
2013-03-01,05:30,05:45,14623
2013-03-01,05:45,06:00,14991
2013-03-01,06:00,06:15,15770
2013-03-01,06:15,06:30,16636
2013-03-01,06:30,06:45,17329
2013-03-01,06:45,07:00,17839
2013-03-01,07:00,07:15,18055
2013-03-01,07:15,07:30,18074
2013-03-01,07:30,07:45,18129
2013-03-01,07:45,08:00,18344
2013-03-01,08:00,08:15,18724
2013-03-01,08:15,08:30,18696
2013-03-01,08:30,08:45,18748
2013-03-01,08:45,09:00,18846
2013-03-01,09:00,09:15,18706
2013-03-01,09:15,09:30,18648
2013-03-01,09:30,09:45,18692
2013-03-01,09:45,10:00,18712
2013-03-01,10:00,10:15,18618
2013-03-01,10:15,10:30,18707
2013-03-01,10:30,10:45,18640
2013-03-01,10:45,11:00,18759
2013-03-01,11:00,11:15,18847
2013-03-01,11:15,11:30,18808
2013-03-01,11:30,11:45,18865
2013-03-01,11:45,12:00,18844
2013-03-01,12:00,12:15,18827
2013-03-01,12:15,12:30,18741
2013-03-01,12:30,12:45,18852
2013-03-01,12:45,13:00,18845
2013-03-01,13:00,13:15,19017
2013-03-01,13:15,13:30,18986
2013-03-01,13:30,13:45,18906
2013-03-01,13:45,14:00,18579
2013-03-01,14:00,14:15,18568
2013-03-01,14:15,14:30,18557
2013-03-01,14:30,14:45,18665
2013-03-01,14:45,15:00,18488
2013-03-01,15:00,15:15,18529
2013-03-01,15:15,15:30,18353
2013-03-01,15:30,15:45,18392
2013-03-01,15:45,16:00,18289
2013-03-01,16:00,16:15,18237
2013-03-01,16:15,16:30,17834
2013-03-01,16:30,16:45,17713
2013-03-01,16:45,17:00,17793
2013-03-01,17:00,17:15,17843
2013-03-01,17:15,17:30,17635
2013-03-01,17:30,17:45,17598
2013-03-01,17:45,18:00,17701
2013-03-01,18:00,18:15,17989
2013-03-01,18:15,18:30,18269
2013-03-01,18:30,18:45,18464
2013-03-01,18:45,19:00,18539
2013-03-01,19:00,19:15,18464
2013-03-01,19:15,19:30,18274
2013-03-01,19:30,19:45,18054
2013-03-01,19:45,20:00,17861
2013-03-01,20:00,20:15,17553
2013-03-01,20:15,20:30,17322
2013-03-01,20:30,20:45,16977
2013-03-01,20:45,21:00,16838
2013-03-01,21:00,21:15,16977
2013-03-01,21:15,21:30,16996
2013-03-01,21:30,21:45,16741
2013-03-01,21:45,22:00,16589
2013-03-01,22:00,22:15,16450
2013-03-01,22:15,22:30,16307
2013-03-01,22:30,22:45,15952
2013-03-01,22:45,23:00,15702
2013-03-01,23:00,23:15,15544
2013-03-01,23:15,23:30,15155
2013-03-01,23:30,23:45,14854
2013-03-01,23:45,00:00,14343
2013-03-02,00:00,00:15,14328
2013-03-02,00:15,00:30,14095
2013-03-02,00:30,00:45,13819
2013-03-02,00:45,01:00,13656
2013-03-02,01:00,01:15,13546
2013-03-02,01:15,01:30,13573
2013-03-02,01:30,01:45,13380
2013-03-02,01:45,02:00,13287
2013-03-02,02:00,02:15,13347
2013-03-02,02:15,02:30,13261
2013-03-02,02:30,02:45,13226
2013-03-02,02:45,03:00,13219
2013-03-02,03:00,03:15,13285
2013-03-02,03:15,03:30,13296
2013-03-02,03:30,03:45,13298
2013-03-02,03:45,04:00,13282
2013-03-02,04:00,04:15,13330
2013-03-02,04:15,04:30,13208
2013-03-02,04:30,04:45,13354
2013-03-02,04:45,05:00,13423
2013-03-02,05:00,05:15,13464
2013-03-02,05:15,05:30,13454
2013-03-02,05:30,05:45,13375
2013-03-02,05:45,06:00,13281
2013-03-02,06:00,06:15,13243
2013-03-02,06:15,06:30,13457
2013-03-02,06:30,06:45,13680
2013-03-02,06:45,07:00,13807
2013-03-02,07:00,07:15,13668
2013-03-02,07:15,07:30,13746
2013-03-02,07:30,07:45,13854
2013-03-02,07:45,08:00,14031
2013-03-02,08:00,08:15,14348
2013-03-02,08:15,08:30,14584
2013-03-02,08:30,08:45,14774
2013-03-02,08:45,09:00,14958
2013-03-02,09:00,09:15,15029
2013-03-02,09:15,09:30,15170
2013-03-02,09:30,09:45,15390
2013-03-02,09:45,10:00,15549
2013-03-02,10:00,10:15,15650
2013-03-02,10:15,10:30,15527
2013-03-02,10:30,10:45,15629
2013-03-02,10:45,11:00,15403
2013-03-02,11:00,11:15,15267
2013-03-02,11:15,11:30,15404
2013-03-02,11:30,11:45,15364
2013-03-02,11:45,12:00,15216
2013-03-02,12:00,12:15,15128
2013-03-02,12:15,12:30,15091
2013-03-02,12:30,12:45,14899
2013-03-02,12:45,13:00,14609
2013-03-02,13:00,13:15,14615
2013-03-02,13:15,13:30,14453
2013-03-02,13:30,13:45,14323
2013-03-02,13:45,14:00,14045
2013-03-02,14:00,14:15,14189
2013-03-02,14:15,14:30,14081
2013-03-02,14:30,14:45,14149
2013-03-02,14:45,15:00,14163
2013-03-02,15:00,15:15,14367
2013-03-02,15:15,15:30,14324
2013-03-02,15:30,15:45,14278
2013-03-02,15:45,16:00,14244
2013-03-02,16:00,16:15,14447
2013-03-02,16:15,16:30,14558
2013-03-02,16:30,16:45,14596
2013-03-02,16:45,17:00,14561
2013-03-02,17:00,17:15,14678
2013-03-02,17:15,17:30,14970
2013-03-02,17:30,17:45,15406
2013-03-02,17:45,18:00,15566
2013-03-02,18:00,18:15,15662
2013-03-02,18:15,18:30,15987
2013-03-02,18:30,18:45,16657
2013-03-02,18:45,19:00,16860
2013-03-02,19:00,19:15,16842
2013-03-02,19:15,19:30,16606
2013-03-02,19:30,19:45,16423
2013-03-02,19:45,20:00,16247
2013-03-02,20:00,20:15,16223
2013-03-02,20:15,20:30,15945
2013-03-02,20:30,20:45,15693
2013-03-02,20:45,21:00,15443
2013-03-02,21:00,21:15,15721
2013-03-02,21:15,21:30,15424
2013-03-02,21:30,21:45,15410
2013-03-02,21:45,22:00,15347
2013-03-02,22:00,22:15,15490
2013-03-02,22:15,22:30,15362
2013-03-02,22:30,22:45,15023
2013-03-02,22:45,23:00,14651
2013-03-02,23:00,23:15,14731
2013-03-02,23:15,23:30,14571
2013-03-02,23:30,23:45,14294
2013-03-02,23:45,00:00,14058
2013-03-03,00:00,00:15,13746
2013-03-03,00:15,00:30,13370
2013-03-03,00:30,00:45,13321
2013-03-03,00:45,01:00,13192
2013-03-03,01:00,01:15,13079
2013-03-03,01:15,01:30,13023
2013-03-03,01:30,01:45,12923
2013-03-03,01:45,02:00,12807
2013-03-03,02:00,02:15,12747
2013-03-03,02:15,02:30,12529
2013-03-03,02:30,02:45,12517
2013-03-03,02:45,03:00,12490
2013-03-03,03:00,03:15,12488
2013-03-03,03:15,03:30,12402
2013-03-03,03:30,03:45,12488
2013-03-03,03:45,04:00,12471
2013-03-03,04:00,04:15,12314
2013-03-03,04:15,04:30,12210
2013-03-03,04:30,04:45,12333
2013-03-03,04:45,05:00,12250
2013-03-03,05:00,05:15,12139
2013-03-03,05:15,05:30,11880
2013-03-03,05:30,05:45,11755
2013-03-03,05:45,06:00,11694
