date,time_from,time_to,forecast,actual_feedin
2017-07-01,00:00,00:15,0,0
2017-07-01,00:15,00:30,0,0
2017-07-01,00:30,00:45,0,0
2017-07-01,00:45,01:00,0,0
2017-07-01,01:00,01:15,0,0
2017-07-01,01:15,01:30,0,0
2017-07-01,01:30,01:45,0,0
2017-07-01,01:45,02:00,0,0
2017-07-01,02:00,02:15,0,0
2017-07-01,02:15,02:30,0,0
2017-07-01,02:30,02:45,0,0
2017-07-01,02:45,03:00,0,0
2017-07-01,03:00,03:15,0,0
2017-07-01,03:15,03:30,0,0
2017-07-01,03:30,03:45,0,0
2017-07-01,03:45,04:00,0,0
2017-07-01,04:00,04:15,0,0
2017-07-01,04:15,04:30,0,0
2017-07-01,04:30,04:45,0,0
2017-07-01,04:45,05:00,0,0
2017-07-01,05:00,05:15,0,0
2017-07-01,05:15,05:30,1,0
2017-07-01,05:30,05:45,11,4
2017-07-01,05:45,06:00,35,23
2017-07-01,06:00,06:15,67,59
2017-07-01,06:15,06:30,108,106
2017-07-01,06:30,06:45,162,165
2017-07-01,06:45,07:00,225,241
2017-07-01,07:00,07:15,296,328
2017-07-01,07:15,07:30,369,418
2017-07-01,07:30,07:45,447,532
2017-07-01,07:45,08:00,526,638
2017-07-01,08:00,08:15,609,720
2017-07-01,08:15,08:30,707,800
2017-07-01,08:30,08:45,812,910
2017-07-01,08:45,09:00,911,1013
2017-07-01,09:00,09:15,1008,1149
2017-07-01,09:15,09:30,1102,1344
2017-07-01,09:30,09:45,1195,1519
2017-07-01,09:45,10:00,1284,1699
2017-07-01,10:00,10:15,1369,1862
2017-07-01,10:15,10:30,1446,1955
2017-07-01,10:30,10:45,1519,2025
2017-07-01,10:45,11:00,1589,2098
2017-07-01,11:00,11:15,1652,2144
2017-07-01,11:15,11:30,1710,2183
2017-07-01,11:30,11:45,1761,2202
2017-07-01,11:45,12:00,1805,2238
2017-07-01,12:00,12:15,1846,2215
2017-07-01,12:15,12:30,1882,2211
2017-07-01,12:30,12:45,1912,2312
2017-07-01,12:45,13:00,1938,2364
2017-07-01,13:00,13:15,1952,2367
2017-07-01,13:15,13:30,1960,2390
2017-07-01,13:30,13:45,1964,2400
2017-07-01,13:45,14:00,1962,2460
2017-07-01,14:00,14:15,1951,2424
2017-07-01,14:15,14:30,1938,2376
2017-07-01,14:30,14:45,1926,2346
2017-07-01,14:45,15:00,1902,2267
2017-07-01,15:00,15:15,1870,2115
2017-07-01,15:15,15:30,1825,1966
2017-07-01,15:30,15:45,1768,1900
2017-07-01,15:45,16:00,1708,1807
2017-07-01,16:00,16:15,1639,1774
2017-07-01,16:15,16:30,1566,1744
2017-07-01,16:30,16:45,1489,1712
2017-07-01,16:45,17:00,1407,1658
2017-07-01,17:00,17:15,1324,1620
2017-07-01,17:15,17:30,1242,1483
2017-07-01,17:30,17:45,1156,1380
2017-07-01,17:45,18:00,1069,1301
2017-07-01,18:00,18:15,975,1211
2017-07-01,18:15,18:30,879,1126
2017-07-01,18:30,18:45,782,1015
2017-07-01,18:45,19:00,684,912
2017-07-01,19:00,19:15,587,820
2017-07-01,19:15,19:30,493,707
2017-07-01,19:30,19:45,405,592
2017-07-01,19:45,20:00,338,480
2017-07-01,20:00,20:15,281,366
2017-07-01,20:15,20:30,235,267
2017-07-01,20:30,20:45,171,190
2017-07-01,20:45,21:00,103,128
2017-07-01,21:00,21:15,49,76
2017-07-01,21:15,21:30,18,36
2017-07-01,21:30,21:45,4,9
2017-07-01,21:45,22:00,0,0
2017-07-01,22:00,22:15,0,0
2017-07-01,22:15,22:30,0,0
2017-07-01,22:30,22:45,0,0
2017-07-01,22:45,23:00,0,0
2017-07-01,23:00,23:15,0,0
2017-07-01,23:15,23:30,0,0
2017-07-01,23:30,23:45,0,0
2017-07-01,23:45,00:00,0,0
2017-07-02,00:00,00:15,0,0
2017-07-02,00:15,00:30,0,0
2017-07-02,00:30,00:45,0,0
2017-07-02,00:45,01:00,0,0
2017-07-02,01:00,01:15,0,0
2017-07-02,01:15,01:30,0,0
2017-07-02,01:30,01:45,0,0
2017-07-02,01:45,02:00,0,0
2017-07-02,02:00,02:15,0,0
2017-07-02,02:15,02:30,0,0
2017-07-02,02:30,02:45,0,0
2017-07-02,02:45,03:00,0,0
2017-07-02,03:00,03:15,0,0
2017-07-02,03:15,03:30,0,0
2017-07-02,03:30,03:45,0,0
2017-07-02,03:45,04:00,0,0
2017-07-02,04:00,04:15,0,0
2017-07-02,04:15,04:30,0,0
2017-07-02,04:30,04:45,0,0
2017-07-02,04:45,05:00,0,0
2017-07-02,05:00,05:15,0,0
2017-07-02,05:15,05:30,1,0
2017-07-02,05:30,05:45,13,13
2017-07-02,05:45,06:00,40,45
2017-07-02,06:00,06:15,81,93
2017-07-02,06:15,06:30,134,147
2017-07-02,06:30,06:45,205,204
2017-07-02,06:45,07:00,291,268
2017-07-02,07:00,07:15,381,348
2017-07-02,07:15,07:30,473,439
2017-07-02,07:30,07:45,570,528
2017-07-02,07:45,08:00,668,621
2017-07-02,08:00,08:15,774,728
2017-07-02,08:15,08:30,895,850
2017-07-02,08:30,08:45,1022,984
2017-07-02,08:45,09:00,1144,1121
2017-07-02,09:00,09:15,1260,1266
2017-07-02,09:15,09:30,1373,1401
2017-07-02,09:30,09:45,1481,1555
2017-07-02,09:45,10:00,1574,1679
2017-07-02,10:00,10:15,1664,1753
2017-07-02,10:15,10:30,1751,1796
2017-07-02,10:30,10:45,1830,1825
2017-07-02,10:45,11:00,1908,1819
2017-07-02,11:00,11:15,1977,1843
2017-07-02,11:15,11:30,2043,1882
2017-07-02,11:30,11:45,2103,1943
2017-07-02,11:45,12:00,2154,1988
2017-07-02,12:00,12:15,2199,2010
2017-07-02,12:15,12:30,2238,1984
2017-07-02,12:30,12:45,2276,2048
2017-07-02,12:45,13:00,2310,2191
2017-07-02,13:00,13:15,2341,2282
2017-07-02,13:15,13:30,2383,2335
2017-07-02,13:30,13:45,2417,2385
2017-07-02,13:45,14:00,2446,2387
2017-07-02,14:00,14:15,2461,2452
2017-07-02,14:15,14:30,2472,2523
2017-07-02,14:30,14:45,2482,2553
2017-07-02,14:45,15:00,2482,2569
2017-07-02,15:00,15:15,2473,2587
2017-07-02,15:15,15:30,2451,2531
2017-07-02,15:30,15:45,2408,2505
2017-07-02,15:45,16:00,2363,2557
2017-07-02,16:00,16:15,2299,2525
2017-07-02,16:15,16:30,2220,2492
2017-07-02,16:30,16:45,2128,2403
2017-07-02,16:45,17:00,2029,2381
2017-07-02,17:00,17:15,1926,2280
2017-07-02,17:15,17:30,1818,2186
2017-07-02,17:30,17:45,1698,1997
2017-07-02,17:45,18:00,1567,1826
2017-07-02,18:00,18:15,1422,1656
2017-07-02,18:15,18:30,1262,1475
2017-07-02,18:30,18:45,1103,1287
2017-07-02,18:45,19:00,951,1124
2017-07-02,19:00,19:15,809,975
2017-07-02,19:15,19:30,682,821
2017-07-02,19:30,19:45,562,681
2017-07-02,19:45,20:00,470,553
2017-07-02,20:00,20:15,398,431
2017-07-02,20:15,20:30,332,318
2017-07-02,20:30,20:45,237,232
2017-07-02,20:45,21:00,141,155
2017-07-02,21:00,21:15,66,89
2017-07-02,21:15,21:30,23,40
2017-07-02,21:30,21:45,5,11
2017-07-02,21:45,22:00,0,1
2017-07-02,22:00,22:15,0,0
2017-07-02,22:15,22:30,0,0
2017-07-02,22:30,22:45,0,0
2017-07-02,22:45,23:00,0,0
2017-07-02,23:00,23:15,0,0
2017-07-02,23:15,23:30,0,0
2017-07-02,23:30,23:45,0,0
2017-07-02,23:45,00:00,0,0
2017-07-03,00:00,00:15,0,0
2017-07-03,00:15,00:30,0,0
2017-07-03,00:30,00:45,0,0
2017-07-03,00:45,01:00,0,0
2017-07-03,01:00,01:15,0,0
2017-07-03,01:15,01:30,0,0
2017-07-03,01:30,01:45,0,0
