date,time_from,time_to,feedin
2008-08-01,00:00,00:15,622
2008-08-01,00:15,00:30,627
2008-08-01,00:30,00:45,625
2008-08-01,00:45,01:00,629
2008-08-01,01:00,01:15,635
2008-08-01,01:15,01:30,640
2008-08-01,01:30,01:45,650
2008-08-01,01:45,02:00,655
2008-08-01,02:00,02:15,660
2008-08-01,02:15,02:30,668
2008-08-01,02:30,02:45,647
2008-08-01,02:45,03:00,657
2008-08-01,03:00,03:15,667
2008-08-01,03:15,03:30,670
2008-08-01,03:30,03:45,672
2008-08-01,03:45,04:00,674
2008-08-01,04:00,04:15,676
2008-08-01,04:15,04:30,686
2008-08-01,04:30,04:45,699
2008-08-01,04:45,05:00,714
2008-08-01,05:00,05:15,727
2008-08-01,05:15,05:30,730
2008-08-01,05:30,05:45,708
2008-08-01,05:45,06:00,710
2008-08-01,06:00,06:15,717
2008-08-01,06:15,06:30,708
2008-08-01,06:30,06:45,700
2008-08-01,06:45,07:00,692
2008-08-01,07:00,07:15,688
2008-08-01,07:15,07:30,684
2008-08-01,07:30,07:45,676
2008-08-01,07:45,08:00,681
2008-08-01,08:00,08:15,678
2008-08-01,08:15,08:30,704
2008-08-01,08:30,08:45,759
2008-08-01,08:45,09:00,785
2008-08-01,09:00,09:15,820
2008-08-01,09:15,09:30,831
2008-08-01,09:30,09:45,834
2008-08-01,09:45,10:00,833
2008-08-01,10:00,10:15,850
2008-08-01,10:15,10:30,864
2008-08-01,10:30,10:45,888
2008-08-01,10:45,11:00,914
2008-08-01,11:00,11:15,933
2008-08-01,11:15,11:30,925
2008-08-01,11:30,11:45,909
2008-08-01,11:45,12:00,903
2008-08-01,12:00,12:15,895
2008-08-01,12:15,12:30,898
2008-08-01,12:30,12:45,853
2008-08-01,12:45,13:00,856
2008-08-01,13:00,13:15,859
2008-08-01,13:15,13:30,859
2008-08-01,13:30,13:45,866
2008-08-01,13:45,14:00,872
2008-08-01,14:00,14:15,873
2008-08-01,14:15,14:30,850
2008-08-01,14:30,14:45,779
2008-08-01,14:45,15:00,724
2008-08-01,15:00,15:15,708
2008-08-01,15:15,15:30,689
2008-08-01,15:30,15:45,671
2008-08-01,15:45,16:00,651
2008-08-01,16:00,16:15,636
2008-08-01,16:15,16:30,600
2008-08-01,16:30,16:45,571
2008-08-01,16:45,17:00,542
2008-08-01,17:00,17:15,513
2008-08-01,17:15,17:30,489
2008-08-01,17:30,17:45,460
2008-08-01,17:45,18:00,440
2008-08-01,18:00,18:15,422
2008-08-01,18:15,18:30,403
2008-08-01,18:30,18:45,384
2008-08-01,18:45,19:00,363
2008-08-01,19:00,19:15,347
2008-08-01,19:15,19:30,338
2008-08-01,19:30,19:45,340
2008-08-01,19:45,20:00,338
2008-08-01,20:00,20:15,328
2008-08-01,20:15,20:30,320
2008-08-01,20:30,20:45,313
2008-08-01,20:45,21:00,355
2008-08-01,21:00,21:15,350
2008-08-01,21:15,21:30,350
2008-08-01,21:30,21:45,351
2008-08-01,21:45,22:00,387
2008-08-01,22:00,22:15,389
2008-08-01,22:15,22:30,391
2008-08-01,22:30,22:45,395
2008-08-01,22:45,23:00,389
2008-08-01,23:00,23:15,394
2008-08-01,23:15,23:30,389
2008-08-01,23:30,23:45,385
2008-08-01,23:45,00:00,377
2008-08-02,00:00,00:15,344
2008-08-02,00:15,00:30,361
2008-08-02,00:30,00:45,375
2008-08-02,00:45,01:00,391
2008-08-02,01:00,01:15,410
2008-08-02,01:15,01:30,426
2008-08-02,01:30,01:45,444
2008-08-02,01:45,02:00,452
2008-08-02,02:00,02:15,471
2008-08-02,02:15,02:30,485
2008-08-02,02:30,02:45,494
2008-08-02,02:45,03:00,513
2008-08-02,03:00,03:15,529
2008-08-02,03:15,03:30,537
2008-08-02,03:30,03:45,544
2008-08-02,03:45,04:00,550
2008-08-02,04:00,04:15,558
2008-08-02,04:15,04:30,559
2008-08-02,04:30,04:45,561
2008-08-02,04:45,05:00,572
2008-08-02,05:00,05:15,574
2008-08-02,05:15,05:30,573
2008-08-02,05:30,05:45,564
2008-08-02,05:45,06:00,560
2008-08-02,06:00,06:15,560
2008-08-02,06:15,06:30,531
2008-08-02,06:30,06:45,497
2008-08-02,06:45,07:00,475
2008-08-02,07:00,07:15,450
2008-08-02,07:15,07:30,435
2008-08-02,07:30,07:45,422
2008-08-02,07:45,08:00,407
2008-08-02,08:00,08:15,394
2008-08-02,08:15,08:30,383
2008-08-02,08:30,08:45,376
2008-08-02,08:45,09:00,366
2008-08-02,09:00,09:15,357
2008-08-02,09:15,09:30,381
2008-08-02,09:30,09:45,413
2008-08-02,09:45,10:00,440
2008-08-02,10:00,10:15,469
2008-08-02,10:15,10:30,497
2008-08-02,10:30,10:45,525
2008-08-02,10:45,11:00,554
2008-08-02,11:00,11:15,587
2008-08-02,11:15,11:30,623
2008-08-02,11:30,11:45,661
2008-08-02,11:45,12:00,700
2008-08-02,12:00,12:15,743
2008-08-02,12:15,12:30,766
2008-08-02,12:30,12:45,788
2008-08-02,12:45,13:00,812
2008-08-02,13:00,13:15,837
2008-08-02,13:15,13:30,844
2008-08-02,13:30,13:45,853
2008-08-02,13:45,14:00,860
2008-08-02,14:00,14:15,869
2008-08-02,14:15,14:30,876
2008-08-02,14:30,14:45,882
2008-08-02,14:45,15:00,890
2008-08-02,15:00,15:15,898
2008-08-02,15:15,15:30,877
2008-08-02,15:30,15:45,857
2008-08-02,15:45,16:00,838
2008-08-02,16:00,16:15,820
2008-08-02,16:15,16:30,799
2008-08-02,16:30,16:45,779
2008-08-02,16:45,17:00,761
2008-08-02,17:00,17:15,743
2008-08-02,17:15,17:30,701
2008-08-02,17:30,17:45,662
2008-08-02,17:45,18:00,625
2008-08-02,18:00,18:15,591
2008-08-02,18:15,18:30,539
2008-08-02,18:30,18:45,492
2008-08-02,18:45,19:00,448
2008-08-02,19:00,19:15,408
2008-08-02,19:15,19:30,375
2008-08-02,19:30,19:45,346
2008-08-02,19:45,20:00,319
2008-08-02,20:00,20:15,294
2008-08-02,20:15,20:30,278
2008-08-02,20:30,20:45,266
2008-08-02,20:45,21:00,253
2008-08-02,21:00,21:15,241
2008-08-02,21:15,21:30,244
2008-08-02,21:30,21:45,255
2008-08-02,21:45,22:00,256
2008-08-02,22:00,22:15,261
2008-08-02,22:15,22:30,279
2008-08-02,22:30,22:45,299
2008-08-02,22:45,23:00,317
2008-08-02,23:00,23:15,341
2008-08-02,23:15,23:30,357
2008-08-02,23:30,23:45,370
2008-08-02,23:45,00:00,387
2008-08-03,00:00,00:15,1112
2008-08-03,00:15,00:30,1124
2008-08-03,00:30,00:45,1148
2008-08-03,00:45,01:00,1161
2008-08-03,01:00,01:15,1175
