date,time_from,time_to,feedin
2008-04-01,00:00,00:15,106
2008-04-01,00:15,00:30,112
2008-04-01,00:30,00:45,114
2008-04-01,00:45,01:00,116
2008-04-01,01:00,01:15,123
2008-04-01,01:15,01:30,132
2008-04-01,01:30,01:45,141
2008-04-01,01:45,02:00,153
2008-04-01,02:00,02:15,165
2008-04-01,02:15,02:30,175
2008-04-01,02:30,02:45,183
2008-04-01,02:45,03:00,195
2008-04-01,03:00,03:15,207
2008-04-01,03:15,03:30,215
2008-04-01,03:30,03:45,217
2008-04-01,03:45,04:00,230
2008-04-01,04:00,04:15,239
2008-04-01,04:15,04:30,250
2008-04-01,04:30,04:45,266
2008-04-01,04:45,05:00,282
2008-04-01,05:00,05:15,295
2008-04-01,05:15,05:30,311
2008-04-01,05:30,05:45,341
2008-04-01,05:45,06:00,359
2008-04-01,06:00,06:15,378
2008-04-01,06:15,06:30,414
2008-04-01,06:30,06:45,453
2008-04-01,06:45,07:00,494
2008-04-01,07:00,07:15,537
2008-04-01,07:15,07:30,581
2008-04-01,07:30,07:45,587
2008-04-01,07:45,08:00,634
2008-04-01,08:00,08:15,684
2008-04-01,08:15,08:30,722
2008-04-01,08:30,08:45,781
2008-04-01,08:45,09:00,816
2008-04-01,09:00,09:15,852
2008-04-01,09:15,09:30,907
2008-04-01,09:30,09:45,956
2008-04-01,09:45,10:00,1019
2008-04-01,10:00,10:15,1086
2008-04-01,10:15,10:30,1120
2008-04-01,10:30,10:45,1174
2008-04-01,10:45,11:00,1206
2008-04-01,11:00,11:15,1238
2008-04-01,11:15,11:30,1320
2008-04-01,11:30,11:45,1399
2008-04-01,11:45,12:00,1482
2008-04-01,12:00,12:15,1567
2008-04-01,12:15,12:30,1623
2008-04-01,12:30,12:45,1680
2008-04-01,12:45,13:00,1736
2008-04-01,13:00,13:15,1794
2008-04-01,13:15,13:30,1855
2008-04-01,13:30,13:45,1912
2008-04-01,13:45,14:00,1967
2008-04-01,14:00,14:15,2023
2008-04-01,14:15,14:30,2074
2008-04-01,14:30,14:45,2125
2008-04-01,14:45,15:00,2173
2008-04-01,15:00,15:15,2222
2008-04-01,15:15,15:30,2262
2008-04-01,15:30,15:45,2304
2008-04-01,15:45,16:00,2334
2008-04-01,16:00,16:15,2370
2008-04-01,16:15,16:30,2391
2008-04-01,16:30,16:45,2408
2008-04-01,16:45,17:00,2418
2008-04-01,17:00,17:15,2437
2008-04-01,17:15,17:30,2430
2008-04-01,17:30,17:45,2421
2008-04-01,17:45,18:00,2414
2008-04-01,18:00,18:15,2402
2008-04-01,18:15,18:30,2414
2008-04-01,18:30,18:45,2417
2008-04-01,18:45,19:00,2428
2008-04-01,19:00,19:15,2436
2008-04-01,19:15,19:30,2432
2008-04-01,19:30,19:45,2416
2008-04-01,19:45,20:00,2411
2008-04-01,20:00,20:15,2402
2008-04-01,20:15,20:30,2391
2008-04-01,20:30,20:45,2352
2008-04-01,20:45,21:00,2310
2008-04-01,21:00,21:15,2293
2008-04-01,21:15,21:30,2284
2008-04-01,21:30,21:45,2251
2008-04-01,21:45,22:00,2262
2008-04-01,22:00,22:15,2249
2008-04-01,22:15,22:30,2241
2008-04-01,22:30,22:45,2235
2008-04-01,22:45,23:00,2241
2008-04-01,23:00,23:15,2232
2008-04-01,23:15,23:30,2237
2008-04-01,23:30,23:45,2243
2008-04-01,23:45,00:00,2228
2008-04-02,00:00,00:15,1430
2008-04-02,00:15,00:30,1429
2008-04-02,00:30,00:45,1423
2008-04-02,00:45,01:00,1414
2008-04-02,01:00,01:15,1412
2008-04-02,01:15,01:30,1433
2008-04-02,01:30,01:45,1466
2008-04-02,01:45,02:00,1494
2008-04-02,02:00,02:15,1516
2008-04-02,02:15,02:30,1530
2008-04-02,02:30,02:45,1553
2008-04-02,02:45,03:00,1569
2008-04-02,03:00,03:15,1583
2008-04-02,03:15,03:30,1598
2008-04-02,03:30,03:45,1585
2008-04-02,03:45,04:00,1598
2008-04-02,04:00,04:15,1613
2008-04-02,04:15,04:30,1625
2008-04-02,04:30,04:45,1644
2008-04-02,04:45,05:00,1663
2008-04-02,05:00,05:15,1675
2008-04-02,05:15,05:30,1681
2008-04-02,05:30,05:45,1687
2008-04-02,05:45,06:00,1695
2008-04-02,06:00,06:15,1702
2008-04-02,06:15,06:30,1720
2008-04-02,06:30,06:45,1722
2008-04-02,06:45,07:00,1738
2008-04-02,07:00,07:15,1755
2008-04-02,07:15,07:30,1764
2008-04-02,07:30,07:45,1771
2008-04-02,07:45,08:00,1777
2008-04-02,08:00,08:15,1785
2008-04-02,08:15,08:30,1798
2008-04-02,08:30,08:45,1802
2008-04-02,08:45,09:00,1813
2008-04-02,09:00,09:15,1825
2008-04-02,09:15,09:30,1826
2008-04-02,09:30,09:45,1826
2008-04-02,09:45,10:00,1824
2008-04-02,10:00,10:15,1823
2008-04-02,10:15,10:30,1822
2008-04-02,10:30,10:45,1821
2008-04-02,10:45,11:00,1819
2008-04-02,11:00,11:15,1817
2008-04-02,11:15,11:30,1827
2008-04-02,11:30,11:45,1835
2008-04-02,11:45,12:00,1842
2008-04-02,12:00,12:15,1851
2008-04-02,12:15,12:30,1874
2008-04-02,12:30,12:45,1895
2008-04-02,12:45,13:00,1917
2008-04-02,13:00,13:15,1939
2008-04-02,13:15,13:30,1968
2008-04-02,13:30,13:45,1997
2008-04-02,13:45,14:00,2026
2008-04-02,14:00,14:15,2054
2008-04-02,14:15,14:30,2091
2008-04-02,14:30,14:45,2073
2008-04-02,14:45,15:00,2073
2008-04-02,15:00,15:15,2108
2008-04-02,15:15,15:30,2129
2008-04-02,15:30,15:45,2105
2008-04-02,15:45,16:00,2106
2008-04-02,16:00,16:15,2125
2008-04-02,16:15,16:30,2152
2008-04-02,16:30,16:45,2161
2008-04-02,16:45,17:00,2174
2008-04-02,17:00,17:15,2198
2008-04-02,17:15,17:30,2225
2008-04-02,17:30,17:45,2217
2008-04-02,17:45,18:00,2226
2008-04-02,18:00,18:15,2249
2008-04-02,18:15,18:30,2262
2008-04-02,18:30,18:45,2277
2008-04-02,18:45,19:00,2336
2008-04-02,19:00,19:15,2350
2008-04-02,19:15,19:30,2345
2008-04-02,19:30,19:45,2340
2008-04-02,19:45,20:00,2357
2008-04-02,20:00,20:15,2349
2008-04-02,20:15,20:30,2332
2008-04-02,20:30,20:45,2288
2008-04-02,20:45,21:00,2362
2008-04-02,21:00,21:15,2340
2008-04-02,21:15,21:30,2327
2008-04-02,21:30,21:45,2246
2008-04-02,21:45,22:00,2251
2008-04-02,22:00,22:15,2238
2008-04-02,22:15,22:30,2221
2008-04-02,22:30,22:45,2147
2008-04-02,22:45,23:00,2164
2008-04-02,23:00,23:15,2142
2008-04-02,23:15,23:30,2139
2008-04-02,23:30,23:45,2078
2008-04-02,23:45,00:00,2076
2008-04-03,00:00,00:15,1752
2008-04-03,00:15,00:30,1735
2008-04-03,00:30,00:45,1712
2008-04-03,00:45,01:00,1690
2008-04-03,01:00,01:15,1672
2008-04-03,01:15,01:30,1664
2008-04-03,01:30,01:45,1661
2008-04-03,01:45,02:00,1603
2008-04-03,02:00,02:15,1592
2008-04-03,02:15,02:30,1591
2008-04-03,02:30,02:45,1552
2008-04-03,02:45,03:00,1485
2008-04-03,03:00,03:15,1484
2008-04-03,03:15,03:30,1487
2008-04-03,03:30,03:45,1440
2008-04-03,03:45,04:00,1425
2008-04-03,04:00,04:15,1429
2008-04-03,04:15,04:30,1417
2008-04-03,04:30,04:45,1374
2008-04-03,04:45,05:00,1374
2008-04-03,05:00,05:15,1363
2008-04-03,05:15,05:30,1349
2008-04-03,05:30,05:45,1320
2008-04-03,05:45,06:00,1301
2008-04-03,06:00,06:15,1288
2008-04-03,06:15,06:30,1270
2008-04-03,06:30,06:45,1265
2008-04-03,06:45,07:00,1235
2008-04-03,07:00,07:15,1217
2008-04-03,07:15,07:30,1220
2008-04-03,07:30,07:45,1196
2008-04-03,07:45,08:00,1197
2008-04-03,08:00,08:15,1196
2008-04-03,08:15,08:30,1188
2008-04-03,08:30,08:45,1136
2008-04-03,08:45,09:00,1133
2008-04-03,09:00,09:15,1170
2008-04-03,09:15,09:30,1267
2008-04-03,09:30,09:45,1318
2008-04-03,09:45,10:00,1348
2008-04-03,10:00,10:15,1179
2008-04-03,10:15,10:30,1249
2008-04-03,10:30,10:45,1338
2008-04-03,10:45,11:00,1221
2008-04-03,11:00,11:15,1187
2008-04-03,11:15,11:30,1256
2008-04-03,11:30,11:45,1176
2008-04-03,11:45,12:00,1196
2008-04-03,12:00,12:15,1202
2008-04-03,12:15,12:30,1193
2008-04-03,12:30,12:45,1167
2008-04-03,12:45,13:00,1210
2008-04-03,13:00,13:15,1229
2008-04-03,13:15,13:30,1169
2008-04-03,13:30,13:45,1241
2008-04-03,13:45,14:00,1268
2008-04-03,14:00,14:15,1242
2008-04-03,14:15,14:30,1197
2008-04-03,14:30,14:45,1200
2008-04-03,14:45,15:00,1200
2008-04-03,15:00,15:15,1269
2008-04-03,15:15,15:30,1300
2008-04-03,15:30,15:45,1295
2008-04-03,15:45,16:00,1295
2008-04-03,16:00,16:15,1337
2008-04-03,16:15,16:30,1329
2008-04-03,16:30,16:45,1335
2008-04-03,16:45,17:00,1320
2008-04-03,17:00,17:15,1322
2008-04-03,17:15,17:30,1305
2008-04-03,17:30,17:45,1289
2008-04-03,17:45,18:00,1274
2008-04-03,18:00,18:15,1257
2008-04-03,18:15,18:30,1236
2008-04-03,18:30,18:45,1218
2008-04-03,18:45,19:00,1170
2008-04-03,19:00,19:15,1125
2008-04-03,19:15,19:30,1036
2008-04-03,19:30,19:45,1005
2008-04-03,19:45,20:00,984
2008-04-03,20:00,20:15,990
2008-04-03,20:15,20:30,922
2008-04-03,20:30,20:45,900
2008-04-03,20:45,21:00,868
2008-04-03,21:00,21:15,852
2008-04-03,21:15,21:30,822
2008-04-03,21:30,21:45,747
2008-04-03,21:45,22:00,740
2008-04-03,22:00,22:15,734
2008-04-03,22:15,22:30,704
2008-04-03,22:30,22:45,666
2008-04-03,22:45,23:00,646
2008-04-03,23:00,23:15,607
2008-04-03,23:15,23:30,611
2008-04-03,23:30,23:45,591
2008-04-03,23:45,00:00,531
2008-04-04,00:00,00:15,415
2008-04-04,00:15,00:30,407
2008-04-04,00:30,00:45,400
2008-04-04,00:45,01:00,360
2008-04-04,01:00,01:15,314
2008-04-04,01:15,01:30,298
2008-04-04,01:30,01:45,270
2008-04-04,01:45,02:00,255
2008-04-04,02:00,02:15,235
2008-04-04,02:15,02:30,222
2008-04-04,02:30,02:45,204
2008-04-04,02:45,03:00,205
2008-04-04,03:00,03:15,178
2008-04-04,03:15,03:30,178
2008-04-04,03:30,03:45,203
2008-04-04,03:45,04:00,197
2008-04-04,04:00,04:15,169
2008-04-04,04:15,04:30,163
2008-04-04,04:30,04:45,179
2008-04-04,04:45,05:00,184
2008-04-04,05:00,05:15,173
2008-04-04,05:15,05:30,169
2008-04-04,05:30,05:45,212
2008-04-04,05:45,06:00,201
2008-04-04,06:00,06:15,166
2008-04-04,06:15,06:30,160
2008-04-04,06:30,06:45,150
2008-04-04,06:45,07:00,156
2008-04-04,07:00,07:15,157
2008-04-04,07:15,07:30,168
2008-04-04,07:30,07:45,165
2008-04-04,07:45,08:00,168
2008-04-04,08:00,08:15,154
2008-04-04,08:15,08:30,149
2008-04-04,08:30,08:45,136
2008-04-04,08:45,09:00,128
2008-04-04,09:00,09:15,128
2008-04-04,09:15,09:30,127
2008-04-04,09:30,09:45,134
2008-04-04,09:45,10:00,122
2008-04-04,10:00,10:15,120
