Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;gültig2;ungültig2;CDU;CDU_Proz;Z_CDU;Z_CDU_Proz;SPD;SPD_Proz;Z_SPD;Z_SPD_Proz;FDP;FDP_Proz;Z_FDP;Z_FDP_Proz;GRÜNE;GRÜNE_Proz;Z_GRÜNE;Z_GRÜNE_Proz;DIE LINKE;DIE LINKE_Proz;Z_DIE LINKE;Z_DIE LINKE_Proz;PIRATEN;PIRATEN_Proz;Z_PIRATEN;Z_PIRATEN_Proz;NPD;NPD_Proz;Z_NPD;Z_NPD_Proz;REP;REP_Proz;Z_REP;Z_REP_Proz;Bündnis 21/RRP;Bündnis 21/RRP_Proz;Z_Bündnis 21/RRP;Z_Bündnis 21/RRP_Proz;Volksabstimmung;Volksabstimmung_Proz;Z_Volksabstimmung;Z_Volksabstimmung_Proz;ÖDP;ÖDP_Proz;Z_ÖDP;Z_ÖDP_Proz;MLPD;MLPD_Proz;Z_MLPD;Z_MLPD_Proz;BüSo;BüSo_Proz;Z_BüSo;Z_BüSo_Proz;PSG;PSG_Proz;Z_PSG;Z_PSG_Proz;AfD;AfD_Proz;Z_AfD;Z_AfD_Proz;BIG;BIG_Proz;Z_BIG;Z_BIG_Proz;pro Deutschland;pro Deutschland_Proz;Z_pro Deutschland;Z_pro Deutschland_Proz;DIE RECHTE;DIE RECHTE_Proz;Z_DIE RECHTE;Z_DIE RECHTE_Proz;FREIE WÄHLER;FREIE WÄHLER_Proz;Z_FREIE WÄHLER;Z_FREIE WÄHLER_Proz;Partei der Nichtwähler;Partei der Nichtwähler_Proz;Z_Partei der Nichtwähler;Z_Partei der Nichtwähler_Proz;Partei der Vernunft;Partei der Vernunft_Proz;Z_Partei der Vernunft;Z_Partei der Vernunft_Proz;Die PARTEI;Die PARTEI_Proz;Z_Die PARTEI;Z_Die PARTEI_Proz;
20905;20905;1;1;747;437;58,50;;436;;1;437;0;190;43,58;184;42,11;153;35,09;123;28,15;8;1,83;25;5,72;50;11,47;55;12,59;17;3,90;22;5,03;4;0,92;1;0,23;5;1,15;5;1,14;0;0,00;2;0,46;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;1,83;16;3,66;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,23;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;0,92;
20906;20906;1;1;630;321;50,95;;317;;4;318;3;155;48,90;137;43,08;90;28,39;78;24,53;9;2,84;26;8,18;40;12,62;46;14,47;11;3,47;13;4,09;8;2,52;5;1,57;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,95;9;2,83;0;0,00;1;0,31;0;0,00;2;0,63;0;0,00;0;0,00;1;0,32;1;0,31;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;
21001;21001;1;1;751;356;47,40;;352;;4;354;2;141;40,06;123;34,75;126;35,80;116;32,77;8;2,27;25;7,06;49;13,92;50;14,12;16;4,55;17;4,80;2;0,57;5;1,41;3;0,85;3;0,85;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,28;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,70;12;3,39;0;0,00;0;0,00;0;0,00;1;0,28;0;0,00;0;0,00;1;0,28;0;0,00;0;0,00;1;0,28;0;0,00;0;0,00;0;0,00;0;0,00;
21002;21002;1;1;706;298;42,21;;296;;2;298;0;148;50,00;129;43,29;89;30,07;73;24,50;4;1,35;26;8,72;27;9,12;33;11,07;10;3,38;18;6,04;10;3,38;6;2,01;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,34;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;2,03;8;2,68;0;0,00;0;0,00;0;0,00;1;0,34;0;0,00;0;0,00;2;0,68;2;0,67;0;0,00;0;0,00;0;0,00;1;0,34;0;0,00;0;0,00;
21003;21003;1;1;690;341;49,42;;339;;2;340;1;145;42,77;121;35,59;109;32,15;89;26,18;7;2,06;33;9,71;53;15,63;48;14,12;10;2,95;21;6,18;5;1,47;10;2,94;3;0,88;2;0,59;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;7;2,06;10;2,94;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,59;0;0,00;2;0,59;0;0,00;0;0,00;0;0,00;2;0,59;
21004;21004;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21005;21005;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21006;21006;1;1;781;384;49,17;;383;;1;382;2;161;42,04;142;37,17;116;30,29;101;26,44;7;1,83;22;5,76;47;12,27;43;11,26;16;4,18;33;8,64;14;3,66;13;3,40;2;0,52;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;16;4,18;20;5,24;0;0,00;0;0,00;0;0,00;1;0,26;0;0,00;0;0,00;4;1,04;3;0,79;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;1,05;
21007;21007;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21008;21008;1;1;671;381;56,78;;376;;5;377;4;145;38,56;143;37,93;133;35,37;111;29,44;16;4,26;28;7,43;51;13,56;57;15,12;14;3,72;18;4,77;8;2,13;7;1,86;1;0,27;0;0,00;0;0,00;1;0,27;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;2,13;10;2,65;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,27;0;0,00;1;0,27;0;0,00;0;0,00;0;0,00;0;0,00;
21009;21009;1;1;1291;655;50,74;;652;;3;652;3;297;45,55;275;42,18;197;30,21;148;22,70;25;3,83;59;9,05;84;12,88;94;14,42;21;3,22;30;4,60;9;1,38;11;1,69;3;0,46;3;0,46;0;0,00;1;0,15;0;0,00;1;0,15;0;0,00;0;0,00;0;0,00;1;0,15;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;13;1,99;24;3,68;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,46;1;0,15;0;0,00;1;0,15;0;0,00;0;0,00;0;0,00;3;0,46;
21101;21101;1;1;761;337;44,28;;331;;6;332;5;137;41,39;123;37,05;113;34,14;103;31,02;9;2,72;12;3,61;19;5,74;24;7,23;19;5,74;26;7,83;7;2,11;15;4,52;10;3,02;5;1,51;0;0,00;12;3,61;0;0,00;2;0,60;0;0,00;3;0,90;0;0,00;1;0,30;0;0,00;1;0,30;14;4,23;1;0,30;0;0,00;4;1,20;3;0,91;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;
21102;21102;1;1;807;350;43,37;;344;;6;344;6;118;34,30;107;31,10;153;44,48;119;34,59;2;0,58;14;4,07;15;4,36;28;8,14;32;9,30;36;10,47;7;2,03;3;0,87;5;1,45;6;1,74;0;0,00;1;0,29;0;0,00;0;0,00;0;0,00;1;0,29;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;11;3,20;21;6,10;0;0,00;0;0,00;0;0,00;4;1,16;0;0,00;0;0,00;1;0,29;2;0,58;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,58;
21201;21201;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21202;21202;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21301;21301;1;1;588;295;50,17;;293;;2;292;3;107;36,52;106;36,30;128;43,69;117;40,07;2;0,68;6;2,05;22;7,51;21;7,19;13;4,44;13;4,45;8;2,73;8;2,74;2;0,68;3;1,03;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,34;0;0,00;0;0,00;0;0,00;0;0,00;1;0,34;1;0,34;0;0,00;0;0,00;9;3,07;10;3,42;0;0,00;2;0,68;0;0,00;2;0,68;0;0,00;0;0,00;1;0,34;0;0,00;0;0,00;1;0,34;0;0,00;0;0,00;0;0,00;1;0,34;
21302;21302;1;1;583;328;56,26;;325;;3;324;4;112;34,46;122;37,65;137;42,15;111;34,26;5;1,54;10;3,09;21;6,46;18;5,56;26;8,00;32;9,88;3;0,92;6;1,85;5;1,54;2;0,62;0;0,00;1;0,31;0;0,00;0;0,00;0;0,00;1;0,31;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;16;4,92;19;5,86;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,31;0;0,00;0;0,00;0;0,00;1;0,31;0;0,00;0;0,00;
21303;21303;1;1;1307;574;43,92;;570;;4;570;4;206;36,14;205;35,96;275;48,25;218;38,25;9;1,58;20;3,51;25;4,39;40;7,02;27;4,74;32;5,61;8;1,40;12;2,11;8;1,40;3;0,53;0;0,00;1;0,18;0;0,00;0;0,00;0;0,00;1;0,18;0;0,00;1;0,18;0;0,00;1;0,18;0;0,00;0;0,00;0;0,00;0;0,00;11;1,93;24;4,21;0;0,00;8;1,40;0;0,00;2;0,35;0;0,00;0;0,00;1;0,18;1;0,18;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,18;
21304;21304;1;1;1134;309;27,25;;306;;3;304;5;67;21,90;61;20,07;159;51,96;127;41,78;5;1,63;9;2,96;13;4,25;30;9,87;32;10,46;31;10,20;11;3,59;11;3,62;6;1,96;5;1,64;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,99;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;13;4,25;12;3,95;0;0,00;11;3,62;0;0,00;3;0,99;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,33;
30101;30101;1;1;1388;610;43,95;;603;;7;605;5;237;39,30;201;33,22;211;34,99;175;28,93;15;2,49;46;7,60;72;11,94;98;16,20;38;6,30;35;5,79;10;1,66;12;1,98;5;0,83;4;0,66;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,33;0;0,00;0;0,00;0;0,00;1;0,17;0;0,00;0;0,00;13;2,16;22;3,64;0;0,00;0;0,00;0;0,00;1;0,17;0;0,00;1;0,17;2;0,33;1;0,17;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;0,99;
30102;30102;1;1;666;351;52,70;;349;;2;349;2;153;43,84;128;36,68;107;30,66;84;24,07;5;1,43;34;9,74;58;16,62;58;16,62;15;4,30;26;7,45;5;1,43;2;0,57;1;0,29;1;0,29;0;0,00;0;0,00;0;0,00;1;0,29;0;0,00;1;0,29;0;0,00;1;0,29;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;5;1,43;8;2,29;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,29;0;0,00;0;0,00;0;0,00;4;1,15;
30103;30103;1;1;873;472;54,07;;471;;1;471;1;168;35,67;160;33,97;182;38,64;131;27,81;9;1,91;24;5,10;74;15,71;95;20,17;22;4,67;30;6,37;6;1,27;10;2,12;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;9;1,91;15;3,18;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,21;1;0,21;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;1;0,21;
30104;30104;1;1;731;420;57,46;;418;;2;419;1;103;24,64;99;23,63;163;39,00;113;26,97;9;2,15;18;4,30;100;23,92;112;26,73;29;6,94;52;12,41;6;1,44;10;2,39;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;7;1,67;11;2,63;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;
30105;30105;1;1;721;391;54,23;;389;;2;389;2;109;28,02;113;29,05;164;42,16;118;30,33;7;1,80;22;5,66;70;17,99;77;19,79;17;4,37;33;8,48;10;2,57;6;1,54;3;0,77;2;0,51;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,26;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;2,06;10;2,57;0;0,00;0;0,00;0;0,00;2;0,51;0;0,00;0;0,00;1;0,26;1;0,26;0;0,00;1;0,26;0;0,00;0;0,00;0;0,00;3;0,77;
30106;30106;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30107;30107;1;1;544;325;59,74;;323;;2;325;0;91;28,17;85;26,15;137;42,41;108;33,23;8;2,48;17;5,23;60;18,58;70;21,54;19;5,88;32;9,85;5;1,55;4;1,23;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,62;7;2,15;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,31;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,62;
30108;30108;1;1;695;365;52,52;;362;;3;362;3;80;22,10;74;20,44;141;38,95;104;28,73;9;2,49;13;3,59;85;23,48;94;25,97;35;9,67;53;14,64;5;1,38;3;0,83;1;0,28;1;0,28;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,55;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,66;13;3,59;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,28;0;0,00;0;0,00;0;0,00;1;0,28;0;0,00;3;0,83;
30109;30109;1;1;627;379;60,45;;377;;2;377;2;133;35,28;122;32,36;128;33,95;101;26,79;6;1,59;20;5,31;81;21,49;92;24,40;17;4,51;24;6,37;8;2,12;9;2,39;0;0,00;1;0,27;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,80;5;1,33;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,27;0;0,00;0;0,00;2;0,53;0;0,00;0;0,00;0;0,00;1;0,27;
30110;30110;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30201;30201;1;1;743;403;54,24;;400;;3;399;4;126;31,50;116;29,07;165;41,25;113;28,32;13;3,25;29;7,27;67;16,75;90;22,56;20;5,00;34;8,52;3;0,75;2;0,50;1;0,25;3;0,75;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;1,00;6;1,50;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,25;1;0,25;0;0,00;1;0,25;0;0,00;1;0,25;0;0,00;3;0,75;
30202;30202;1;1;728;374;51,37;;373;;1;373;1;119;31,90;115;30,83;136;36,46;99;26,54;7;1,88;19;5,09;66;17,69;68;18,23;28;7,51;38;10,19;6;1,61;5;1,34;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,54;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;9;2,41;22;5,90;0;0,00;0;0,00;0;0,00;1;0,27;0;0,00;0;0,00;2;0,54;1;0,27;0;0,00;1;0,27;0;0,00;0;0,00;0;0,00;2;0,54;
30203;30203;1;1;874;360;41,19;;356;;4;356;4;115;32,30;100;28,09;129;36,24;95;26,69;14;3,93;26;7,30;59;16,57;78;21,91;23;6,46;29;8,15;10;2,81;12;3,37;1;0,28;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;1,12;8;2,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,28;0;0,00;0;0,00;3;0,84;0;0,00;0;0,00;0;0,00;5;1,40;
30204;30204;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30205;30205;1;1;827;390;47,16;;386;;4;388;2;112;29,02;99;25,52;132;34,20;91;23,45;13;3,37;33;8,51;75;19,43;80;20,62;34;8,81;44;11,34;9;2,33;9;2,32;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,26;0;0,00;3;0,77;0;0,00;1;0,26;0;0,00;0;0,00;0;0,00;0;0,00;10;2,59;19;4,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,26;2;0,52;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,55;
30206;30206;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30207;30207;1;1;836;474;56,70;;469;;5;469;5;160;34,12;136;29,00;153;32,62;102;21,75;8;1,71;38;8,10;92;19,62;110;23,45;33;7,04;46;9,81;8;1,71;14;2,99;3;0,64;2;0,43;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;9;1,92;15;3,20;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;3;0,64;3;0,64;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;1;0,21;
30208;30208;1;1;876;479;54,68;;476;;3;477;2;146;30,67;130;27,25;179;37,61;130;27,25;3;0,63;25;5,24;85;17,86;107;22,43;44;9,24;55;11,53;8;1,68;9;1,89;3;0,63;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;1,68;15;3,14;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;0,84;
30209;30209;1;1;740;409;55,27;;403;;6;403;6;123;30,52;113;28,04;145;35,98;107;26,55;11;2,73;35;8,68;78;19,35;88;21,84;28;6,95;40;9,93;9;2,23;9;2,23;3;0,74;3;0,74;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;1;0,25;0;0,00;0;0,00;0;0,00;4;0,99;6;1,49;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,25;1;0,25;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;
30210;30210;1;1;739;416;56,29;;415;;1;414;2;106;25,54;94;22,71;152;36,63;130;31,40;6;1,45;21;5,07;101;24,34;97;23,43;38;9,16;46;11,11;3;0,72;9;2,17;1;0,24;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;7;1,69;13;3,14;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;1;0,24;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;1;0,24;
30211;30211;1;1;807;465;57,62;;463;;2;463;2;137;29,59;130;28,08;158;34,13;132;28,51;12;2,59;29;6,26;112;24,19;112;24,19;29;6,26;32;6,91;5;1,08;8;1,73;1;0,22;1;0,22;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,65;0;0,00;0;0,00;1;0,22;1;0,22;0;0,00;1;0,22;7;1,51;11;2,38;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,22;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,65;
30212;30212;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30213;30213;1;1;812;391;48,15;;390;;1;390;1;120;30,77;115;29,49;155;39,74;122;31,28;9;2,31;21;5,38;70;17,95;78;20,00;15;3,85;23;5,90;9;2,31;6;1,54;2;0,51;3;0,77;0;0,00;1;0,26;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,77;0;0,00;0;0,00;2;0,51;0;0,00;0;0,00;0;0,00;8;2,05;14;3,59;0;0,00;0;0,00;0;0,00;1;0,26;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,26;0;0,00;0;0,00;0;0,00;2;0,51;
30214;30214;1;1;741;384;51,82;;382;;2;381;3;116;30,37;107;28,08;138;36,13;118;30,97;7;1,83;25;6,56;80;20,94;73;19,16;25;6,54;33;8,66;9;2,36;12;3,15;1;0,26;0;0,00;0;0,00;1;0,26;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,26;0;0,00;1;0,26;0;0,00;0;0,00;6;1,57;9;2,36;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,26;
30215;30215;1;1;708;370;52,26;;370;;0;370;0;158;42,70;143;38,65;115;31,08;84;22,70;6;1,62;20;5,41;51;13,78;72;19,46;25;6,76;27;7,30;7;1,89;10;2,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;2,16;12;3,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,54;
30216;30216;1;1;641;347;54,13;;345;;2;347;0;135;39,13;121;34,87;122;35,36;84;24,21;7;2,03;33;9,51;53;15,36;62;17,87;13;3,77;23;6,63;6;1,74;3;0,86;1;0,29;1;0,29;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,29;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,74;9;2,59;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,58;2;0,58;0;0,00;0;0,00;0;0,00;3;0,86;0;0,00;5;1,44;
30217;30217;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30218;30218;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30219;30219;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30220;30220;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30221;30221;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30222;30222;1;1;1215;639;52,59;;629;;10;630;9;186;29,57;176;27,94;221;35,14;183;29,05;9;1,43;29;4,60;124;19,71;116;18,41;52;8,27;65;10,32;21;3,34;26;4,13;1;0,16;1;0,16;0;0,00;0;0,00;0;0,00;1;0,16;0;0,00;1;0,16;0;0,00;1;0,16;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;14;2,23;20;3,17;0;0,00;1;0,16;0;0,00;0;0,00;0;0,00;0;0,00;1;0,16;0;0,00;0;0,00;0;0,00;0;0,00;1;0,16;0;0,00;9;1,43;
30223;30223;1;1;1105;567;51,31;;563;;4;565;2;153;27,18;135;23,89;222;39,43;152;26,90;13;2,31;33;5,84;112;19,89;142;25,13;40;7,10;55;9,73;14;2,49;19;3,36;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,53;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;8;1,42;17;3,01;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,18;2;0,35;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;7;1,24;
30224;30224;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30225;30225;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
