date,time_from,time_to,feedin
2014-12-01,00:00,00:15,18735
2014-12-01,00:15,00:30,18557
2014-12-01,00:30,00:45,18462
2014-12-01,00:45,01:00,18462
2014-12-01,01:00,01:15,18385
2014-12-01,01:15,01:30,18354
2014-12-01,01:30,01:45,18209
2014-12-01,01:45,02:00,18130
2014-12-01,02:00,02:15,17978
2014-12-01,02:15,02:30,17940
2014-12-01,02:30,02:45,17827
2014-12-01,02:45,03:00,17602
2014-12-01,03:00,03:15,17471
2014-12-01,03:15,03:30,17386
2014-12-01,03:30,03:45,17409
2014-12-01,03:45,04:00,17439
2014-12-01,04:00,04:15,17690
2014-12-01,04:15,04:30,17853
2014-12-01,04:30,04:45,18181
2014-12-01,04:45,05:00,18400
2014-12-01,05:00,05:15,18744
2014-12-01,05:15,05:30,19273
2014-12-01,05:30,05:45,19581
2014-12-01,05:45,06:00,19924
2014-12-01,06:00,06:15,20508
2014-12-01,06:15,06:30,21189
2014-12-01,06:30,06:45,21982
2014-12-01,06:45,07:00,22614
2014-12-01,07:00,07:15,23161
2014-12-01,07:15,07:30,23788
2014-12-01,07:30,07:45,24149
2014-12-01,07:45,08:00,24444
2014-12-01,08:00,08:15,24683
2014-12-01,08:15,08:30,24902
2014-12-01,08:30,08:45,25153
2014-12-01,08:45,09:00,25491
2014-12-01,09:00,09:15,25339
2014-12-01,09:15,09:30,25344
2014-12-01,09:30,09:45,25373
2014-12-01,09:45,10:00,25440
2014-12-01,10:00,10:15,25599
2014-12-01,10:15,10:30,25606
2014-12-01,10:30,10:45,25665
2014-12-01,10:45,11:00,25707
2014-12-01,11:00,11:15,25664
2014-12-01,11:15,11:30,25649
2014-12-01,11:30,11:45,25697
2014-12-01,11:45,12:00,25626
2014-12-01,12:00,12:15,25406
2014-12-01,12:15,12:30,25441
2014-12-01,12:30,12:45,25438
2014-12-01,12:45,13:00,25606
2014-12-01,13:00,13:15,25529
2014-12-01,13:15,13:30,25460
2014-12-01,13:30,13:45,25565
2014-12-01,13:45,14:00,25555
2014-12-01,14:00,14:15,25656
2014-12-01,14:15,14:30,25667
2014-12-01,14:30,14:45,25758
2014-12-01,14:45,15:00,25763
2014-12-01,15:00,15:15,25666
2014-12-01,15:15,15:30,25553
2014-12-01,15:30,15:45,25597
2014-12-01,15:45,16:00,25577
2014-12-01,16:00,16:15,25440
2014-12-01,16:15,16:30,25466
2014-12-01,16:30,16:45,25490
2014-12-01,16:45,17:00,25530
2014-12-01,17:00,17:15,25332
2014-12-01,17:15,17:30,25271
2014-12-01,17:30,17:45,25235
2014-12-01,17:45,18:00,25178
2014-12-01,18:00,18:15,25405
2014-12-01,18:15,18:30,25341
2014-12-01,18:30,18:45,25386
2014-12-01,18:45,19:00,25577
2014-12-01,19:00,19:15,25751
2014-12-01,19:15,19:30,25732
2014-12-01,19:30,19:45,25610
2014-12-01,19:45,20:00,25630
2014-12-01,20:00,20:15,25575
2014-12-01,20:15,20:30,25442
2014-12-01,20:30,20:45,25234
2014-12-01,20:45,21:00,25163
2014-12-01,21:00,21:15,25143
2014-12-01,21:15,21:30,25014
2014-12-01,21:30,21:45,24856
2014-12-01,21:45,22:00,24695
2014-12-01,22:00,22:15,24224
2014-12-01,22:15,22:30,23992
2014-12-01,22:30,22:45,23900
2014-12-01,22:45,23:00,23359
2014-12-01,23:00,23:15,22930
2014-12-01,23:15,23:30,22852
2014-12-01,23:30,23:45,22838
2014-12-01,23:45,00:00,0
2014-12-02,00:00,00:15,21728
2014-12-02,00:15,00:30,21650
2014-12-02,00:30,00:45,21672
2014-12-02,00:45,01:00,21625
2014-12-02,01:00,01:15,21539
2014-12-02,01:15,01:30,21336
2014-12-02,01:30,01:45,21393
2014-12-02,01:45,02:00,21260
2014-12-02,02:00,02:15,21214
2014-12-02,02:15,02:30,21097
2014-12-02,02:30,02:45,21094
2014-12-02,02:45,03:00,21042
2014-12-02,03:00,03:15,20999
2014-12-02,03:15,03:30,21047
2014-12-02,03:30,03:45,21026
2014-12-02,03:45,04:00,20893
2014-12-02,04:00,04:15,20944
2014-12-02,04:15,04:30,21070
2014-12-02,04:30,04:45,21248
2014-12-02,04:45,05:00,21497
2014-12-02,05:00,05:15,22183
2014-12-02,05:15,05:30,22374
2014-12-02,05:30,05:45,23007
2014-12-02,05:45,06:00,23847
2014-12-02,06:00,06:15,24351
2014-12-02,06:15,06:30,24673
2014-12-02,06:30,06:45,25050
2014-12-02,06:45,07:00,25358
2014-12-02,07:00,07:15,25933
2014-12-02,07:15,07:30,25865
2014-12-02,07:30,07:45,26081
2014-12-02,07:45,08:00,26226
2014-12-02,08:00,08:15,26512
2014-12-02,08:15,08:30,26742
2014-12-02,08:30,08:45,26759
2014-12-02,08:45,09:00,26880
2014-12-02,09:00,09:15,26943
2014-12-02,09:15,09:30,26928
2014-12-02,09:30,09:45,26928
2014-12-02,09:45,10:00,27016
2014-12-02,10:00,10:15,27066
2014-12-02,10:15,10:30,27036
2014-12-02,10:30,10:45,27115
2014-12-02,10:45,11:00,27260
2014-12-02,11:00,11:15,27340
2014-12-02,11:15,11:30,27294
2014-12-02,11:30,11:45,27383
2014-12-02,11:45,12:00,27393
2014-12-02,12:00,12:15,27573
2014-12-02,12:15,12:30,27680
2014-12-02,12:30,12:45,27640
2014-12-02,12:45,13:00,27696
2014-12-02,13:00,13:15,27582
2014-12-02,13:15,13:30,27631
2014-12-02,13:30,13:45,27595
2014-12-02,13:45,14:00,27455
2014-12-02,14:00,14:15,27265
2014-12-02,14:15,14:30,27314
2014-12-02,14:30,14:45,27358
2014-12-02,14:45,15:00,27256
2014-12-02,15:00,15:15,27387
2014-12-02,15:15,15:30,27402
2014-12-02,15:30,15:45,27200
2014-12-02,15:45,16:00,27464
2014-12-02,16:00,16:15,27394
2014-12-02,16:15,16:30,27550
2014-12-02,16:30,16:45,27537
2014-12-02,16:45,17:00,27641
2014-12-02,17:00,17:15,27236
2014-12-02,17:15,17:30,27199
2014-12-02,17:30,17:45,27340
2014-12-02,17:45,18:00,27388
2014-12-02,18:00,18:15,27429
2014-12-02,18:15,18:30,27282
2014-12-02,18:30,18:45,27176
2014-12-02,18:45,19:00,27065
2014-12-02,19:00,19:15,27326
2014-12-02,19:15,19:30,27321
2014-12-02,19:30,19:45,27332
2014-12-02,19:45,20:00,27198
2014-12-02,20:00,20:15,27156
2014-12-02,20:15,20:30,27002
2014-12-02,20:30,20:45,26619
2014-12-02,20:45,21:00,26214
2014-12-02,21:00,21:15,25664
2014-12-02,21:15,21:30,25175
2014-12-02,21:30,21:45,24788
2014-12-02,21:45,22:00,24685
2014-12-02,22:00,22:15,24412
2014-12-02,22:15,22:30,24277
2014-12-02,22:30,22:45,24173
2014-12-02,22:45,23:00,24071
2014-12-02,23:00,23:15,23827
2014-12-02,23:15,23:30,23470
2014-12-02,23:30,23:45,23347
2014-12-02,23:45,00:00,0
2014-12-03,00:00,00:15,23023
2014-12-03,00:15,00:30,22855
2014-12-03,00:30,00:45,22629
2014-12-03,00:45,01:00,22336
2014-12-03,01:00,01:15,22093
2014-12-03,01:15,01:30,22166
2014-12-03,01:30,01:45,22225
2014-12-03,01:45,02:00,22129
2014-12-03,02:00,02:15,22170
2014-12-03,02:15,02:30,22194
2014-12-03,02:30,02:45,22231
2014-12-03,02:45,03:00,22098
2014-12-03,03:00,03:15,22243
2014-12-03,03:15,03:30,22358
2014-12-03,03:30,03:45,22451
2014-12-03,03:45,04:00,22484
2014-12-03,04:00,04:15,22652
2014-12-03,04:15,04:30,22662
2014-12-03,04:30,04:45,22786
2014-12-03,04:45,05:00,22938
2014-12-03,05:00,05:15,22743
2014-12-03,05:15,05:30,22938
2014-12-03,05:30,05:45,23236
2014-12-03,05:45,06:00,23676
2014-12-03,06:00,06:15,24109
2014-12-03,06:15,06:30,24439
2014-12-03,06:30,06:45,24825
2014-12-03,06:45,07:00,25180
2014-12-03,07:00,07:15,25785
2014-12-03,07:15,07:30,25953
2014-12-03,07:30,07:45,26502
2014-12-03,07:45,08:00,26862
2014-12-03,08:00,08:15,27071
2014-12-03,08:15,08:30,27343
2014-12-03,08:30,08:45,27296
2014-12-03,08:45,09:00,27308
2014-12-03,09:00,09:15,27236
2014-12-03,09:15,09:30,27313
2014-12-03,09:30,09:45,27364
2014-12-03,09:45,10:00,27446
2014-12-03,10:00,10:15,27549
2014-12-03,10:15,10:30,27596
2014-12-03,10:30,10:45,27516
2014-12-03,10:45,11:00,27577
2014-12-03,11:00,11:15,27501
2014-12-03,11:15,11:30,27485
2014-12-03,11:30,11:45,27559
2014-12-03,11:45,12:00,27497
2014-12-03,12:00,12:15,27423
2014-12-03,12:15,12:30,27350
2014-12-03,12:30,12:45,27442
2014-12-03,12:45,13:00,27602
2014-12-03,13:00,13:15,27861
2014-12-03,13:15,13:30,27815
2014-12-03,13:30,13:45,27488
2014-12-03,13:45,14:00,27419
2014-12-03,14:00,14:15,27618
2014-12-03,14:15,14:30,27832
2014-12-03,14:30,14:45,27967
2014-12-03,14:45,15:00,28023
2014-12-03,15:00,15:15,27956
2014-12-03,15:15,15:30,28047
2014-12-03,15:30,15:45,27943
2014-12-03,15:45,16:00,27854
2014-12-03,16:00,16:15,27979
2014-12-03,16:15,16:30,27967
2014-12-03,16:30,16:45,27968
2014-12-03,16:45,17:00,27958
2014-12-03,17:00,17:15,27466
2014-12-03,17:15,17:30,27611
2014-12-03,17:30,17:45,27630
2014-12-03,17:45,18:00,27568
2014-12-03,18:00,18:15,27107
2014-12-03,18:15,18:30,26793
2014-12-03,18:30,18:45,26766
2014-12-03,18:45,19:00,26702
2014-12-03,19:00,19:15,26741
2014-12-03,19:15,19:30,26602
2014-12-03,19:30,19:45,26576
2014-12-03,19:45,20:00,26543
2014-12-03,20:00,20:15,26369
2014-12-03,20:15,20:30,26203
2014-12-03,20:30,20:45,26049
2014-12-03,20:45,21:00,25986
2014-12-03,21:00,21:15,26128
2014-12-03,21:15,21:30,25758
2014-12-03,21:30,21:45,25331
2014-12-03,21:45,22:00,25090
2014-12-03,22:00,22:15,24807
2014-12-03,22:15,22:30,24805
2014-12-03,22:30,22:45,24846
2014-12-03,22:45,23:00,24809
2014-12-03,23:00,23:15,24068
2014-12-03,23:15,23:30,23690
2014-12-03,23:30,23:45,23436
2014-12-03,23:45,00:00,0
2014-12-04,00:00,00:15,22797
2014-12-04,00:15,00:30,22765
2014-12-04,00:30,00:45,22798
2014-12-04,00:45,01:00,22712
2014-12-04,01:00,01:15,22558
2014-12-04,01:15,01:30,22219
2014-12-04,01:30,01:45,22083
2014-12-04,01:45,02:00,21825
2014-12-04,02:00,02:15,21551
2014-12-04,02:15,02:30,21528
2014-12-04,02:30,02:45,21527
2014-12-04,02:45,03:00,21607
2014-12-04,03:00,03:15,21716
2014-12-04,03:15,03:30,21740
2014-12-04,03:30,03:45,21747
2014-12-04,03:45,04:00,21736
2014-12-04,04:00,04:15,21644
2014-12-04,04:15,04:30,21649
2014-12-04,04:30,04:45,21604
2014-12-04,04:45,05:00,21785
2014-12-04,05:00,05:15,21864
2014-12-04,05:15,05:30,22104
2014-12-04,05:30,05:45,22278
2014-12-04,05:45,06:00,22224
2014-12-04,06:00,06:15,22638
2014-12-04,06:15,06:30,23394
2014-12-04,06:30,06:45,24205
2014-12-04,06:45,07:00,24906
2014-12-04,07:00,07:15,25205
2014-12-04,07:15,07:30,25181
2014-12-04,07:30,07:45,25388
2014-12-04,07:45,08:00,25592
2014-12-04,08:00,08:15,25650
2014-12-04,08:15,08:30,25710
2014-12-04,08:30,08:45,25764
2014-12-04,08:45,09:00,25748
2014-12-04,09:00,09:15,25916
2014-12-04,09:15,09:30,25970
2014-12-04,09:30,09:45,26023
2014-12-04,09:45,10:00,26208
2014-12-04,10:00,10:15,26359
2014-12-04,10:15,10:30,26405
2014-12-04,10:30,10:45,26495
2014-12-04,10:45,11:00,26457
2014-12-04,11:00,11:15,26307
2014-12-04,11:15,11:30,26297
2014-12-04,11:30,11:45,26266
2014-12-04,11:45,12:00,26249
2014-12-04,12:00,12:15,25899
2014-12-04,12:15,12:30,25834
2014-12-04,12:30,12:45,25783
2014-12-04,12:45,13:00,25853
2014-12-04,13:00,13:15,26110
2014-12-04,13:15,13:30,25985
2014-12-04,13:30,13:45,26110
2014-12-04,13:45,14:00,25997
2014-12-04,14:00,14:15,26028
2014-12-04,14:15,14:30,26086
2014-12-04,14:30,14:45,26150
2014-12-04,14:45,15:00,26190
2014-12-04,15:00,15:15,26367
2014-12-04,15:15,15:30,26284
2014-12-04,15:30,15:45,26319
2014-12-04,15:45,16:00,26271
2014-12-04,16:00,16:15,26115
2014-12-04,16:15,16:30,26265
2014-12-04,16:30,16:45,26348
2014-12-04,16:45,17:00,26448
2014-12-04,17:00,17:15,26016
2014-12-04,17:15,17:30,26035
2014-12-04,17:30,17:45,25906
2014-12-04,17:45,18:00,25790
2014-12-04,18:00,18:15,25613
2014-12-04,18:15,18:30,25529
2014-12-04,18:30,18:45,25506
2014-12-04,18:45,19:00,25506
2014-12-04,19:00,19:15,25454
2014-12-04,19:15,19:30,25445
2014-12-04,19:30,19:45,25371
2014-12-04,19:45,20:00,25331
2014-12-04,20:00,20:15,25211
2014-12-04,20:15,20:30,25150
2014-12-04,20:30,20:45,25152
2014-12-04,20:45,21:00,25167
2014-12-04,21:00,21:15,25186
2014-12-04,21:15,21:30,24929
2014-12-04,21:30,21:45,24796
2014-12-04,21:45,22:00,24601
2014-12-04,22:00,22:15,24174
2014-12-04,22:15,22:30,23839
2014-12-04,22:30,22:45,23602
2014-12-04,22:45,23:00,23178
2014-12-04,23:00,23:15,22647
2014-12-04,23:15,23:30,22553
2014-12-04,23:30,23:45,22657
2014-12-04,23:45,00:00,0
2014-12-05,00:00,00:15,22007
2014-12-05,00:15,00:30,21886
2014-12-05,00:30,00:45,21820
2014-12-05,00:45,01:00,21712
2014-12-05,01:00,01:15,21842
2014-12-05,01:15,01:30,21834
2014-12-05,01:30,01:45,21800
2014-12-05,01:45,02:00,21740
2014-12-05,02:00,02:15,21721
2014-12-05,02:15,02:30,21643
2014-12-05,02:30,02:45,21637
2014-12-05,02:45,03:00,21594
2014-12-05,03:00,03:15,21658
2014-12-05,03:15,03:30,21670
2014-12-05,03:30,03:45,21673
2014-12-05,03:45,04:00,21661
2014-12-05,04:00,04:15,21865
2014-12-05,04:15,04:30,21966
2014-12-05,04:30,04:45,21984
2014-12-05,04:45,05:00,22162
2014-12-05,05:00,05:15,22272
2014-12-05,05:15,05:30,22325
2014-12-05,05:30,05:45,22651
2014-12-05,05:45,06:00,23054
2014-12-05,06:00,06:15,23764
2014-12-05,06:15,06:30,24128
2014-12-05,06:30,06:45,24662
2014-12-05,06:45,07:00,24992
2014-12-05,07:00,07:15,25211
2014-12-05,07:15,07:30,25344
2014-12-05,07:30,07:45,25448
2014-12-05,07:45,08:00,25446
2014-12-05,08:00,08:15,25781
2014-12-05,08:15,08:30,25856
2014-12-05,08:30,08:45,25823
2014-12-05,08:45,09:00,25799
2014-12-05,09:00,09:15,25692
2014-12-05,09:15,09:30,25859
2014-12-05,09:30,09:45,25983
2014-12-05,09:45,10:00,25913
2014-12-05,10:00,10:15,25962
2014-12-05,10:15,10:30,25904
2014-12-05,10:30,10:45,26026
2014-12-05,10:45,11:00,26134
2014-12-05,11:00,11:15,26080
2014-12-05,11:15,11:30,26111
2014-12-05,11:30,11:45,26058
2014-12-05,11:45,12:00,26182
2014-12-05,12:00,12:15,26181
2014-12-05,12:15,12:30,26312
2014-12-05,12:30,12:45,26212
2014-12-05,12:45,13:00,26262
