date,time_from,time_to,feedin
2017-05-01,00:00,00:15,4124
2017-05-01,00:15,00:30,4079
2017-05-01,00:30,00:45,4032
2017-05-01,00:45,01:00,3982
2017-05-01,01:00,01:15,3933
2017-05-01,01:15,01:30,3865
2017-05-01,01:30,01:45,3795
2017-05-01,01:45,02:00,3730
2017-05-01,02:00,02:15,3667
2017-05-01,02:15,02:30,3582
2017-05-01,02:30,02:45,3492
2017-05-01,02:45,03:00,3386
2017-05-01,03:00,03:15,3295
2017-05-01,03:15,03:30,3211
2017-05-01,03:30,03:45,3123
2017-05-01,03:45,04:00,3022
2017-05-01,04:00,04:15,2923
2017-05-01,04:15,04:30,2837
2017-05-01,04:30,04:45,2748
2017-05-01,04:45,05:00,2619
2017-05-01,05:00,05:15,2497
2017-05-01,05:15,05:30,2432
2017-05-01,05:30,05:45,2365
2017-05-01,05:45,06:00,2297
2017-05-01,06:00,06:15,2233
2017-05-01,06:15,06:30,2171
2017-05-01,06:30,06:45,2108
2017-05-01,06:45,07:00,2044
2017-05-01,07:00,07:15,1982
2017-05-01,07:15,07:30,1931
2017-05-01,07:30,07:45,1881
2017-05-01,07:45,08:00,1831
2017-05-01,08:00,08:15,1784
2017-05-01,08:15,08:30,1714
2017-05-01,08:30,08:45,1645
2017-05-01,08:45,09:00,1578
2017-05-01,09:00,09:15,1507
2017-05-01,09:15,09:30,1426
2017-05-01,09:30,09:45,1344
2017-05-01,09:45,10:00,1262
2017-05-01,10:00,10:15,1185
2017-05-01,10:15,10:30,1118
2017-05-01,10:30,10:45,1057
2017-05-01,10:45,11:00,997
2017-05-01,11:00,11:15,934
2017-05-01,11:15,11:30,895
2017-05-01,11:30,11:45,856
2017-05-01,11:45,12:00,817
2017-05-01,12:00,12:15,781
2017-05-01,12:15,12:30,759
2017-05-01,12:30,12:45,737
2017-05-01,12:45,13:00,716
2017-05-01,13:00,13:15,694
2017-05-01,13:15,13:30,679
2017-05-01,13:30,13:45,665
2017-05-01,13:45,14:00,650
2017-05-01,14:00,14:15,635
2017-05-01,14:15,14:30,627
2017-05-01,14:30,14:45,620
2017-05-01,14:45,15:00,610
2017-05-01,15:00,15:15,598
2017-05-01,15:15,15:30,590
2017-05-01,15:30,15:45,582
2017-05-01,15:45,16:00,574
2017-05-01,16:00,16:15,567
2017-05-01,16:15,16:30,564
2017-05-01,16:30,16:45,561
2017-05-01,16:45,17:00,559
2017-05-01,17:00,17:15,556
2017-05-01,17:15,17:30,553
2017-05-01,17:30,17:45,551
2017-05-01,17:45,18:00,552
2017-05-01,18:00,18:15,552
2017-05-01,18:15,18:30,559
2017-05-01,18:30,18:45,568
2017-05-01,18:45,19:00,577
2017-05-01,19:00,19:15,584
2017-05-01,19:15,19:30,596
2017-05-01,19:30,19:45,603
2017-05-01,19:45,20:00,610
2017-05-01,20:00,20:15,619
2017-05-01,20:15,20:30,620
2017-05-01,20:30,20:45,624
2017-05-01,20:45,21:00,629
2017-05-01,21:00,21:15,649
2017-05-01,21:15,21:30,646
2017-05-01,21:30,21:45,643
2017-05-01,21:45,22:00,639
2017-05-01,22:00,22:15,634
2017-05-01,22:15,22:30,623
2017-05-01,22:30,22:45,612
2017-05-01,22:45,23:00,599
2017-05-01,23:00,23:15,590
2017-05-01,23:15,23:30,591
2017-05-01,23:30,23:45,593
2017-05-01,23:45,00:00,593
2017-05-02,00:00,00:15,387
2017-05-02,00:15,00:30,395
2017-05-02,00:30,00:45,404
2017-05-02,00:45,01:00,413
2017-05-02,01:00,01:15,421
2017-05-02,01:15,01:30,429
2017-05-02,01:30,01:45,438
2017-05-02,01:45,02:00,447
2017-05-02,02:00,02:15,457
2017-05-02,02:15,02:30,468
2017-05-02,02:30,02:45,479
2017-05-02,02:45,03:00,490
2017-05-02,03:00,03:15,518
2017-05-02,03:15,03:30,536
2017-05-02,03:30,03:45,553
2017-05-02,03:45,04:00,571
2017-05-02,04:00,04:15,588
2017-05-02,04:15,04:30,605
2017-05-02,04:30,04:45,619
2017-05-02,04:45,05:00,634
2017-05-02,05:00,05:15,649
2017-05-02,05:15,05:30,652
2017-05-02,05:30,05:45,657
2017-05-02,05:45,06:00,661
2017-05-02,06:00,06:15,664
2017-05-02,06:15,06:30,662
2017-05-02,06:30,06:45,659
2017-05-02,06:45,07:00,655
2017-05-02,07:00,07:15,651
2017-05-02,07:15,07:30,645
2017-05-02,07:30,07:45,639
2017-05-02,07:45,08:00,634
2017-05-02,08:00,08:15,628
2017-05-02,08:15,08:30,626
2017-05-02,08:30,08:45,625
2017-05-02,08:45,09:00,624
2017-05-02,09:00,09:15,621
2017-05-02,09:15,09:30,620
2017-05-02,09:30,09:45,621
2017-05-02,09:45,10:00,622
2017-05-02,10:00,10:15,621
2017-05-02,10:15,10:30,624
2017-05-02,10:30,10:45,629
2017-05-02,10:45,11:00,637
2017-05-02,11:00,11:15,642
2017-05-02,11:15,11:30,663
2017-05-02,11:30,11:45,684
2017-05-02,11:45,12:00,704
2017-05-02,12:00,12:15,725
2017-05-02,12:15,12:30,745
2017-05-02,12:30,12:45,765
2017-05-02,12:45,13:00,785
2017-05-02,13:00,13:15,805
2017-05-02,13:15,13:30,824
2017-05-02,13:30,13:45,843
2017-05-02,13:45,14:00,862
2017-05-02,14:00,14:15,881
2017-05-02,14:15,14:30,873
2017-05-02,14:30,14:45,865
2017-05-02,14:45,15:00,858
2017-05-02,15:00,15:15,854
2017-05-02,15:15,15:30,845
2017-05-02,15:30,15:45,837
2017-05-02,15:45,16:00,829
2017-05-02,16:00,16:15,820
2017-05-02,16:15,16:30,823
2017-05-02,16:30,16:45,826
2017-05-02,16:45,17:00,830
2017-05-02,17:00,17:15,833
2017-05-02,17:15,17:30,826
2017-05-02,17:30,17:45,819
2017-05-02,17:45,18:00,814
2017-05-02,18:00,18:15,807
2017-05-02,18:15,18:30,805
2017-05-02,18:30,18:45,802
2017-05-02,18:45,19:00,791
2017-05-02,19:00,19:15,786
2017-05-02,19:15,19:30,775
2017-05-02,19:30,19:45,768
2017-05-02,19:45,20:00,759
2017-05-02,20:00,20:15,749
2017-05-02,20:15,20:30,751
2017-05-02,20:30,20:45,752
2017-05-02,20:45,21:00,755
2017-05-02,21:00,21:15,784
2017-05-02,21:15,21:30,789
2017-05-02,21:30,21:45,793
2017-05-02,21:45,22:00,795
2017-05-02,22:00,22:15,798
2017-05-02,22:15,22:30,799
2017-05-02,22:30,22:45,800
2017-05-02,22:45,23:00,802
2017-05-02,23:00,23:15,803
2017-05-02,23:15,23:30,790
2017-05-02,23:30,23:45,776
2017-05-02,23:45,00:00,763
2017-05-03,00:00,00:15,534
2017-05-03,00:15,00:30,523
2017-05-03,00:30,00:45,508
2017-05-03,00:45,01:00,497
2017-05-03,01:00,01:15,484
2017-05-03,01:15,01:30,471
2017-05-03,01:30,01:45,457
2017-05-03,01:45,02:00,442
2017-05-03,02:00,02:15,427
2017-05-03,02:15,02:30,416
2017-05-03,02:30,02:45,405
2017-05-03,02:45,03:00,395
2017-05-03,03:00,03:15,399
2017-05-03,03:15,03:30,391
2017-05-03,03:30,03:45,385
2017-05-03,03:45,04:00,378
2017-05-03,04:00,04:15,371
2017-05-03,04:15,04:30,363
2017-05-03,04:30,04:45,354
2017-05-03,04:45,05:00,347
2017-05-03,05:00,05:15,339
2017-05-03,05:15,05:30,334
2017-05-03,05:30,05:45,328
2017-05-03,05:45,06:00,322
2017-05-03,06:00,06:15,316
2017-05-03,06:15,06:30,310
2017-05-03,06:30,06:45,305
2017-05-03,06:45,07:00,299
2017-05-03,07:00,07:15,294
2017-05-03,07:15,07:30,288
2017-05-03,07:30,07:45,281
2017-05-03,07:45,08:00,274
2017-05-03,08:00,08:15,268
2017-05-03,08:15,08:30,270
2017-05-03,08:30,08:45,274
2017-05-03,08:45,09:00,278
2017-05-03,09:00,09:15,281
2017-05-03,09:15,09:30,283
2017-05-03,09:30,09:45,284
2017-05-03,09:45,10:00,286
2017-05-03,10:00,10:15,289
2017-05-03,10:15,10:30,293
2017-05-03,10:30,10:45,300
2017-05-03,10:45,11:00,306
2017-05-03,11:00,11:15,309
2017-05-03,11:15,11:30,307
2017-05-03,11:30,11:45,305
2017-05-03,11:45,12:00,304
2017-05-03,12:00,12:15,304
2017-05-03,12:15,12:30,308
2017-05-03,12:30,12:45,315
2017-05-03,12:45,13:00,322
2017-05-03,13:00,13:15,325
2017-05-03,13:15,13:30,331
2017-05-03,13:30,13:45,336
2017-05-03,13:45,14:00,341
2017-05-03,14:00,14:15,348
2017-05-03,14:15,14:30,381
2017-05-03,14:30,14:45,419
2017-05-03,14:45,15:00,456
2017-05-03,15:00,15:15,490
2017-05-03,15:15,15:30,511
2017-05-03,15:30,15:45,531
2017-05-03,15:45,16:00,550
2017-05-03,16:00,16:15,569
2017-05-03,16:15,16:30,584
2017-05-03,16:30,16:45,602
2017-05-03,16:45,17:00,621
2017-05-03,17:00,17:15,641
