icon_url,id,is_pending,latitude,longitude,name,owner_id
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7126,,50.930233,6.918898,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7122,,50.931232,6.924627,Malteser-Krankenkaus St. Hildegardis AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7178,,50.932713,6.980395,Eduardus Krankenkaus AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7225,,50.933407,6.859535,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7115,,50.935516,6.940774,"Sparkasse KölnBonn, Geschäftsstelle Hahnentor AED",0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7114,,50.935932,6.949389,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7113,,50.936367,6.957151,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7179,,50.936768,6.978089,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7165,,50.937107,7.048802,Städtisches Krankenhaus Köln-Merheim AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7227,,50.937119,6.89877,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7224,,50.937336,6.835577,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7226,,50.937893,6.879694,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7109,,50.94059,6.960332,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7110,,50.941265,6.957414,Kölner Dom AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7111,,50.94128,6.960547,Sparkasse im Hbf AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7164,,50.94191,7.045718,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7223,,50.942207,6.834258,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7112,,50.942551,6.952929,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7163,,50.945492,7.074906,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7180,,50.950405,6.989225,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7181,,50.950649,7.005292,Sparkasse AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7182,,50.955673,7.015961,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7222,,50.955765,6.880285,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7221,,50.957539,6.901034,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7218,,50.962856,6.954002,Sparkasse KölnBonn AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7185,,50.966839,7.057214,Krankenhaus Merheim der Kl.Stadt Köln AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7219,,50.966881,6.9469,St. Vinzens-Hospital AED,0
https://s3.amazonaws.com/cs-poi-icon/ilcor-aed-icon.jpg,7217,,50.967766,6.899749,Sparkasse AED,0
