date,time_from,time_to,vertical_load
2004-09-01,00:00,00:15,14955
2004-09-01,00:15,00:30,14300
2004-09-01,00:30,00:45,14309
2004-09-01,00:45,01:00,14060
2004-09-01,01:00,01:15,13950
2004-09-01,01:15,01:30,13953
2004-09-01,01:30,01:45,13873
2004-09-01,01:45,02:00,13877
2004-09-01,02:00,02:15,13430
2004-09-01,02:15,02:30,13465
2004-09-01,02:30,02:45,13634
2004-09-01,02:45,03:00,13529
2004-09-01,03:00,03:15,13406
2004-09-01,03:15,03:30,13489
2004-09-01,03:30,03:45,13694
2004-09-01,03:45,04:00,13742
2004-09-01,04:00,04:15,13826
2004-09-01,04:15,04:30,13868
2004-09-01,04:30,04:45,13919
2004-09-01,04:45,05:00,14200
2004-09-01,05:00,05:15,14559
2004-09-01,05:15,05:30,14775
2004-09-01,05:30,05:45,15212
2004-09-01,05:45,06:00,15617
2004-09-01,06:00,06:15,16909
2004-09-01,06:15,06:30,17194
2004-09-01,06:30,06:45,17286
2004-09-01,06:45,07:00,17890
2004-09-01,07:00,07:15,18491
2004-09-01,07:15,07:30,18880
2004-09-01,07:30,07:45,19118
2004-09-01,07:45,08:00,19313
2004-09-01,08:00,08:15,19584
2004-09-01,08:15,08:30,19870
2004-09-01,08:30,08:45,19930
2004-09-01,08:45,09:00,19945
2004-09-01,09:00,09:15,19961
2004-09-01,09:15,09:30,20255
2004-09-01,09:30,09:45,20444
2004-09-01,09:45,10:00,20118
2004-09-01,10:00,10:15,20353
2004-09-01,10:15,10:30,20435
2004-09-01,10:30,10:45,20533
2004-09-01,10:45,11:00,20872
2004-09-01,11:00,11:15,21049
2004-09-01,11:15,11:30,21112
2004-09-01,11:30,11:45,21398
2004-09-01,11:45,12:00,21198
2004-09-01,12:00,12:15,20998
2004-09-01,12:15,12:30,20831
2004-09-01,12:30,12:45,20913
2004-09-01,12:45,13:00,20671
2004-09-01,13:00,13:15,20826
2004-09-01,13:15,13:30,20591
2004-09-01,13:30,13:45,20499
2004-09-01,13:45,14:00,20304
2004-09-01,14:00,14:15,20065
2004-09-01,14:15,14:30,19922
2004-09-01,14:30,14:45,20060
2004-09-01,14:45,15:00,19749
2004-09-01,15:00,15:15,19682
2004-09-01,15:15,15:30,19742
2004-09-01,15:30,15:45,19506
