date,time_from,time_to,production
2008-03-01,00:00,00:15,22407
2008-03-01,00:15,00:30,22042
2008-03-01,00:30,00:45,21590
2008-03-01,00:45,01:00,21218
2008-03-01,01:00,01:15,21069
2008-03-01,01:15,01:30,21010
2008-03-01,01:30,01:45,20937
2008-03-01,01:45,02:00,20872
2008-03-01,02:00,02:15,20557
2008-03-01,02:15,02:30,20568
2008-03-01,02:30,02:45,20598
2008-03-01,02:45,03:00,20626
2008-03-01,03:00,03:15,20329
2008-03-01,03:15,03:30,20353
2008-03-01,03:30,03:45,20364
2008-03-01,03:45,04:00,20429
2008-03-01,04:00,04:15,20308
2008-03-01,04:15,04:30,20407
2008-03-01,04:30,04:45,20463
2008-03-01,04:45,05:00,20473
2008-03-01,05:00,05:15,21109
2008-03-01,05:15,05:30,21030
2008-03-01,05:30,05:45,20918
2008-03-01,05:45,06:00,20782
2008-03-01,06:00,06:15,21717
2008-03-01,06:15,06:30,21771
2008-03-01,06:30,06:45,21832
2008-03-01,06:45,07:00,21964
2008-03-01,07:00,07:15,21848
2008-03-01,07:15,07:30,22007
2008-03-01,07:30,07:45,22159
2008-03-01,07:45,08:00,22353
2008-03-01,08:00,08:15,22461
2008-03-01,08:15,08:30,22665
2008-03-01,08:30,08:45,22848
2008-03-01,08:45,09:00,23056
2008-03-01,09:00,09:15,23187
2008-03-01,09:15,09:30,23424
2008-03-01,09:30,09:45,23605
2008-03-01,09:45,10:00,23732
2008-03-01,10:00,10:15,23614
2008-03-01,10:15,10:30,23688
2008-03-01,10:30,10:45,23764
2008-03-01,10:45,11:00,23821
2008-03-01,11:00,11:15,23587
2008-03-01,11:15,11:30,23674
2008-03-01,11:30,11:45,23685
2008-03-01,11:45,12:00,23585
2008-03-01,12:00,12:15,23879
2008-03-01,12:15,12:30,23783
2008-03-01,12:30,12:45,23644
2008-03-01,12:45,13:00,23519
2008-03-01,13:00,13:15,23553
2008-03-01,13:15,13:30,23432
2008-03-01,13:30,13:45,23349
2008-03-01,13:45,14:00,23188
2008-03-01,14:00,14:15,23209
2008-03-01,14:15,14:30,23151
2008-03-01,14:30,14:45,23092
2008-03-01,14:45,15:00,23001
2008-03-01,15:00,15:15,22737
