date,time_from,time_to,production
2008-09-01,00:00,00:15,19736
2008-09-01,00:15,00:30,19630
2008-09-01,00:30,00:45,19555
2008-09-01,00:45,01:00,19361
2008-09-01,01:00,01:15,19491
2008-09-01,01:15,01:30,19090
2008-09-01,01:30,01:45,19065
2008-09-01,01:45,02:00,19046
2008-09-01,02:00,02:15,18968
2008-09-01,02:15,02:30,18957
2008-09-01,02:30,02:45,18953
2008-09-01,02:45,03:00,18975
2008-09-01,03:00,03:15,19034
2008-09-01,03:15,03:30,19060
2008-09-01,03:30,03:45,19077
2008-09-01,03:45,04:00,19115
2008-09-01,04:00,04:15,19559
2008-09-01,04:15,04:30,19636
2008-09-01,04:30,04:45,19764
2008-09-01,04:45,05:00,19943
2008-09-01,05:00,05:15,20140
2008-09-01,05:15,05:30,20461
2008-09-01,05:30,05:45,20845
2008-09-01,05:45,06:00,21392
2008-09-01,06:00,06:15,24405
2008-09-01,06:15,06:30,24979
2008-09-01,06:30,06:45,25461
2008-09-01,06:45,07:00,25880
2008-09-01,07:00,07:15,27240
2008-09-01,07:15,07:30,27544
2008-09-01,07:30,07:45,27705
2008-09-01,07:45,08:00,27892
2008-09-01,08:00,08:15,28194
2008-09-01,08:15,08:30,28327
2008-09-01,08:30,08:45,28397
2008-09-01,08:45,09:00,28444
2008-09-01,09:00,09:15,28696
2008-09-01,09:15,09:30,28792
2008-09-01,09:30,09:45,28875
2008-09-01,09:45,10:00,28957
2008-09-01,10:00,10:15,28671
2008-09-01,10:15,10:30,28755
2008-09-01,10:30,10:45,28819
2008-09-01,10:45,11:00,28897
2008-09-01,11:00,11:15,28752
2008-09-01,11:15,11:30,28872
2008-09-01,11:30,11:45,28930
2008-09-01,11:45,12:00,28930
2008-09-01,12:00,12:15,28871
2008-09-01,12:15,12:30,28788
2008-09-01,12:30,12:45,28704
2008-09-01,12:45,13:00,28718
2008-09-01,13:00,13:15,29116
2008-09-01,13:15,13:30,29066
2008-09-01,13:30,13:45,29004
2008-09-01,13:45,14:00,28902
2008-09-01,14:00,14:15,28859
2008-09-01,14:15,14:30,28810
2008-09-01,14:30,14:45,28697
2008-09-01,14:45,15:00,28634
2008-09-01,15:00,15:15,28761
2008-09-01,15:15,15:30,28638
2008-09-01,15:30,15:45,28512
2008-09-01,15:45,16:00,28358
2008-09-01,16:00,16:15,28642
2008-09-01,16:15,16:30,28518
2008-09-01,16:30,16:45,28413
2008-09-01,16:45,17:00,28324
2008-09-01,17:00,17:15,28480
2008-09-01,17:15,17:30,28415
2008-09-01,17:30,17:45,28365
2008-09-01,17:45,18:00,28354
2008-09-01,18:00,18:15,28372
2008-09-01,18:15,18:30,28330
2008-09-01,18:30,18:45,28300
2008-09-01,18:45,19:00,28281
2008-09-01,19:00,19:15,27987
2008-09-01,19:15,19:30,27919
2008-09-01,19:30,19:45,27868
2008-09-01,19:45,20:00,27872
2008-09-01,20:00,20:15,27722
2008-09-01,20:15,20:30,27724
2008-09-01,20:30,20:45,27753
2008-09-01,20:45,21:00,27729
2008-09-01,21:00,21:15,27708
2008-09-01,21:15,21:30,27530
2008-09-01,21:30,21:45,27354
2008-09-01,21:45,22:00,27143
2008-09-01,22:00,22:15,27043
2008-09-01,22:15,22:30,26773
2008-09-01,22:30,22:45,26492
2008-09-01,22:45,23:00,26198
2008-09-01,23:00,23:15,25582
2008-09-01,23:15,23:30,25303
2008-09-01,23:30,23:45,25070
2008-09-01,23:45,00:00,24879
2008-09-02,00:00,00:15,22223
2008-09-02,00:15,00:30,22105
2008-09-02,00:30,00:45,22013
2008-09-02,00:45,01:00,21955
2008-09-02,01:00,01:15,22045
2008-09-02,01:15,01:30,21992
2008-09-02,01:30,01:45,21956
2008-09-02,01:45,02:00,21951
2008-09-02,02:00,02:15,22061
2008-09-02,02:15,02:30,22057
2008-09-02,02:30,02:45,22081
2008-09-02,02:45,03:00,22108
2008-09-02,03:00,03:15,22148
2008-09-02,03:15,03:30,22192
2008-09-02,03:30,03:45,22257
2008-09-02,03:45,04:00,22246
2008-09-02,04:00,04:15,22269
2008-09-02,04:15,04:30,22320
2008-09-02,04:30,04:45,22446
2008-09-02,04:45,05:00,22741
2008-09-02,05:00,05:15,22878
2008-09-02,05:15,05:30,23113
2008-09-02,05:30,05:45,23444
2008-09-02,05:45,06:00,23845
2008-09-02,06:00,06:15,25650
2008-09-02,06:15,06:30,26090
2008-09-02,06:30,06:45,26424
2008-09-02,06:45,07:00,26761
2008-09-02,07:00,07:15,28308
2008-09-02,07:15,07:30,28523
2008-09-02,07:30,07:45,28661
2008-09-02,07:45,08:00,28816
2008-09-02,08:00,08:15,29182
2008-09-02,08:15,08:30,29260
2008-09-02,08:30,08:45,29278
2008-09-02,08:45,09:00,29307
2008-09-02,09:00,09:15,29313
2008-09-02,09:15,09:30,29413
2008-09-02,09:30,09:45,29534
2008-09-02,09:45,10:00,29628
2008-09-02,10:00,10:15,29540
2008-09-02,10:15,10:30,29644
2008-09-02,10:30,10:45,29793
2008-09-02,10:45,11:00,29917
2008-09-02,11:00,11:15,29729
2008-09-02,11:15,11:30,29887
2008-09-02,11:30,11:45,30023
2008-09-02,11:45,12:00,30068
2008-09-02,12:00,12:15,30076
2008-09-02,12:15,12:30,30012
2008-09-02,12:30,12:45,29977
2008-09-02,12:45,13:00,29977
2008-09-02,13:00,13:15,30207
2008-09-02,13:15,13:30,30187
2008-09-02,13:30,13:45,30148
2008-09-02,13:45,14:00,30088
2008-09-02,14:00,14:15,30278
2008-09-02,14:15,14:30,30255
2008-09-02,14:30,14:45,30196
2008-09-02,14:45,15:00,30142
2008-09-02,15:00,15:15,29880
2008-09-02,15:15,15:30,29801
2008-09-02,15:30,15:45,29688
2008-09-02,15:45,16:00,29585
2008-09-02,16:00,16:15,29565
2008-09-02,16:15,16:30,29476
2008-09-02,16:30,16:45,29396
2008-09-02,16:45,17:00,29325
2008-09-02,17:00,17:15,29083
2008-09-02,17:15,17:30,29054
2008-09-02,17:30,17:45,29034
2008-09-02,17:45,18:00,29035
2008-09-02,18:00,18:15,29225
2008-09-02,18:15,18:30,29205
2008-09-02,18:30,18:45,29186
2008-09-02,18:45,19:00,29171
2008-09-02,19:00,19:15,28903
2008-09-02,19:15,19:30,28826
2008-09-02,19:30,19:45,28787
2008-09-02,19:45,20:00,28776
2008-09-02,20:00,20:15,27695
2008-09-02,20:15,20:30,27727
2008-09-02,20:30,20:45,27735
2008-09-02,20:45,21:00,27684
2008-09-02,21:00,21:15,26726
2008-09-02,21:15,21:30,26542
2008-09-02,21:30,21:45,26338
2008-09-02,21:45,22:00,26079
2008-09-02,22:00,22:15,25754
2008-09-02,22:15,22:30,25436
2008-09-02,22:30,22:45,25160
2008-09-02,22:45,23:00,24853
2008-09-02,23:00,23:15,24740
2008-09-02,23:15,23:30,24426
2008-09-02,23:30,23:45,24189
2008-09-02,23:45,00:00,23958
2008-09-03,00:00,00:15,23385
2008-09-03,00:15,00:30,23141
2008-09-03,00:30,00:45,22672
2008-09-03,00:45,01:00,22542
2008-09-03,01:00,01:15,22225
2008-09-03,01:15,01:30,22131
2008-09-03,01:30,01:45,22039
2008-09-03,01:45,02:00,21983
2008-09-03,02:00,02:15,21729
2008-09-03,02:15,02:30,21702
