Einzugsgebiet,Gewaesser,Informationsstufe 1,Informationsstufe 2,Informationsstufe 3,MHW,MNW,Mittel,Name,X,Y
Ijssel,Dinkel,147.0,183.0,193.0,152.0,11.0,25.0,Heek,7.117088,52.1169944
Ruhr,Heilenbecke,,,,73.0,8.0,20.0,Heilenbecke_Ablauf,7.3727434,51.2568769
Ruhr,Oese,,,,113.0,6.0,16.0,Hemer-Becke,7.7884105,51.4006977
Ruhr,Westiger Bach,,,,111.0,7.0,18.0,Hemer_Hessufer,7.7649347,51.3798692
Ruhr,Sundwiger Bach,,,,83.0,16.0,28.0,Hemer_Uhlenhof,7.7696529,51.3807551
Lippe,Glasebach,,,,75.0,30.0,53.0,Herbram_W,8.9157817,51.670395
Weser,Werre,400.0,460.0,530.0,396.0,55.0,124.0,Herford_2,8.6709239,52.1334218
Ruhr,Hundem,,,,93.0,4.0,17.0,Herrntrop,8.1054729,51.0874564
Rur,Wurm,190.0,210.0,240.0,205.0,47.0,61.0,Herzogenrath_1,6.0946916,50.8665063
Rur,Broicher Bach,,,,104.0,40.0,49.0,Herzogenrath_2,6.1117116,50.8668751
Rhein,Itterbach,,,,148.0,30.0,43.0,Hilden_1,6.9251258,51.1603299
Ems,Hörsteler Aa,,,,87.0,17.0,25.0,Hoerstel,7.58807,52.3202965
Sieg,Sülz,240.0,300.0,325.0,262.0,43.0,74.0,Hoffnungsthal,7.1937959,50.9108694
Sieg,Kürtener Sülz,,,,108.0,20.0,32.0,Hommerich,7.2802444,51.0087911
Rur,Beeckflies,,,,99.0,15.0,25.0,Honsdorf,6.1816739,51.0047685
Ems,Hopstener Aa,,,,120.0,11.0,23.0,Hopsten,7.5992998,52.3735407
Ruhr,Baarbach,,,,129.0,8.0,15.0,Iserlohn,7.7006234,51.4009262
Ruhr,Baarbach,,,,137.0,23.0,34.0,Iserlohn-Hennen,7.6621599,51.4479552
Ijssel,Issel (Ijssel),141.0,189.0,199.0,126.0,6.0,28.0,Isselburg,6.4722898,51.8325726
Ruhr,Jubach,,,,66.0,8.0,28.0,Jubachtalsperre_Zulauf,7.6163899,51.1676823
Rur,Rur,205.0,250.0,290.0,211.0,103.0,119.0,Juelich-Stadion,6.3492297,50.9248997
Rur,Urft,155.0,180.0,230.0,157.0,19.0,36.0,Kall-Sportplatz,6.5538144,50.5444824
Niers,Issumer Fleuth,,,,72.0,15.0,26.0,Kapellen,6.3595206,51.5700787
Lippe,Lippe,439.0,461.0,473.0,413.0,30.0,120.0,Kesseler_3,8.0893846,51.662975
Ruhr,Lenne,220.0,270.0,290.0,239.0,60.0,94.0,Kickenbach,8.1004026,51.1088738
Ruhr,Volme,,,,88.0,7.0,19.0,Kierspe,7.6149193,51.1398951
Rur,Inde,170.0,195.0,215.0,,,,Kirchberg1,6.3586105,50.8922012
Rur,Mühlenteich,,,,,,,Kirchberg2,6.3599761,50.8921962
Wupper,Wupper,,,,172.0,17.0,32.0,Kluserbruecke,7.1584193,51.2555712
Rur,Inde,150.0,170.0,210.0,134.0,10.0,26.0,KornelimuensterW,6.1833081,50.7281514
Schwalm,Kranenbach,,,,105.0,56.0,65.0,Kranenbruch,6.2336425,51.2392576
Sieg,Ferndorf,,,,109.0,9.0,23.0,Kreuztal,7.9951596,50.9587553
Rur,Inde,160.0,200.0,235.0,,,,Lamersdorf,6.3544744,50.8522612
Schwalm,Schwalm,,,,116.0,21.0,36.0,Landesgrenze,6.0878507,51.2283158
Erft,Neffelbach,110.0,140.0,160.0,122.0,40.0,50.0,Langenich,6.6726626,50.8643327
Ijssel,Dinkel,,,,148.0,7.0,24.0,Legden,7.0820708,52.0398444
Ems,Ibbenbürener Aa,,,,106.0,7.0,16.0,Lehen_2,7.7393482,52.2612464
Lippe,Lippe,527.0,642.0,723.0,489.0,58.0,131.0,Leven,7.2975661,51.7148997
