date,time_from,time_to,feedin
2011-05-01,00:00,00:15,16142
2011-05-01,00:15,00:30,16053
2011-05-01,00:30,00:45,15999
2011-05-01,00:45,01:00,15779
2011-05-01,01:00,01:15,15761
2011-05-01,01:15,01:30,15441
2011-05-01,01:30,01:45,15353
2011-05-01,01:45,02:00,15315
2011-05-01,02:00,02:15,15244
2011-05-01,02:15,02:30,15238
2011-05-01,02:30,02:45,15111
2011-05-01,02:45,03:00,15042
2011-05-01,03:00,03:15,15098
2011-05-01,03:15,03:30,15168
2011-05-01,03:30,03:45,15073
2011-05-01,03:45,04:00,14985
2011-05-01,04:00,04:15,14914
2011-05-01,04:15,04:30,15009
2011-05-01,04:30,04:45,15089
2011-05-01,04:45,05:00,15180
2011-05-01,05:00,05:15,15134
2011-05-01,05:15,05:30,15167
2011-05-01,05:30,05:45,15012
2011-05-01,05:45,06:00,14923
2011-05-01,06:00,06:15,14684
2011-05-01,06:15,06:30,14694
2011-05-01,06:30,06:45,14788
2011-05-01,06:45,07:00,14696
2011-05-01,07:00,07:15,14682
2011-05-01,07:15,07:30,14823
2011-05-01,07:30,07:45,14902
2011-05-01,07:45,08:00,15013
2011-05-01,08:00,08:15,15288
2011-05-01,08:15,08:30,15672
2011-05-01,08:30,08:45,15854
2011-05-01,08:45,09:00,15896
2011-05-01,09:00,09:15,15477
2011-05-01,09:15,09:30,15568
2011-05-01,09:30,09:45,15520
2011-05-01,09:45,10:00,15427
2011-05-01,10:00,10:15,15369
2011-05-01,10:15,10:30,15460
2011-05-01,10:30,10:45,15450
2011-05-01,10:45,11:00,15540
2011-05-01,11:00,11:15,15549
2011-05-01,11:15,11:30,15612
2011-05-01,11:30,11:45,15498
2011-05-01,11:45,12:00,15552
2011-05-01,12:00,12:15,15671
2011-05-01,12:15,12:30,15282
2011-05-01,12:30,12:45,15352
2011-05-01,12:45,13:00,15075
2011-05-01,13:00,13:15,15062
2011-05-01,13:15,13:30,14992
2011-05-01,13:30,13:45,14767
2011-05-01,13:45,14:00,14448
2011-05-01,14:00,14:15,14193
2011-05-01,14:15,14:30,14050
2011-05-01,14:30,14:45,13897
2011-05-01,14:45,15:00,13758
2011-05-01,15:00,15:15,13590
